"","X","Geography","Median.Household.Income","Income.Bucket","Color"
"1",1,"Census Tract 9, Richmond County, New York",56192,"Second-Highest Quintile","#DBDBDB"
"2",2,"Census Tract 74, Richmond County, New York",65559,"Second-Highest Quintile","#D2D2D2"
"3",3,"Census Tract 98, New York County, New York",101191,"Highest Quintile","#AAAAAA"
"4",4,"Census Tract 100, New York County, New York",82488,"Highest Quintile","#C2C2C2"
"5",5,"Census Tract 102, New York County, New York",41809,"Second-Lowest Quintile","#E6E6E6"
"6",6,"Census Tract 104, New York County, New York",85455,"Highest Quintile","#BFBFBF"
"7",7,"Census Tract 113, New York County, New York",113618,"Highest Quintile","#9A9A9A"
"8",8,"Census Tract 114.02, New York County, New York",102432,"Highest Quintile","#A8A8A8"
"9",9,"Census Tract 130, New York County, New York",232768,"Highest Quintile","#000000"
"10",10,"Census Tract 140, New York County, New York",154920,"Highest Quintile","#686868"
"11",11,"Census Tract 146.01, New York County, New York",89846,"Highest Quintile","#BABABA"
"12",12,"Census Tract 146.02, New York County, New York",100410,"Highest Quintile","#ABABAB"
"13",13,"Census Tract 148.01, New York County, New York",144167,"Highest Quintile","#757575"
"14",14,"Census Tract 153, New York County, New York",126701,"Highest Quintile","#898989"
"15",15,"Census Tract 154, New York County, New York",82000,"Highest Quintile","#C2C2C2"
"16",16,"Census Tract 184, New York County, New York",27236,"Lowest Quintile","#F1F1F1"
"17",17,"Census Tract 190, New York County, New York",54135,"Middle Quintile","#DCDCDC"
"18",18,"Census Tract 201.02, New York County, New York",37798,"Second-Lowest Quintile","#E9E9E9"
"19",19,"Census Tract 206, New York County, New York",31389,"Lowest Quintile","#EEEEEE"
"20",20,"Census Tract 249, New York County, New York",29500,"Lowest Quintile","#F0F0F0"
"21",21,"Census Tract 253, New York County, New York",35244,"Second-Lowest Quintile","#EBEBEB"
"22",22,"Census Tract 257, New York County, New York",50979,"Middle Quintile","#DFDFDF"
"23",23,"Census Tract 261, New York County, New York",30987,"Lowest Quintile","#EEEEEE"
"24",24,"Census Tract 263, New York County, New York",24859,"Lowest Quintile","#F2F2F2"
"25",25,"Census Tract 267, New York County, New York",23393,"Lowest Quintile","#F3F3F3"
"26",26,"Census Tract 269, New York County, New York",26362,"Lowest Quintile","#F1F1F1"
"27",27,"Census Tract 277, New York County, New York",27373,"Lowest Quintile","#F1F1F1"
"28",28,"Census Tract 5.01, Kings County, New York",80107,"Highest Quintile","#C4C4C4"
"29",29,"Census Tract 20, Kings County, New York",34063,"Second-Lowest Quintile","#ECECEC"
"30",30,"Census Tract 41, Kings County, New York",89205,"Highest Quintile","#BABABA"
"31",31,"Census Tract 52.01, Kings County, New York",24917,"Lowest Quintile","#F2F2F2"
"32",32,"Census Tract 52.02, Kings County, New York",64044,"Second-Highest Quintile","#D3D3D3"
"33",33,"Census Tract 58, Kings County, New York",50785,"Middle Quintile","#DFDFDF"
"34",34,"Census Tract 60, Kings County, New York",66250,"Second-Highest Quintile","#D1D1D1"
"35",35,"Census Tract 65, Kings County, New York",82003,"Highest Quintile","#C2C2C2"
"36",36,"Census Tract 67, Kings County, New York",107851,"Highest Quintile","#A1A1A1"
"37",37,"Census Tract 69, Kings County, New York",87479,"Highest Quintile","#BDBDBD"
"38",38,"Census Tract 74, Kings County, New York",30805,"Lowest Quintile","#EFEFEF"
"39",39,"Census Tract 76, Kings County, New York",37911,"Second-Lowest Quintile","#E9E9E9"
"40",40,"Census Tract 78, Kings County, New York",34542,"Second-Lowest Quintile","#ECECEC"
"41",41,"Census Tract 80, Kings County, New York",27703,"Lowest Quintile","#F1F1F1"
"42",42,"Census Tract 98, Kings County, New York",35821,"Second-Lowest Quintile","#EBEBEB"
"43",43,"Census Tract 101, Kings County, New York",50513,"Middle Quintile","#DFDFDF"
"44",44,"Census Tract 102, Kings County, New York",37704,"Second-Lowest Quintile","#E9E9E9"
"45",45,"Census Tract 104, Kings County, New York",25625,"Lowest Quintile","#F2F2F2"
"46",46,"Census Tract 108, Kings County, New York",37953,"Second-Lowest Quintile","#E9E9E9"
"47",47,"Census Tract 110, Kings County, New York",37083,"Second-Lowest Quintile","#EAEAEA"
"48",48,"Census Tract 114, Kings County, New York",40779,"Second-Lowest Quintile","#E7E7E7"
"49",49,"Census Tract 128.01, Kings County, New York",54688,"Middle Quintile","#DCDCDC"
"50",50,"Census Tract 130, Kings County, New York",46037,"Middle Quintile","#E3E3E3"
"51",51,"Census Tract 132, Kings County, New York",36007,"Second-Lowest Quintile","#EAEAEA"
"52",52,"Census Tract 133, Kings County, New York",88851,"Highest Quintile","#BBBBBB"
"53",53,"Census Tract 136, Kings County, New York",61534,"Second-Highest Quintile","#D6D6D6"
"54",54,"Census Tract 137, Kings County, New York",76058,"Highest Quintile","#C8C8C8"
"55",55,"Census Tract 139, Kings County, New York",60659,"Second-Highest Quintile","#D7D7D7"
"56",56,"Census Tract 151, Kings County, New York",106955,"Highest Quintile","#A2A2A2"
"57",57,"Census Tract 153, Kings County, New York",102295,"Highest Quintile","#A9A9A9"
"58",58,"Census Tract 155, Kings County, New York",102480,"Highest Quintile","#A8A8A8"
"59",59,"Census Tract 157, Kings County, New York",113924,"Highest Quintile","#999999"
"60",60,"Census Tract 170, Kings County, New York",59643,"Second-Highest Quintile","#D8D8D8"
"61",61,"Census Tract 172, Kings County, New York",46250,"Middle Quintile","#E2E2E2"
"62",62,"Census Tract 178, Kings County, New York",52327,"Middle Quintile","#DEDEDE"
"63",63,"Census Tract 186, Kings County, New York",45417,"Middle Quintile","#E3E3E3"
"64",64,"Census Tract 188, Kings County, New York",72530,"Second-Highest Quintile","#CBCBCB"
"65",65,"Census Tract 190, Kings County, New York",36913,"Second-Lowest Quintile","#EAEAEA"
"66",66,"Census Tract 192, Kings County, New York",37120,"Second-Lowest Quintile","#EAEAEA"
"67",67,"Census Tract 194, Kings County, New York",32327,"Second-Lowest Quintile","#EDEDED"
"68",68,"Census Tract 195, Kings County, New York",50938,"Middle Quintile","#DFDFDF"
"69",69,"Census Tract 196, Kings County, New York",43421,"Second-Lowest Quintile","#E5E5E5"
"70",70,"Census Tract 197, Kings County, New York",69089,"Second-Highest Quintile","#CECECE"
"71",71,"Census Tract 198, Kings County, New York",34653,"Second-Lowest Quintile","#ECECEC"
"72",72,"Census Tract 204, Kings County, New York",66757,"Second-Highest Quintile","#D1D1D1"
"73",73,"Census Tract 208, Kings County, New York",48469,"Middle Quintile","#E1E1E1"
"74",74,"Census Tract 210, Kings County, New York",53586,"Middle Quintile","#DDDDDD"
"75",75,"Census Tract 212, Kings County, New York",47386,"Middle Quintile","#E1E1E1"
"76",76,"Census Tract 214, Kings County, New York",27917,"Lowest Quintile","#F1F1F1"
"77",77,"Census Tract 219, Kings County, New York",30856,"Lowest Quintile","#EFEFEF"
"78",78,"Census Tract 220, Kings County, New York",30914,"Lowest Quintile","#EFEFEF"
"79",79,"Census Tract 221, Kings County, New York",38606,"Second-Lowest Quintile","#E8E8E8"
"80",80,"Census Tract 222, Kings County, New York",26670,"Lowest Quintile","#F1F1F1"
"81",81,"Census Tract 227, Kings County, New York",40660,"Second-Lowest Quintile","#E7E7E7"
"82",82,"Census Tract 229, Kings County, New York",51711,"Middle Quintile","#DEDEDE"
