,category,rating,name,app,tp,review,date,brand,ratingNum,lenReview,dateindex,Nbrand,sentiment,neg,neu,pos
0,Action,Rated 5 stars out of five stars,Kalito Doughnuts,Color Switch,Top Free in Android Apps,"This is the type of game you can just pickup and play. And if your on a long car ride, road trip, vaction, or your just bored, this Is the right game, for you. It is challenging but fun! There are a lot of levels and characters to get, which means there is a lot of gameplay. And their probably still updating it now. I would rate this game 8/10.","2,9,2017",Fortafy Games,5,346,666,0,0.7345,0.022,0,0.109
1,Communication,Rated 5 stars out of five stars,Jonathan Macabuhay,Messenger,Top Free in Android Apps,Very nice to meet you at work and I have to go back to work,"2,11,2017",Facebook,5,59,668,0,0.4754,0.0,0,0.192
2,Finance,Rated 5 stars out of five stars,Lisa Resendez,IRS2Go,Top Free in Android Apps,"To the ones saying this app keeps giving a message of 'Info not available at this time'... if you claimed any dependents this year, the IRS legally cannot process your return until Feb 15, 2017 for extra fraud precautions being taken. This means that your refund could be delayed until the end of Feb. I love this app. Very easy to use every year.","1,24,2017",IRS,5,347,650,3,0.6697,0.078,0,0.154
3,Communication,Rated 5 stars out of five stars,3rd Degree Inc,Marco Polo Video Walkie Talkie,Top Free in Android Apps,"But it constantly crashes!  I have reinstalled three different times now.  Very frustrating because when it works it is a great way to share.  If not for crashing I would give it 5 stars,  but I am about to uninstall for good if this keeps up.  ***Update fixed the problem in my HTC M8 and all is well!","2,7,2017",Joya Communications,5,302,664,0,0.8685,0.084,0,0.23
4,SportsAction & Adventure,Rated 2 stars out of five stars,Morgan Wilson,Madden NFL Mobile,Top Free in Android Apps,"I don't like being overwhelmed by all these head 2 heads matches. Please bring back the decline option for head to head so I could not lose twice as much fans for not playing. Also I would like to suggest to have the match up to be over once there is no way of making a comeback when they already scored on their drives while their opponents only scored 1 of 3 of the their drives, it's a waste of stamina, fans, and time.","1,20,2017",ELECTRONIC ARTS,2,422,646,5,-0.4475,0.139,0,0.082
5,Action,Rated 5 stars out of five stars,Arrun Gaydhani,Color Switch,Top Free in Android Apps,"Perfect example of what a mobile game should be. Contains plenty of different and varied gamemodes to keep things interesting, whilst remaining very nice and simple. Doesnt try to be something it isn't, and stays very chilled the whole way through. Really the only game you need on your phone, as it has so much variety, whilst still staying uniformly similar across the whole experience.","2,10,2017",Fortafy Games,5,388,667,0,0.8588,0.0,0,0.135
6,Action,Rated 4 stars out of five stars,Fatima Damir,Color Switch,Top Free in Android Apps,It's good but the ads are annoying. I like how it's challenging. Also it also has several activities. I just hate that there is an ad after and ad when yoy lose. But it's very addictive. I like it.,"2,10,2017",Fortafy Games,4,197,667,0,-0.5859,0.236,0,0.201
7,Action,Rated 5 stars out of five stars,Versha Verma,Color Switch,Top Free in Android Apps,Its a commentable game. It is not too gud as the control over some game modes such as slide ... etc r not comparitiveky gud at there control they shud be specified n oarticular about the control as one of the main part of the game is its control😘😑well..... keep it up n keep on comming up with progerss improvement and new updates gud luck ..... hope u improve😊😊😊😊😊😀👍👍,"2,10,2017",Fortafy Games,5,398,667,0,0.836,0.0,0,0.127
8,Action,Rated 4 stars out of five stars,Trisha Gupta,Color Switch,Top Free in Android Apps,It is a excellent game. But why is Google giving these stupid ads.My game most of the time stops in between.pls Google remove these stupid ads.,"2,11,2017",Fortafy Games,4,143,668,0,-0.3182,0.243,0,0.177
9,Action,Rated 5 stars out of five stars,anonymous,Color Switch,Top Free in Android Apps,This game is so much fun to play in. You get to do a lot of levels in many different game modes. Not only that but you can get different types of balls that you can use when playing a lot of levels in the game. Some of the levels are easy and challenging but it's still lots of fun. 😊,"2,9,2017",Fortafy Games,5,287,666,0,0.9414,0.0,0,0.241
10,Action,Rated 2 stars out of five stars,randicia mcneil,Color Switch,Top Free in Android Apps,"Frankly, the game makes you an addict. However, I gotta say that the ads sure will drive you crazy! Please fix. Too many videos , it's making me dislike the game.","2,9,2017",Fortafy Games,2,162,666,0,-0.1759,0.152,0,0.132
11,Action,Rated 3 stars out of five stars,21 Crybabys,Color Switch,Top Free in Android Apps,"Would rate 5 stars but whenever I look at all my apps, it doesn't pop up. I have to go all the way to Google play and search up color switch. It says its installed and every time I hit open, it works perfectly. Plz fix then I will rate 5 stars","2,9,2017",Fortafy Games,3,243,666,0,0.8847,0.0,0,0.194
12,Action,Rated 5 stars out of five stars,Shravani Jilla,Color Switch,Top Free in Android Apps,Awesome game They always keep updating and u always keep playing ... jus awesome. I recommend it to everyone. Why dont u include an option to change the themes... i personally like a theme so much but those r nt permanent,"2,9,2017",Fortafy Games,5,221,666,0,0.7906,0.0,0,0.25
13,Action,Rated 5 stars out of five stars,amya brown,Color Switch,Top Free in Android Apps,Really love your game. I am such a big fan 4 color switch love it that's why I'm so good at it. Thanks for letting me review thanks and I really love your game.,"2,9,2017",Fortafy Games,5,160,666,0,0.9784,0.0,0,0.524
14,Music & Audio,Rated 1 stars out of five stars,Riccardo Rovesta,SoundCloud - Music & Audio,Top Free in Android Apps,A few months ago I uninstalled the app because it wasn't working anymore... It sounded distorted. Today I downloaded it again but the problem isn't gone away...It still feels like there's something wrong in the sound. (It's not the phone speaker because it work perfectly). Can I please have support?,"2,10,2017",SoundCloud,1,300,667,1,0.0516,0.161,0,0.164
15,Communication,Rated 5 stars out of five stars,Md.zidan Md.shadin,Messenger,Top Free in Android Apps,Help tansfet,"2,10,2017",Facebook,5,12,667,0,0.4019,0.0,0,0.73
16,Communication,Rated 5 stars out of five stars,janaiah Jani,Messenger,Top Free in Android Apps,Good app,"2,11,2017",Facebook,5,8,668,0,0.4404,0.0,0,0.744
