Timestamp, Data Source, Data, Display Value, Raw Value
"2017-03-10T10:16:22Z", GPS, Latitude, 40.75268661141465, 40.7526866114147
"2017-03-10T10:16:22Z", GPS, Longitude, -73.99296015507913, -73.9929601550791
"2017-03-10T10:16:22Z", GPS, Altitude, 71.49420166015625 Meters, 71.4942016601562
"2017-03-10T10:16:22Z", GPS, Floor, No Data, NULL
"2017-03-10T10:16:22Z", GPS, Horizontal Accuracy, 50 Meters, 50.0
"2017-03-10T10:16:22Z", GPS, Vertical Accuracy, 32 Meters, 32.0
"2017-03-10T10:16:22Z", Altimeter (Barometer), Relative Altitude, -0.0116310119628906 Meters, -0.01163101196289062
"2017-03-10T10:16:22Z", Altimeter (Barometer), Pressure, 100.585960388184 kPa, 100.5859603881836
"2017-03-10T10:16:22Z", Magnetometer (raw), x, 35.01882934570312, 35.0188293457031
"2017-03-10T10:16:22Z", Magnetometer (raw), y, -6.16845703125, -6.16845703125
"2017-03-10T10:16:22Z", Magnetometer (raw), z, -462.6831665039062, -462.683166503906
"2017-03-10T10:16:23Z", GPS, Enabled, Yes, true
"2017-03-10T10:16:23Z", GPS, Authorisation Status, Authorised When In Use, Authorised When In Use
"2017-03-10T10:16:23Z", GPS, Latitude, 40.75268661141465, 40.7526866114147
"2017-03-10T10:16:23Z", GPS, Longitude, -73.99296015507913, -73.9929601550791
"2017-03-10T10:16:23Z", GPS, Altitude, 71.49420166015625 Meters, 71.4942016601562
"2017-03-10T10:16:23Z", GPS, Floor, No Data, NULL
"2017-03-10T10:16:23Z", GPS, Horizontal Accuracy, 50 Meters, 50.0
"2017-03-10T10:16:23Z", GPS, Vertical Accuracy, 32 Meters, 32.0
"2017-03-10T10:16:23Z", Altimeter (Barometer), Relative Altitude, -0.0247802734375 Meters, -0.0247802734375
"2017-03-10T10:16:23Z", Altimeter (Barometer), Pressure, 100.586120605469 kPa, 100.5861206054688
"2017-03-10T10:16:24Z", GPS, Enabled, Yes, true
"2017-03-10T10:16:24Z", GPS, Authorisation Status, Authorised When In Use, Authorised When In Use
"2017-03-10T10:16:24Z", GPS, Latitude, 40.75268661141465, 40.7526866114147
"2017-03-10T10:16:24Z", GPS, Longitude, -73.99296015507913, -73.9929601550791
"2017-03-10T10:16:24Z", GPS, Altitude, 71.49420166015625 Meters, 71.4942016601562
"2017-03-10T10:16:24Z", GPS, Floor, No Data, NULL
"2017-03-10T10:16:24Z", GPS, Horizontal Accuracy, 50 Meters, 50.0
"2017-03-10T10:16:24Z", GPS, Vertical Accuracy, 32 Meters, 32.0
"2017-03-10T10:16:24Z", Altimeter (Barometer), Relative Altitude, -0.0343894958496094 Meters, -0.03438949584960938
"2017-03-10T10:16:24Z", Altimeter (Barometer), Pressure, 100.586235046387 kPa, 100.5862350463867
"2017-03-10T10:16:24Z", Magnetometer (corrected for device), x, -5.715408325195312, -5.71540832519531
"2017-03-10T10:16:24Z", Magnetometer (corrected for device), y, -16.3557186126709, -16.3557186126709
"2017-03-10T10:16:24Z", Magnetometer (corrected for device), z, -48.65896606445312, -48.6589660644531
"2017-03-10T10:16:24Z", Magnetometer (corrected for device), Estimated Accuracy, High, High
"2017-03-10T10:16:24Z", Attitude, Roll, -0.3889618619415894, -0.388961861941589
"2017-03-10T10:16:24Z", Attitude, Yaw, -0.7050072962243442, -0.705007296224344
"2017-03-10T10:16:24Z", Attitude, Pitch, 0.4299554509203127, 0.429955450920313
"2017-03-10T10:16:24Z", Attitude, Quarternion w, -0.8853889071512566, -0.885388907151257
"2017-03-10T10:16:24Z", Attitude, Quarternion x, -0.131248291880413, -0.131248291880413
"2017-03-10T10:16:24Z", Attitude, Quarternion y, 0.2494610458356057, 0.249461045835606
"2017-03-10T10:16:24Z", Attitude, Quarternion z, 0.3696343538993643, 0.369634353899364
"2017-03-10T10:16:24Z", Gyrometer (smooth), x, -0.1312549412250519, -0.131254941225052
"2017-03-10T10:16:24Z", Gyrometer (smooth), y, -0.01616494916379452, -0.0161649491637945
"2017-03-10T10:16:24Z", Gyrometer (smooth), z, 0.07509816437959671, 0.0750981643795967
"2017-03-10T10:16:24Z", Acceleration (via Gravity), x, -0.3447123169898987, -0.344712316989899
"2017-03-10T10:16:24Z", Acceleration (via Gravity), y, -0.41683030128479, -0.41683030128479
"2017-03-10T10:16:24Z", Acceleration (via Gravity), z, -0.8410861492156982, -0.841086149215698
"2017-03-10T10:16:24Z", Acceleration (total), x, -0.3385619982145727, -0.338561998214573
