,GPS Horizontal Accuracy,GPS Longitude,GPS Vertical Accuracy,Magnetometer z,Altimeter (Barometer) Pressure,GPS Latitude,GPS Altitude,Magnetometer y,Magnetometer x,Altimeter (Barometer) Relative Altitude,Microphone Left Channel Level,Microphone Right Channel Level,Gyrometer y,Gyrometer z,Gyrometer x,Gravity z,Gravity y,Gravity x,Acceleration z,Acceleration x,Acceleration y,classification
2017-03-20 07:33:32,65.0,-73.7536738204,10.0,,,40.7366957272,49.9251976013,,,,,,,,,,,,,,,
2017-03-20 07:33:33,65.0,-73.7536197687,10.0,-448.443572998,101.280929565,40.736641687,49.6170310974,138.553955078,-53.0522460938,0.0,,,-0.212766863705,0.489268232302,-1.20446067568,0.569030821323,-0.819343388081,0.0698594525456,-1.37225353718,-0.152821481228,0.563072025776,D
2017-03-20 07:33:37,50.0,-73.753750613,8.0,-448.443572998,101.285232544,40.7363687223,45.0591125488,138.553955078,-53.0522460938,-0.358571052551,,,-0.212766863705,0.489268232302,-1.20446067568,-0.0152074666694,-0.970465898514,-0.240758612752,-0.714467823505,0.377050101757,0.415137499571,D
2017-03-20 07:33:42,10.0,-73.7537765131,3.0,-439.61529541,101.288124084,40.7368841675,48.4981384277,118.981277466,-50.6485900879,-0.598952770233,-2.53365,-2.53365,-0.00417317342815,-0.0255359864283,-0.0106361327616,-0.95281457901,-0.302552103996,-0.0246286503971,-0.189778789878,0.0120401503518,0.0958260223269,D
2017-03-20 07:33:46,10.0,-73.7537104637,3.0,-440.596221924,101.287879944,40.7368118316,48.1625061035,115.890853882,-63.6970367432,-0.578837394714,-4.69146,-4.69146,0.531863097093,0.459537767157,0.270985961979,-0.991672158241,-0.122557707131,0.0395716018975,0.194141045213,0.133630916476,-0.102295808494,D
2017-03-20 07:33:51,10.0,-73.7537043449,4.0,-432.912353516,101.284980774,40.7368117059,49.4397277832,121.900009155,-103.70085144,-0.337449550629,-6.84258,-6.84258,0.0262196198802,2.0801378695,0.069349513734,-0.953793525696,-0.0533844642341,-0.295682251453,0.0669374540448,-0.0460383221507,0.116571113467,D
2017-03-20 07:33:55,10.0,-73.7537368667,4.0,-446.80871582,101.281600952,40.7367928047,48.8687438965,134.090011597,-89.4505615234,-0.0558233261108,-6.0836,-6.0836,-0.280120071886,-1.10511571227,-0.187397324845,-0.964337110519,0.045805811882,0.260683149099,-0.182696551085,-0.107973195612,-0.140334010124,D
2017-03-20 07:34:00,10.0,-73.7537333463,4.0,-442.558044434,101.283561707,40.7367608278,49.2041320801,139.584091187,-48.244934082,-0.219268083572,-1.20891,-1.20891,0.348482085488,-0.00648825936376,0.141513189792,-0.231169253588,0.16431735456,0.958937227726,-0.00927875097841,-0.0450273044407,0.000996359041892,D
2017-03-20 07:34:04,10.0,-73.7537216116,4.0,-442.558044434,101.285690308,40.7367217681,49.5289611816,139.584091187,-48.244934082,-0.396288394928,-1.2104,-1.2104,-0.0649766032241,-1.98387924348,-1.79195534373,-0.493533670902,-0.426474064589,0.757987082005,-0.222485005856,0.0915460139513,-0.424249202013,D
2017-03-20 07:34:09,10.0,-73.753689928,4.0,-448.280090332,101.286499023,40.7366785175,49.1364440918,146.280014038,-54.9408416748,-0.4636759758,-1.21302,-1.21302,1.18979278334,-2.37945187599,1.4240257907,-0.866082906723,-0.483444571495,0.127207413316,-0.218771204352,-0.00142921484075,0.000198727822863,D
2017-03-20 07:34:13,10.0,-73.7536806241,4.0,-453.675140381,101.297172546,40.7366615022,49.6715393066,155.036209106,-81.5528259277,-1.3522465229,-22.1849,-22.1849,-0.747892066818,0.672498242674,-0.189776326647,-0.858767032623,-0.106827616692,-0.501105844975,-0.174451366067,0.0352855287492,-0.0321341753006,D
2017-03-20 07:34:18,10.0,-73.7536547241,3.0,-449.09753418,101.301841736,40.736651863,49.0249938965,158.470016479,-97.691696167,-1.74144375324,-5.64593,-5.64593,1.12666654444,0.0983808990931,0.186489453229,-0.901842474937,-0.375196307898,0.214261367917,0.180940955877,0.0458857305348,-0.052843246609,D
2017-03-20 07:34:22,10.0,-73.7536503655,3.0,-454.329101562,101.297859192,40.7366529107,49.7082214355,149.885513306,-63.6970367432,-1.40957117081,-5.64593,-5.64593,1.12666654444,0.0983808990931,0.186489453229,-0.975365459919,-0.00218825181946,0.220584377646,0.02407149598,0.0374875254929,-0.0800718814135,D
2017-03-20 07:34:27,10.0,-73.7536503655,3.0,-448.934020996,101.29473114,40.7366529107,49.8321228027,134.948455811,-49.1033782959,-1.14959669113,-15.7335,-15.7335,0.140400521088,0.0440039433236,0.475515402117,-0.954207718372,-0.278512984514,0.109170481563,0.0407860651612,0.104772999883,-0.102392174304,D
2017-03-20 07:34:31,10.0,-73.7536503655,3.0,-438.797851562,101.297264099,40.7366529107,49.4823913574,105.761138916,-76.9171905518,-1.36029219627,-26.1857,-26.1857,0.488300439562,0.639785303424,-0.398971625014,-0.983499228954,-0.180739700794,0.00789785478264,-0.0795348063111,0.196325778961,-0.233689010143,D
2017-03-20 07:34:36,10.0,-73.7536670455,4.0,-435.037658691,101.299041748,40.736660664,49.1783752441,117.607757568,-90.4807128906,-1.50762534142,-1.20482,-1.20482,-0.173878053887,-0.435330964429,-0.0697838753078,-0.9827298522,0.183033809066,-0.0272153969854,-0.159512594342,-0.0504518374801,-0.124134883285,D
2017-03-20 07:34:40,10.0,-73.7536766008,3.0,-456.454406738,101.298973083,40.7366716862,49.2527770996,147.310150146,-60.7783050537,-1.50259709358,-11.9787,-11.9787,0.224980919413,0.0486546215352,-0.0248065466058,-0.879168987274,-0.470699310303,-0.0741894543171,0.228122219443,-0.0718829333782,-0.0960121005774,D
2017-03-20 07:34:45,10.0,-73.7536886708,4.0,-443.048522949,101.302009583,40.7366660284,48.6086730957,109.881698608,-55.2842254639,-1.7550201416,-3.20489,-3.20489,0.595398397535,0.924025551832,0.620298953727,-0.345516085625,-0.830965459347,-0.436021834612,-1.07461941242,-0.188199967146,0.358660161495,D
2017-03-20 07:34:49,10.0,-73.7536923588,4.0,-443.048522949,101.300888062,40.7366563054,48.9529724121,109.881698608,-55.2842254639,-1.66199636459,-13.6919,-13.6919,0.644319867812,1.13104371601,0.182738923466,-0.909674942493,-0.236872076988,-0.341149687767,-0.0323721729219,-0.124106049538,0.0236915387213,D
2017-03-20 07:34:54,10.0,-73.7536644471,4.0,-462.012939453,101.301849365,40.7366507315,48.280670166,177.527618408,-67.3025360107,-1.74194657803,-12.6176,-12.6176,-0.271874925151,0.603381222903,-0.205117732422,-0.980789542198,-0.194361805916,-0.0165922604501,0.0218967497349,-0.10897231102,-0.171238780022,D
