,GPS Horizontal Accuracy,GPS Longitude,GPS Vertical Accuracy,Magnetometer z,Altimeter (Barometer) Pressure,GPS Latitude,GPS Altitude,Magnetometer y,Magnetometer x,Altimeter (Barometer) Relative Altitude,Microphone Left Channel Level,Microphone Right Channel Level,Gyrometer y,Gyrometer z,Gyrometer x,Gravity z,Gravity y,Gravity x,Acceleration z,Acceleration x,Acceleration y,classification
2017-03-20 07:33:33,65.0,-73.7536197687,10.0,-448.443572998,101.280929565,40.736641687,49.6170310974,138.553955078,-53.0522460938,0.0,,,-0.212766863705,0.489268232302,-1.20446067568,0.569030821323,-0.819343388081,0.0698594525456,-1.37225353718,-0.152821481228,0.563072025776,D
2017-03-20 07:33:37,50.0,-73.753750613,8.0,-448.443572998,101.285232544,40.7363687223,45.0591125488,138.553955078,-53.0522460938,-0.358571052551,,,-0.212766863705,0.489268232302,-1.20446067568,-0.0152074666694,-0.970465898514,-0.240758612752,-0.714467823505,0.377050101757,0.415137499571,D
2017-03-20 07:33:42,10.0,-73.7537765131,3.0,-448.443572998,101.288124084,40.7368841675,48.4981384277,138.553955078,-53.0522460938,-0.598952770233,,,-0.212766863705,0.489268232302,-1.20446067568,-0.95281457901,-0.302552103996,-0.0246286503971,-0.189778789878,0.0120401503518,0.0958260223269,D
2017-03-20 07:33:46,10.0,-73.7537104637,3.0,-448.443572998,101.287879944,40.7368118316,48.1625061035,138.553955078,-53.0522460938,-0.578837394714,,,-0.212766863705,0.489268232302,-1.20446067568,-0.991672158241,-0.122557707131,0.0395716018975,0.194141045213,0.133630916476,-0.102295808494,D
2017-03-20 07:33:51,10.0,-73.7537043449,4.0,-448.443572998,101.284980774,40.7368117059,49.4397277832,138.553955078,-53.0522460938,-0.337449550629,,,-0.212766863705,0.489268232302,-1.20446067568,-0.953793525696,-0.0533844642341,-0.295682251453,0.0669374540448,-0.0460383221507,0.116571113467,D
2017-03-20 07:33:55,10.0,-73.7537368667,4.0,-446.80871582,101.281600952,40.7367928047,48.8687438965,134.090011597,-89.4505615234,-0.0558233261108,,,-0.212766863705,0.489268232302,-1.20446067568,-0.964337110519,0.045805811882,0.260683149099,-0.182696551085,-0.107973195612,-0.140334010124,D
2017-03-20 07:34:00,10.0,-73.7537333463,4.0,-442.558044434,101.283561707,40.7367608278,49.2041320801,139.584091187,-48.244934082,-0.219268083572,,,-0.212766863705,0.489268232302,-1.20446067568,-0.231169253588,0.16431735456,0.958937227726,-0.00927875097841,-0.0450273044407,0.000996359041892,D
2017-03-20 07:34:04,10.0,-73.7537216116,4.0,-442.558044434,101.285690308,40.7367217681,49.5289611816,139.584091187,-48.244934082,-0.396288394928,,,-0.212766863705,0.489268232302,-1.20446067568,-0.493533670902,-0.426474064589,0.757987082005,-0.222485005856,0.0915460139513,-0.424249202013,D
2017-03-20 07:34:09,10.0,-73.753689928,4.0,-442.558044434,101.286499023,40.7366785175,49.1364440918,139.584091187,-48.244934082,-0.4636759758,,,-0.212766863705,0.489268232302,-1.20446067568,-0.866082906723,-0.483444571495,0.127207413316,-0.218771204352,-0.00142921484075,0.000198727822863,D
2017-03-20 07:34:13,10.0,-73.7536806241,4.0,-442.558044434,101.297172546,40.7366615022,49.6715393066,139.584091187,-48.244934082,-1.3522465229,-22.1849,-22.1849,-0.747892066818,0.672498242674,-0.189776326647,-0.858767032623,-0.106827616692,-0.501105844975,-0.174451366067,0.0352855287492,-0.0321341753006,D
2017-03-20 07:34:18,10.0,-73.7536547241,3.0,-442.558044434,101.301841736,40.736651863,49.0249938965,139.584091187,-48.244934082,-1.74144375324,-5.64593,-5.64593,1.12666654444,0.0983808990931,0.186489453229,-0.901842474937,-0.375196307898,0.214261367917,0.180940955877,0.0458857305348,-0.052843246609,D
2017-03-20 07:34:22,10.0,-73.7536503655,3.0,-442.558044434,101.297859192,40.7366529107,49.7082214355,139.584091187,-48.244934082,-1.40957117081,-5.64593,-5.64593,1.12666654444,0.0983808990931,0.186489453229,-0.975365459919,-0.00218825181946,0.220584377646,0.02407149598,0.0374875254929,-0.0800718814135,D
2017-03-20 07:34:27,10.0,-73.7536503655,3.0,-442.558044434,101.29473114,40.7366529107,49.8321228027,139.584091187,-48.244934082,-1.14959669113,-5.64593,-5.64593,1.12666654444,0.0983808990931,0.186489453229,-0.954207718372,-0.278512984514,0.109170481563,0.0407860651612,0.104772999883,-0.102392174304,D
2017-03-20 07:34:31,10.0,-73.7536503655,3.0,-442.558044434,101.297264099,40.7366529107,49.4823913574,139.584091187,-48.244934082,-1.36029219627,-5.64593,-5.64593,1.12666654444,0.0983808990931,0.186489453229,-0.983499228954,-0.180739700794,0.00789785478264,-0.0795348063111,0.196325778961,-0.233689010143,D
2017-03-20 07:34:36,10.0,-73.7536670455,4.0,-442.558044434,101.299041748,40.736660664,49.1783752441,139.584091187,-48.244934082,-1.50762534142,-5.64593,-5.64593,1.12666654444,0.0983808990931,0.186489453229,-0.9827298522,0.183033809066,-0.0272153969854,-0.159512594342,-0.0504518374801,-0.124134883285,D
2017-03-20 07:34:40,10.0,-73.7536766008,3.0,-456.454406738,101.298973083,40.7366716862,49.2527770996,147.310150146,-60.7783050537,-1.50259709358,-5.64593,-5.64593,1.12666654444,0.0983808990931,0.186489453229,-0.879168987274,-0.470699310303,-0.0741894543171,0.228122219443,-0.0718829333782,-0.0960121005774,D
