,Product
0,SAM's Curious Kit
1,SAM's Inventor Kit
2,Button
3,Slider
4,Dimmer
5,Light Sensor
6,Pressure Sensor
7,Proximity Sensor
8,Tilt Sensor
9,Heat Sensor
10,Servo
11,RGB Light
12,Vibration Motor
13,DC Motor
14,Buzzer
15,Charging Dock
16,Cloud (beta)
