,price
3, 7+
8, 9+
13, 5+
18, 8+
23, 8+
28, 10+
33, 5+
38, 7+
43, 3 - 15
48, 8+
53, 7+
58, 7+
63, 8+
67, 12+
72, 7+
76, 10+
81, 9+
86, 3 - 15
91, 1.5+
96, 4+
101, 2+
110, 5+
115, 3-6
120, 2+
125, 4+
130, 2+
139, 3+
144, 3+
149, 3 - 15
154, 1½+ 
159, 2+
164, 14+
169, 10+
174, 8+
179, 8+
184, 11+
189, 8+
194, 10+
199, 10+
204, 10+
209, 3-6
214, 8+
219, 8+
224, 10+
229, 10+
234, 10+
242, 12+
247, 12+
251, 10+
260, 10+
265, 10+
270, 14+
275, 10+
279, 12+
284, 9+
289, 12+
298, 12+
303, 10+
308, 9+
313, 12+
318, 9+
327, 6+
332, 10+
336, 10+
340, 7+
345, 7+
350, 5+
355, 10+
360, 6+
368, 6+
373, 6+
378, 9+
383, 6+
388, 6+
