29075 1950DA,2000.0,2880-03-16 23:48,1/7042,-1.36,n/a,17.99,334
2017BL30,89.0*,2029-08-03 13:21,1/909,-1.7,1,13.28,9
410777 2009FD,150.0,2185-03-29 18:06,1/694,-1.83,n/a,19.41,2192
2017CH1,1100.0*,2095-06-04 15:07,1/492610,-2.29,1,21.18,2
101955 Bennu,484.0,2196-09-24 07:55,1/10638,-2.32,n/a,12.68,2742
2010RF12,9.0*,2095-09-05 23:47,1/16,-3.26,0,12.29,2337
1979XB,860.0*,2113-12-14 18:07,1/1.84E6,-3.28,0,26.04,13544
2000SG344,46.0*,2071-09-16 00:26,1/2096,-3.63,0,11.26,5946
99942 Apophis,375.0,2068-04-12 15:13,1/531914,-3.67,0,12.62,4233
2016NL56,560.0*,2020-06-22 15:42,1/1.01E9,-3.7,0,38.42,120
