0,PLAYER,GAME_DATE,POSITION:1,POSITION:2,POSITION:3,POSITION:4,POSITION:5,DK Sal,minmult,DKPmult,predadjust
19.2891292572,Vince Carter,2017-03-26,0,0,1,0,0,3900.0,1.0,1.0,19.2891292572
23.3196735382,Tim Frazier,2017-03-26,1,0,0,0,0,3900.0,1.0,1.0,23.3196735382
22.9526901245,Ty Lawson,2017-03-26,1,0,0,0,0,4500.0,1.0,1.0,22.9526901245
15.0078134537,Gerald Henderson,2017-03-26,0,1,0,0,0,3100.0,1.0,1.0,15.0078134537
21.9423389435,Rajon Rondo,2017-03-26,1,0,0,0,0,6400.0,1.0,1.0,21.9423389435
17.3494281769,Wayne Ellington,2017-03-26,0,0,1,0,0,3700.0,1.0,1.0,17.3494281769
19.8653392792,Nik Stauskas,2017-03-26,0,1,0,0,0,4100.0,1.0,1.0,19.8653392792
17.0412425995,Doug McDermott,2017-03-26,0,1,1,0,0,3000.0,1.0,1.0,17.0412425995
19.471446991,Jordan Crawford,2017-03-26,0,1,0,0,0,3900.0,1.0,1.0,19.471446991
20.3280849457,Jameer Nelson,2017-03-26,1,0,0,0,0,4900.0,1.0,1.0,20.3280849457
18.6001243591,Andre Iguodala,2017-03-26,0,1,0,0,0,4500.0,1.0,1.0,18.6001243591
17.5831851959,Jamal Murray,2017-03-26,1,1,0,0,0,4000.0,1.0,1.0,17.5831851959
18.7981586456,Buddy Hield,2017-03-26,0,1,0,0,0,5700.0,0.371816543373,1.0,6.9894663694
11.7389383316,Luol Deng,2017-03-26,0,0,1,0,0,3000.0,1.0,0.782393480193,9.18446881504
18.5964279175,Matt Barnes,2017-03-26,0,0,1,1,0,4400.0,1.0,1.0,18.5964279175
20.1342849731,Garrett Temple,2017-03-26,0,1,1,0,0,4100.0,1.0,1.0,20.1342849731
20.1317825317,Sergio Rodriguez,2017-03-26,1,0,0,0,0,3400.0,1.0,1.0,20.1317825317
20.7815132141,Malcolm Brogdon,2017-03-26,1,1,0,0,0,5100.0,1.0,1.0,20.7815132141
13.8746852875,Dante Cunningham,2017-03-26,0,0,1,1,0,3100.0,1.0,1.0,13.8746852875
20.7855987549,Monta Ellis,2017-03-26,0,1,0,0,0,4000.0,1.0,1.0,20.7855987549
23.8652458191,T.J. McConnell,2017-03-26,1,0,0,0,0,5200.0,1.0,1.0,23.8652458191
17.8110752106,E'Twaun Moore,2017-03-26,0,1,1,0,0,3800.0,1.0,1.0,17.8110752106
15.8195753098,Marco Belinelli,2017-03-26,0,1,1,0,0,4000.0,1.0,1.0,15.8195753098
18.2760982513,CJ Miles,2017-03-26,0,1,1,0,0,3800.0,0.754345092909,1.0,13.7864850334
14.743563652,Tony Snell,2017-03-26,0,1,1,0,0,3900.0,1.0,1.0,14.743563652
18.8784885406,Solomon Hill,2017-03-26,0,0,1,0,0,4400.0,1.0,1.0,18.8784885406
20.6564426422,Nikola Mirotic,2017-03-26,0,0,0,1,0,5600.0,1.5,1.0,30.9846639633
17.0531616211,Rodney McGruder,2017-03-26,0,1,1,0,0,3300.0,1.0,1.0,17.0531616211
16.9142551422,Matthew Dellavedova,2017-03-26,1,1,0,0,0,3400.0,1.0,1.0,16.9142551422
