0,PLAYER,GAME_DATE,POSITION:1,POSITION:2,POSITION:3,POSITION:4,POSITION:5,DK Sal
8.54604721069,C.J. Watson,2017-03-24,1,1,0,0,0,3000.0
5.88698625565,Anthony Morrow,2017-03-24,0,1,0,0,0,3000.0
4.11711215973,Beno Udrih,2017-03-24,1,0,0,0,0,3000.0
11.9668569565,Leandro Barbosa,2017-03-24,1,1,0,0,0,3200.0
12.2161645889,Juan Hernangomez,2017-03-24,0,0,0,1,0,4400.0
19.9070549011,Shawn Long,2017-03-24,0,0,0,1,0,3400.0
13.184548378,Joffrey Lauvergne,2017-03-24,0,0,0,1,1,4100.0
13.6001720428,Aaron Brooks,2017-03-24,1,0,0,0,0,3000.0
17.6769580841,Bobby Portis,2017-03-24,0,0,0,1,0,4600.0
14.683013916,David West,2017-03-24,0,0,0,1,0,3000.0
4.78121328354,Reggie Bullock,2017-03-24,0,1,0,0,0,3000.0
27.4564647675,Tyler Ulis,2017-03-24,1,0,0,0,0,7100.0
7.59321260452,Cameron Payne,2017-03-24,1,0,0,0,0,3000.0
6.97596693039,Jose Calderon,2017-03-24,1,0,0,0,0,3000.0
11.3964605331,Tyus Jones,2017-03-24,1,1,0,0,0,3000.0
8.36789226532,Trey Burke,2017-03-24,1,0,0,0,0,3000.0
12.5264110565,Lavoy Allen,2017-03-24,0,0,0,1,0,3000.0
8.03742790222,Kevin Seraphin,2017-03-24,0,0,0,1,0,3000.0
13.040848732,Thomas Robinson,2017-03-24,0,0,0,1,0,3000.0
15.30052948,Ian Clark,2017-03-24,1,1,0,0,0,3500.0
5.06992340088,Rashad Vaughn,2017-03-24,0,1,0,0,0,3000.0
8.61089801788,Gerald Green,2017-03-24,0,0,1,0,0,3000.0
14.2813358307,Kris Dunn,2017-03-24,1,0,0,0,0,3000.0
12.4798879623,Alexis Ajinca,2017-03-24,0,0,0,0,1,3000.0
15.6395807266,Aron Baynes,2017-03-24,0,0,0,0,1,3500.0
10.1976594925,Mario Hezonja,2017-03-24,0,0,1,0,0,3200.0
41.0507850647,Andre Drummond,2017-03-24,0,0,0,0,1,7600.0
35.4540748596,Nikola Jokic,2017-03-24,0,0,0,0,1,9400.0
39.2571105957,Kevin Love,2017-03-24,0,0,0,1,1,7500.0
30.4204444885,Marcin Gortat,2017-03-24,0,0,0,0,1,4300.0
34.1801757812,Myles Turner,2017-03-24,0,0,0,0,1,5900.0
35.4028167725,Dwight Howard,2017-03-24,0,0,0,0,1,7300.0
38.6601524353,Nikola Vucevic,2017-03-24,0,0,0,0,1,7800.0
41.5250205994,Joel Embiid,2017-03-24,0,0,0,0,1,3000.0
