time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.119,-7.61511,-14.43466,-46.10470
0.186,-7.61511,-14.43466,-46.47970
0.244,-7.24011,-15.18466,-47.79220
0.375,-7.61511,-15.18466,-46.91720
0.416,-7.99011,-15.18466,-46.10470
0.476,-8.36511,-15.18466,-46.91720
0.599,-7.99011,-15.18466,-46.10470
0.661,-7.99011,-14.43466,-46.04220
0.714,-7.99011,-15.18466,-46.91720
0.841,-7.99011,-15.93466,-47.79220
0.891,-7.61511,-14.80966,-46.91720
0.951,-8.36511,-15.18466,-46.91720
1.071,-7.99011,-15.18466,-48.22970
1.130,-7.99011,-15.18466,-44.79220
1.199,-7.61511,-14.80966,-47.79220
1.310,-7.61511,-15.18466,-45.22970
1.375,-7.99011,-15.18466,-46.10470
1.428,-8.36511,-15.55966,-46.91720
1.555,-7.99011,-15.18466,-47.35470
1.607,-8.36511,-14.43466,-47.35470
1.670,-8.36511,-15.55966,-46.91720
1.794,-7.61511,-14.43466,-46.47970
1.856,-7.24011,-14.80966,-45.66720
1.905,-7.24011,-15.18466,-46.47970
2.033,-7.24011,-15.55966,-46.10470
2.082,-7.61511,-15.18466,-46.47970
2.154,-8.74011,-14.43466,-46.91720
2.264,-7.61511,-15.18466,-46.91720
2.335,-8.36511,-15.18466,-47.79220
2.381,-6.86511,-14.80966,-46.47970
2.509,-7.99011,-15.55966,-46.10470
2.560,-7.99011,-14.43466,-46.91720
2.625,-8.36511,-15.93466,-47.79220
2.738,-7.99011,-15.55966,-46.91720
2.798,-8.36511,-15.18466,-48.22970
2.865,-7.99011,-15.55966,-47.35470
2.984,-7.61511,-14.80966,-46.54220
3.037,-7.61511,-15.18466,-48.22970
3.104,-7.24011,-15.55966,-47.35470
3.214,-7.61511,-14.80966,-47.79220
3.274,-7.61511,-14.05966,-47.35470
3.338,-7.61511,-15.55966,-46.97970
3.464,-8.36511,-15.55966,-48.22970
3.516,-7.99011,-16.30966,-47.35470
3.575,-8.74011,-15.93466,-46.54220
3.694,-6.86511,-18.18466,-46.91720
3.751,-6.49011,-21.93466,-42.66720
3.820,-5.74011,-24.18466,-38.41720
3.932,-3.92761,-30.18466,-35.47970
4.011,-2.42761,-36.87216,-31.66720
4.051,-1.67761,-43.24716,-23.97970
4.174,0.19739,-48.49716,-14.66720
4.235,0.94739,-48.87216,-5.29220
4.288,4.32239,-47.37216,-8.29220
4.411,5.82239,-45.87216,-12.97970
4.482,-4.67761,-50.37216,-13.79220
4.526,8.82239,-40.24716,-17.60470
4.650,12.57239,-21.18466,-25.72970
4.712,11.82239,-30.55966,-23.97970
4.765,-0.55261,-46.24716,-20.60470
4.882,-12.11511,-50.74716,-17.22970
4.950,-8.74011,-52.62216,-7.41720
5.002,11.07239,-39.49716,-12.97970
5.120,15.19739,-18.18466,-21.47970
5.190,10.32239,-6.99716,-27.41720
5.241,4.32239,2.75284,-26.97970
5.371,5.44739,4.62784,-23.16720
5.421,13.32239,1.25284,-11.29220
5.480,12.57239,-2.12216,-4.91720
5.598,10.69739,-1.74716,1.89530
5.665,5.07239,-2.49716,8.70780
5.717,-6.86511,-12.99716,17.20780
5.842,-16.24011,-30.93466,15.45780
5.895,-15.49011,-46.24716,5.27030
5.956,-15.49011,-51.12216,-12.10470
6.075,-14.74011,-43.24716,-29.10470
6.148,-6.11511,-35.05966,-34.60470
6.194,4.32239,-26.80966,-32.91720
6.328,9.57239,-17.05966,-29.97970
6.378,14.07239,-18.93466,-24.41720
6.436,14.44739,-27.18466,-19.79220
6.553,9.57239,-36.87216,-18.47970
6.611,5.07239,-42.49716,-20.22970
6.688,0.94739,-44.74716,-22.35470
6.790,2.07239,-42.49716,-24.41720
6.881,12.98679,-21.29129,-17.31026
6.914,13.73679,-19.79129,-17.74776
7.035,12.98679,-17.54129,-20.24776
7.087,10.73679,-13.10379,-24.49776
7.158,8.11179,-5.22879,-26.24776
7.266,11.86179,-5.22879,-25.37276
7.337,12.61179,-4.85379,-26.62276
7.394,13.36179,-4.47879,-29.18526
7.507,14.86179,-1.10379,-32.99776
7.567,10.73679,0.02121,-35.56026
7.626,11.11179,-0.72879,-35.99776
7.742,11.11179,0.39621,-35.56026
7.810,11.48679,0.02121,-36.43526
7.860,10.36179,0.02121,-35.12276
7.995,11.48679,-0.35379,-35.56026
8.051,11.86179,-0.35379,-35.99776
8.099,11.11179,0.02121,-35.56026
8.227,11.11179,0.02121,-35.56026
8.279,11.48679,0.39621,-36.81026
