Building Name,Building Address,Postal Code,Floor Area,Property Type - Self Selected,2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2)
Hotel Drisco,2901 Pacific Ave,94115,29920,Hotel,,,,,,96,58.7,109.8,55.9,106.9,92,69.4,118.5,65.8,114.7,91,64.8,112.5,69.4,117.4,91,65.2,115.7,67.5,118.1
772 PACIFIC AVE,772 PACIFIC AVE,94133,15537,Restaurant,,,,,,,,,,,,4084.9,4466.2,4084.4,4464.4,,3751.8,4109.6,3751.8,4109.6,,444.3,642.7,444.3,642.7
80 Carolina,80 CAROLINA ST,94107,21845,,,,,,,,,,,,,,,,,,,,,,,,,,
520 4TH ST,520 4TH ST,94107,12489,,,,,,,,,,,,,,,,,,,,,,,,,,
120 POWELL ST,120 POWELL ST,94102,17268,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Center of San Francisco,2450 SUTTER ST,94115,31930,Mixed Use Property,,,,,,,20.8,45,20.1,44.2,,23.8,49,21.6,45.9,,22.2,46.7,26.2,51.8,,24.3,51.3,25.6,52.6
Castro Building,4109 18TH ST,94114,13646,Mixed Use Property,,,,,,,,,,,,166.6,305.8,166.6,305.8,,119,232.7,119,232.7,,132.9,247.2,132.9,247.2
Columbus Motor Inn,1065 COLUMBUS AVE,94133,16200,Hotel,,,,,,,,,,,18,105.3,203.6,105.4,203.9,19,97.9,193.3,99,196.7,21,98.1,194,98.1,194
Club Quarters,425 Battery St.,94111,138810,Hotel,,,,,,84,42.2,141.1,42.2,141.1,82,42.6,133.8,42.6,133.8,,62.6,155.4,62.1,153.7,,55.6,135.1,55.6,135.1
1414 Van Ness,1412 VAN NESS AVE,94109,32654,,,,,,,,,,,,87,27.2,85.4,27.2,85.3,86,24,75.5,24,75.5,,,,,
Exchange Block Building,369 PINE ST,94104,69988,Office,,,,,,86,64.3,139.6,63.3,138.5,87,58.3,122.8,58.7,123.2,91,49.7,108.9,54.3,113.8,94,47.8,103.7,50.5,106.6
625 PINE ST,625 PINE ST,94108,12756,,,,,,,,,,,,,,,,,,,,,,,,,,
Winton Properties,383 RHODE ISLAND ST,94103,27667,Office,,,,,,,,,,,100,21.6,53.4,20.7,52.4,100,18.4,49.9,18.4,49.9,100,19.6,54.9,19.6,54
4840 MISSION ST,4840 MISSION ST,94112,35000,Other,,,,,,,25.2,41.1,25.2,41.1,,28,43.1,26.5,41.2,,23.6,37.6,26.9,41,,24.1,39.4,25.4,40.8
2145 Market Street,2145 Market St,94114,47407,Mixed Use Property,,,,,,,77.7,244.1,79.4,249.4,,78.4,246.3,79.8,250.6,,89.9,269.1,86.6,257.4,,93.2,269.1,91.4,263.4
Hotel Nikko,222 MASON ST,94102,618958,Hotel,81,61.9,,61.9,,90,58,134,58.1,134.2,65,71.1,162.6,71.1,162.6,58,77.8,166.1,77.8,166.1,59,89.9,166.3,89.9,166.3
1058 HOWARD ST,1058 HOWARD ST,94103,15900,,,,,,,,,,,,,,,,,,,,,,,,,,
495 Cambridge St,495 Cambridge St,94134,28096,,,,,,,,,,,,,,,,,,,,,,,,,,
1363 Divisadero St,1363 DIVISADERO ST,94115,12998,Retail Store,,,,,,,,,,,,52.3,163.9,52.3,163.9,,54,169,54,169,,51.2,160.8,50.8,159.4
1019 CLEMENT ST,1019 CLEMENT ST,94118,14500,Urgent Care/Clinic/Other Outpatient,,,,,,,,,,,,,,,,,,,,,,4.9,8.5,5.2,8.9
Headquarters,1500 MISSION ST,94103,86970,,,45.5,,42.7,,,26.8,67.1,27.4,67.7,,28.4,69.6,27,68.2,,,,,,,,,,
One Trinity Center,1145 MARKET ST,94103,159330,Office,86,59,135.1,59,135.1,93,48.9,112.4,48.9,112.4,95,50,103.4,50,103.4,86,57.2,131.2,58.8,133.1,77,66.1,155.2,66.9,156.2
Pier 50 - Shed C,50 Pier Shed C,94158,141153,Other,,11.1,34.9,11.1,34.9,,27.3,85.8,27.3,85.8,,29.5,92.7,29.5,92.7,,22,69.2,,,,24,75.5,24,75.5
"Mission Language and Vocational School, Inc. (MLVS)",2929 19TH ST,94110,35072,Vocational School,,,,,,,,,,,,31.4,49.3,27.1,44.7,,16.2,36.5,19.6,40.1,,29.6,60.5,29.6,60.5
Bay Club San Francisco Tennis,645 5TH ST,94107,249625,Fitness Center/Health Club/Gym,,61.7,,61.7,,,68.9,161.5,68.3,161.4,,69.6,157.2,70,157.6,,63.6,149.9,66.2,152.7,,61.6,146.7,63.5,148.7
655 4TH ST,655 4TH ST,94107,17640,Office,,,,,,,,,,,,146.1,249.4,146.1,249.4,,134.6,241.5,134.6,241.5,,125.5,231.7,125,229.8
345 W Portal Ave,345 W Portal Ave,94127,12500,Medical Office,,,,,,,,,,,73,46.9,111.6,46.9,111.6,81,38.8,94.4,38.8,94.4,77,38.7,90,38.7,90
Four Maritime Plaza,250 CLAY ST,94111,13491,Other,,,,,,,,,,,24,86.7,144.5,87.9,145.8,,46.4,94.6,52.9,96,,28.9,89.7,27.6,85.6
"1430. 1450, 1480 Van Ness Ave",1430 Van Ness,94109,28300,Retail Store,,,,,,,25.5,75.3,25.5,75.2,,32.7,99,32.7,99,,28.9,90.7,28.9,90.7,,27.9,87.3,27.9,87.3
1320 GOLDEN GATE AVE,1320 GOLDEN GATE AVE,94115,15812,Worship Facility,,,,,,,,,,,82,16.8,21.9,15,19.8,80,12.8,18.1,16.5,21.9,84,12.8,18,13.9,19.2
One Maritime Plaza,300 CLAY ST,94111,622267,Office,78,88.9,,88.9,,79,87,200.4,84.7,198.1,80,85.2,186,85.6,186.4,83,73.2,171.2,77,175.1,83,75.4,175.6,76.2,176.5
2400 14TH AVE,2400 14TH AVE,94116,18000,Social/Meeting Hall,,,,,,,,,,,,20.9,42.4,19.4,40.9,,20.2,45.4,22.1,47.3,,12.7,32.5,,
2731 MISSION ST,2731 MISSION ST,94110,12189,,,,,,,,,,,,,,,,,,,,,,,,,,
230 8TH ST,230 8TH ST,94103,19520,,,,,,,,,,,,,,,,,,,,,,,,,,
1 MCCOPPIN ST,1 MCCOPPIN ST,94103,90377,,,175.9,,179.2,,,178.7,596.7,181.9,607.5,,,,,,,186,584.1,180.8,567.6,,,,,
640 2ND ST,640 2ND ST,94107,24096,Office,,,,,,,,,,,76,43.6,112.8,43.7,113,88,33.6,87.2,36.7,90.5,89,36.4,92.4,37.5,93.5
Hotel Adagio - Autograph Collection,550 GEARY ST,94102,99000,Hotel,,,,,,98,54.5,93.7,54.5,93.7,79,76.5,149.2,76.6,150.2,75,73.6,149.7,74.2,148.5,77,73.9,147,74.4,146.8
1011 Bryant,1001-1011 Bryant St,94103,63221,Automobile Dealership,,,,,,,61.6,168.1,60.6,167.2,,63.2,170.7,61.1,168.5,,58.7,171.8,57.7,168.6,,56.1,166.8,56.5,166.2
1830 Harrison,1830 HARRISON ST,94103,16710,Distribution Center,,,,,,,,,,,,41.7,101.6,40.7,101.6,,33,88.1,35.7,90.8,,31.6,81.7,33.6,83.9
827 STOCKTON ST,827 STOCKTON ST,94108,16716,,,,,,,,,,,,,,,,,,,,,,,,,,
748 MISSION ST,748 MISSION ST,94103,29440,,,,,,,,,,,,,,,,,,,,,,,,,,
2400 3RD ST,2400 3RD ST,94107,26665,Office,,,,,,76,44.8,114.2,45.7,117.2,81,40.2,102.7,40.3,102.8,85,34,93,34,93,85,36,94.6,36.5,93.5
Mechanics' Institute,57 POST ST,94104,70769,Mixed Use Property,,49,,48.7,,,47.9,94.2,46.5,92.7,,43.2,77.9,43.4,78.1,,37.1,72.3,40.1,75.4,,34,70.1,35.8,72
12 Geary St. Building,10 GEARY ST,94108,19260,Office,,,,,,,,,,,99,29,52.9,29.4,53.4,100,22.3,42,26.8,46.7,100,20.4,36.8,21.6,38.2
Native Sons Building,414 MASON ST,94102,68132,Mixed Use Property,,77.6,,78.3,,,76.3,172.7,77.4,173.9,,65.3,146.1,64.7,146.3,,62.4,145.3,63.9,144.6,,56.4,131.9,57,131.7
962 BATTERY ST,962 BATTERY ST,94111,18267,Office,,,,,,,,,,,82,42.9,105.2,43.2,105.4,88,35.3,89.1,38.8,92.7,79,41.4,109.5,42.5,110.7
Hawthorne Plaza - 95 Hawthorne,95 HAWTHORNE ST,94105,107275,Office,77,57.4,,56.8,,88,53.3,121.7,52.8,121.1,87,52,115,52.1,115.1,87,49,113,50.3,113,84,50.1,106.3,51.4,107.6
1234 INDIANA ST,1234 INDIANA ST,94107,15161,Office,,,,,,,,,,,49,35.6,79.2,35.7,79.3,47,35.4,78.4,36.4,79.4,52,33.4,75.9,33.8,76.1
111 Sutter Street,111 SUTTER ST,94104,286357,Office,82,66.8,,64.4,,85,67.4,163.8,65.5,161.7,88,59.9,138.9,60.1,139.2,91,53.1,128.6,56.5,132.1,92,52.3,125.4,54.3,127.6
350 Rhode Island Street,350 Rhode Island St - SOUTH,94103,204740,Office,33,88.8,,88.8,,,,,,,,,,,,100,30.2,52,31.7,53.5,100,29.2,48.9,29.7,49.4
Hotel Whitcomb,1215 MARKET ST,94103,290000,,89,52.4,,52.4,,,,,,,59,49.1,100.7,49.1,100.7,68,40.7,84.4,41.6,87.1,,,,,
1250 VAN DYKE AVE,1250 VAN DYKE AVE,94124,20500,,,,,,,,,,,,,,,,,,,,,,,,,,
Westin San Francisco Market Street,50 3RD ST,94103,525313,,88,50.1,137.3,50.5,137.7,87,50,137.6,50.7,139.2,90,47.3,131.3,47.5,131.5,,,,,,,,,,
640 SUTTER ST,640 SUTTER ST,94108,101662,Hotel,,,,,,,,,,,62,79.9,134.2,79.9,134.2,61,72.2,126.6,73.4,127.9,59,77.2,131.2,77.2,131.2
441 MASON ST,501 Post Street,94102,115722,Hotel,,,,,,,,,,,38,56.3,139.4,56.3,139.4,38,52.6,131.2,52.6,131.2,39,53.1,131.7,53.1,131.7
177 Post Street Associates,177 POST ST,94108,67390,Office,97,30.8,,30.3,,86,46.7,156,46.7,156,86,41.5,130.2,41.5,130.2,84,41.1,129.1,40.3,126.4,84,41.1,129,40.5,127.1
C&W GMIC 720 Market,720 MARKET ST,94108,42890,Office,,,,,,88,47.6,116.8,46.5,115.7,94,39,89.2,37.2,87.4,92,39.7,94.5,42.8,97.8,87,55.7,131.5,57.2,133
2222 PALOU AVE,2222 PALOU AVE,94124,44311,Non-Refrigerated Warehouse,,,,,,97,10.6,33.2,10.6,33.2,97,11.1,34,11.1,34,95,11.9,37,11.9,37,92,14.6,45.8,14.6,45.8
635 PINE ST,635 PINE ST,94108,45749,,,,,,,,,,,,,,,,,,,,,,,,,,
1554 VAN NESS AVE,1554 VAN NESS AVE,94109,44402,,,,,,,,,,,,,,,,,,,,,,,,,,
2950 GEARY BLVD,2950 GEARY BLVD,94118,10633,Retail Store,,,,,,,,,,,,43.7,109.5,41.5,107.2,,33.2,94.7,33.2,94.7,,36.3,94.2,37.8,95.8
Walden House,1885 MISSION ST,94103,25543,,,,,,,98,27.3,59.4,26.3,58.3,98,24.8,57.9,23.5,56.5,100,18.1,45.5,18.1,45.5,,,,,
649 GREEN ST,649 GREEN ST,94133,19319,,,,,,,,,,,,,,,,,,,,,,,,,,
1241 EVANS AVE,1241 EVANS AVE,94124,24000,,,,,,,,,,,,,,,,,,,,,,,,,,
2511 BUSH ST,2511 BUSH ST,94115,32000,,,,,,,,,,,,,,,,,,,,,,,,,,
315 Montgomery Street,315 MONTGOMERY ST,94104,246955,Office,82,66.9,,67.2,,81,67.8,166.4,65.5,165.2,79,68.1,158.4,68.1,158.1,89,55.3,125.8,56.9,127.7,88,58.8,134.9,58.8,134.9
Adam Grant Building,114 SANSOME ST,94104,179703,Office,92,56,,56,,,,,,,,,,,,,,,,,98,40.7,100.7,42.4,102.5
1355 SUTTER ST,1355 SUTTER ST,94109,82250,,,,,,,,,,,,48,78.5,181.3,78.8,181.6,43,80,185.4,83.7,189.3,,,,,
FedEx Processing Center,1875 Marin St,94124,112054,,,,,,,92,21.8,56.6,21.8,56.6,92,20.1,55.9,20.1,55.9,91,19.8,59,19.8,59,,,,,
235 Pine,235 PINE ST,94104,222853,Office,97,39.1,,38.4,,97,35.8,94.6,35.8,94.6,95,40,100.7,40,100.7,91,45.1,121.2,47.3,123.4,93,44.3,114.4,45.5,115
39 STOCKTON ST,39 STOCKTON ST,94102,11469,,,,,,,,,,,,,,,,,,,,,,,,,,
354 Pine Street LLC,348 PINE ST,94104,22694,Office,,,,,,,,,,,73,59.4,102.8,59.7,103,75,54.4,96,57.8,99.6,76,55.5,95.5,56.5,96.6
2000 Oakdale Ave,2000 OAKDALE AVE,94124,37000,,,,,,,88,6.5,15,6.5,15,79,17.2,28.9,17.2,28.9,,,,,,,,,,
800 Bryant St,498 6TH ST,94103,21437,Office,,,,,,,,,,,33,49.7,156.2,50.5,158.6,28,50.2,157.6,48.5,152.2,30,49.7,156,48.7,153.1
"79 New Montgomery, LLC",77 NEW MONTGOMERY ST,94105,147509,College/University,,62.2,,58.8,,,56.7,140,54.9,141.5,,59.3,131.2,59.8,131.7,,52.2,116.9,59.9,125.1,,45.8,105.7,48.7,108.7
1990 OCEAN AVE,1990 OCEAN AVE,94127,76854,,,,,,,,,,,,,,,,,,,,,,,,,,
Buena Vista Motor Inn,1595 LOMBARD ST,94123,28800,,,,,,,52,56.8,103.6,56.5,102.7,,,,,,,,,,,,,,,
2001 Bryant Street,2001 BRYANT ST,94110,14700,Office,,,,,,,,,,,97,39.6,80.4,39.7,80.7,99,24.5,51.1,29.9,56.7,85,36.4,93,38.1,94.7
838 GRANT AVE,838 GRANT AVE,94108,62370,,,,,,,,,,,,,19.2,55.3,19.3,55.4,,17.3,50.2,17.8,51.4,,,,,
444 BRYANT ST,444 BRYANT ST,94107,20815,,,,,,,,,,,,,,,,,,,,,,,,,,
450 BRYANT ST,448 BRYANT ST,94107,7600,,,,,,,,,,,,,,,,,,,,,,,,,,
MIREF 250 Montgomery LLC,250 MONTGOMERY ST,94104,130326,,,,,,,84,47.5,115.5,46.9,114.8,88,48.2,113.6,48.4,113.8,88,51.1,128.7,53.3,130.9,,,,,
972 MARKET ST,972 MARKET ST,94102,11530,,,,,,,,,,,,,,,,,,,,,,,,,,
GGCC Building,378 18TH AVE,94121,17900,Worship Facility,,,,,,,,,,,,23.8,62.3,23.5,61.9,,22.2,59.3,22.8,59.9,,21,54.6,21,53.9
428 3RD ST,428 3RD ST,94107,10800,Other - Services,,,,,,,,,,,,34.2,80,34.3,80.2,,27.1,70.1,28.9,72,,29,71,29.4,71.6
62 1ST ST,62 1ST ST,94105,68783,Office,,,,,,,,,,,84,32.6,68.4,32.6,68.4,28,57.2,132.6,57.2,132.6,26,79,170.2,79,170.2
Savoy Corporation,2720 TAYLOR ST,94133,46962,Office,,,,,,72,65.3,184.6,64.1,183.3,45,63,167.9,63.1,168.1,38,64.1,177,65.8,178.8,37,67.1,181.6,67.1,181.6
First Republic Bank Building,111 PINE ST,94111,247000,Office,80,72.9,,72.1,,85,70.7,198.5,70.1,197.8,89,63.7,171.2,63.9,171.4,92,58.2,160.4,60.1,162.4,92,58,159.6,59.1,160.7
Jews for Jesus,60 HAIGHT ST,94102,11209,Office,,,,,,,,,,,57,69.9,182.7,66.9,179.6,62,60.3,168.6,63.8,172.3,68,58.1,157.4,59.5,158.9
SF SPCA Pacific Heights,2343 Fillmore Street,94115,18911,Veterinary Office,,,,,,,,,,,,,,,,,,,,,,108.7,257.6,111.4,260.4
690 5TH ST,690 5TH ST,94107,13256,Office,,,,,,,,,,,,,,,,,,,,,73,49.9,156.3,47.7,149.5
600 Battery Street,600 BATTERY ST,94111,112208,Office,82,64.5,,61.9,,82,59.4,164.9,58.9,165.3,82,64.1,153.3,64.4,153.6,87,49.1,137.2,49.1,137.2,89,48,132.4,47.9,131.1
400 Sutter,400 SUTTER ST,94108,22830,Retail Store,,,,,,,,,,,,24,65.8,24,65.8,,24.3,70.1,24.3,70.1,,35.7,88.8,36.5,89.7
240 7TH ST,240 7TH ST,94103,11203,,,,,,,,,,,,,,,,,,,,,,,,,,
"2300 Stockton Street, LLC",2340 STOCKTON ST,94133,64530,College/University,,118.3,,117.1,,,109.8,221.9,106.6,218.5,,62.5,88.6,62.8,88.9,,33.4,56.8,37.5,61.1,,82.8,165.9,87.7,171
Soko Hardware,1672 POST ST,94115,18000,Retail Store,,,,,,,,,,,,21.4,65.1,21.2,64.9,,21.2,66.1,20.6,64.1,,21.7,67.7,21.4,66.7
717 BATTERY ST,717 BATTERY ST,94111,32667,,,,,,,,,,,,,,,,,,,,,,,,,,
One Union,1075 FRONT ST,94111,39992,Office,,,,,,81,41.7,130.8,42.1,132.3,62,53.6,164.2,53.6,164.2,15,85.9,264.6,86.6,265.4,19,82,255.7,80.6,251.6
Robert Mizono Studios,150 MISSISSIPPI ST,94107,12300,Non-Refrigerated Warehouse,,,,,,,,,,,20,56,140.7,56.3,140.8,19,54.3,133.5,61.1,140.5,9,72.3,172.6,76.6,177.1
Montgomery Campus,450 IRWIN ST,94107,149000,,,68.4,,68.4,,,58.7,146.6,59.5,147.4,,,,,,,,,,,,,,,
525 HARRISON ST,525 HARRISON ST,94105,16000,Bar/Nightclub,,,,,,,,,,,,16.3,48.5,16.3,48.5,,16.2,48.4,16.2,48.4,,17.7,52.1,17.7,52.1
424 TOWNSEND ST,424 TOWNSEND ST,94107,13714,Distribution Center,,,,,,,,,,,52,17.6,33.1,17.7,33.1,60,12.4,28.5,12.4,28.5,55,17.1,31.5,20.8,35.3
Byer California - 128 King St.,128 KING ST,94107,46500,Office,,,,,,,261.4,497.1,262.1,499.7,,242.5,493.5,242.3,493,,241.9,483.3,239.8,476.8,,242.6,468.2,240.8,462.4
LPF 1725 Montgomery,1701 MONTGOMERY ST,94133,42989,Office,,,,,,100,16.1,50.5,14.6,46.1,,,,,,96,26,80.3,26,80.3,90,32.4,100.7,32.5,100.8
301 Howard,301 HOWARD ST,94105,342355,,85,47.4,,47.4,,86,57.4,140.8,56.6,140.8,82,60.8,148.2,60.9,148.3,85,60.2,149.9,61.8,151.6,,,,,
390 BAY SHORE BLVD,390 BAY SHORE BLVD,94110,12700,Fitness Center/Health Club/Gym,,,,,,,,,,,,,,,,,9.4,20.8,,,,9.6,20.4,11.9,23.2
995 MARKET ST,995 MARKET ST,94103,94000,,,,,,,,,,,,,,,,,100,12.3,36.4,12.3,36.4,,,,,
Chinese Hospital,845 JACKSON ST,94108,43120,Hospital (General Medical & Surgical),,,,,,17,376.1,722.3,377.9,727.8,29,302.8,669.7,299.3,658.9,4,399.5,850.5,399.5,850.5,7,376.2,801.5,376.4,802.2
208 Utah,208 Utah Street,94103,76620,Office,99,30.2,,30.2,,94,27.9,83.7,27.6,83.5,96,30.7,86.1,30.7,86.1,77,73,198.3,73,198.3,79,64.8,193.4,64,190.9
256 Sutter Street,256 SUTTER ST,94108,13608,"Personal Services (Health/Beauty, Dry Cleaning, etc.)",,,,,,,,,,,,32.2,90.9,32.3,90.9,,35.5,102,36.1,102.6,,41.4,122.1,41.7,122.3
160 Pine,100 BATTERY ST,94111,95289,Office,76,48.2,,48.2,,70,59.9,174.8,60.1,175,65,63.4,174.1,63.3,173.9,59,67.6,181.2,66.8,178.9,65,64.8,172.7,64.8,172.7
2 CONNECTICUT ST,2 CONNECTICUT ST,94107,15624,,,,,,,,,,,,,,,,,,,,,,,,,,
1534 FILLMORE ST,1534 FILLMORE ST,94115,10545,,,,,,,,,,,,,,,,,,,,,,,,,,
Terra Verde - 26 O'Farrell,20 OFARRELL ST,94108,40858,Office,,,,,,,39.7,93.1,39.8,93.5,96,38.5,83.1,38.8,83.6,,35.5,79,40.3,85.1,,41,85,43.2,87.3
3630 BALBOA ST,3630 BALBOA ST,94121,11907,,,,,,,,,,,,,,,,,,,,,,,,,,
160 King Street,153 TOWNSEND ST,94107,325369,Office,83,82.3,,81.7,,80,79.8,200.8,80,202.2,79,84.7,212.5,84.7,212.5,73,88.5,225.2,89.4,223.7,80,80.8,204.7,81.1,203.4
100 Pine,100 PINE ST,94111,478830,Office,95,63.6,,63.5,,88,63.8,155.3,61,152,85,68.5,158.2,68.6,158.2,,62.9,151.1,64.2,151.1,89,57.3,142.2,58,142.4
665 Third Street,665 3RD ST,94107,134554,Office,,,,,,,,,,,58,65.3,197.6,65.4,197.8,69,60.1,184,61.3,185.2,66,62.6,193.3,62.8,193.5
361-365 Brannan St.,361 BRANNAN ST,94107,24500,Office,,,,,,,,,,,69,87.5,168.9,87.7,167.8,65,107.9,174.5,121.4,188.6,62,115.9,183.9,122.3,190.6
1315 EGBERT AVE,1315 EGBERT AVE,94124,10000,,,,,,,,,,,,,,,,,,,,,,,,,,
121 - San Francisco Store,685 7TH ST,94103,47000,Retail Store,,,,,,13,41.7,118.7,40.3,117.3,31,32.1,84.3,31.4,83.6,24,25.4,77.1,24.4,74,88,28,81,27.9,79.8
Public Policy Institute of California,500 WASHINGTON ST,94111,115609,Office,87,59.5,,55,,91,51.1,130.7,50.4,130,90,46.9,120,47.2,120.3,90,43.4,115,46.1,117.8,92,41.6,110.1,43,111.6
577 2ND ST,577 2ND ST,94107,30480,Office,,,,,,,,,,,,,,,,,,,,,39,65.1,196.1,66,197
240 2nd Street,240 2ND ST,94105,37137,Office,,,,,,97,46,78.3,46.9,80.9,97,45,78.3,45.6,78.8,98,36.1,68,44.9,78.1,98,41,71.9,44.3,75.4
381 BUSH ST,381 BUSH ST,94108,15682,,,,,,,,,,,,,,,,,,,,,,,,,,
544 GOLDEN GATE AVE,544 GOLDEN GATE AVE,94102,16920,Office,,,,,,,,,,,53,48.5,90.6,48.5,90.6,52,46.2,85.2,46.2,85.2,45,49.6,93.5,49.6,93.5
945 Battery St,945 BATTERY ST,94111,66028,Office,53,53.3,,54,,59,52.1,156.1,52.1,156.1,67,46.9,140.9,46.9,141,70,50.8,152.8,51,153,73,48.8,147.4,48,145.1
1501 LOMBARD ST,1501 LOMBARD ST,94123,17698,Hotel,,,,,,,,,,,42,102.1,177,102.2,177,57,87.6,149.8,89.5,151.8,43,93.9,172.9,95.2,174.3
425 Washington,425 WASHINGTON ST,94111,12000,,,,,,,,,,,,,53.1,155.9,53.1,155.8,,53.9,162.2,53.4,158,,,,,
1155 INDIANA ST,1155 INDIANA ST,94107,68332,,,,,,,,,,,,,,,,,,,,,,,,,,
88 Kearny Street Building,88 KEARNY ST,94104,262125,Office,73,67.9,,68.3,,82,56.1,158.1,55.7,157.6,83,53.1,141.1,53.2,141.2,85,51.6,138.4,51.5,136.9,87,49.2,134.5,48.7,132.9
"507 Polk Street, LLC",507 POLK ST,94102,34572,Office,,,,,,87,41.9,127.3,41.4,126.7,89,40.3,115.7,39.4,114.8,89,37.2,110.5,37.2,110.5,90,35.9,109.7,36.1,110
2530 18TH ST,2530 18TH ST,94110,10281,,,,,,,,,,,,,,,,,,,,,,,,,,
2921 MISSION ST,2919 MISSION ST,94110,15431,Office,,,,,,,,,,,,27.1,57.1,24.9,54.4,,15.6,43.6,16.2,45.5,,16.1,43.3,16.3,44
Shanghai Commercial Bank Building,231 SANSOME ST,94104,24444,Office,,,,,,,,,,,83,48.8,114.2,48.8,114.1,81,48.7,117.2,47.5,113.3,78,51.3,124.8,50.4,122
1900 OAKDALE AVE,1900 OAKDALE AVE,94124,39996,Non-Refrigerated Warehouse,,,,,,,,,,,75,9.8,27.8,9.6,27.6,81,8.2,24,8.2,24,83,8.2,23.3,8.5,23.6
1088 Sansome,1090 SANSOME ST,94111,61600,,,21.5,,21.1,,,22.4,70.5,22.5,70.5,,20.5,58.8,20.5,58.9,,,,,,,,,,
The Golden Coin Building,900 KEARNY ST,94133,30190,Office,,,,,,50,58.1,157.5,56.4,155.7,41,64.1,171.9,64.4,172.2,37,58.9,174.4,59.3,172.4,34,58.7,182.2,57.8,179.5
Hotel Villa Florence,225 POWELL ST,94102,115749,,62,110.8,,110.8,,59,111.9,211.2,111.9,211.2,51,103.4,197.3,103.8,198.5,46,104.6,199.8,103.5,196.3,,,,,
1301 Van Ness,1301 VAN NESS AVE,94109,43125,Retail Store,,,,,,,16.5,55.2,16.5,55.2,,13.5,42.2,13.5,42.2,,22.5,70.7,22.5,70.7,,35.6,111.7,35.6,111.7
1699 Van Ness,1699 VAN NESS AVE,94109,41100,Office,,,,,,60,72.7,148.4,72.7,148.4,50,60.8,135.5,60.8,135.5,,,,,,,67.7,142.8,67.7,142.8
250 EXECUTIVE PARK BLVD,250 EXECUTIVE PARK BLVD,94134,112390,,,,,,,,,,,,88,51,130.2,49.9,129,89,43.9,122.3,43.9,122.3,,,,,
601 Townsend St.,700 7TH ST,94107,384203,,100,68.1,,69.2,,100,98.1,156.5,98.1,156.5,100,97.4,167.2,97.4,167.2,99,97.8,164.9,97.8,164.9,,,,,
414 Brannan Street,414 BRANNAN ST,94107,19249,Office,,,,,,,,,,,98,28.4,73,28.4,73,98,32.7,92,32.3,88.6,96,38.3,108.3,38.3,108.3
33 Powell Street Corporation,17 POWELL ST,94102,39595,,,,,,,78,97.7,144.6,97.7,144.6,,,,,,,,,,,,,,,
58 2nd Street,60 2ND ST,94105,15900,Other,,,,,,,,,,,,110.8,191,110.8,191,,136.6,216.3,136.6,216.3,,129.9,207.8,129.9,207.8
650 Alabama LLC,612 ALABAMA ST,94110,91619,Mixed Use Property,,59.1,,59.1,,,37.1,116.4,37.1,116.4,,45.4,108.6,44.3,107.5,,59,152.9,60.7,154.7,,62.8,161.4,63.5,162.1
665 GRANT AVE,665 GRANT AVE,94108,10114,,,,,,,,,,,,,,,,,,,,,,,,,,
The Family Club,545 POWELL ST,94108,17500,Office,,,,,,,,,,,,,,,,,93.9,185.8,101.6,193.9,,87.9,161.4,90.4,164
701 BAY SHORE BLVD,701 BAY SHORE BLVD,94124,30000,,,,,,,,1,3.2,1,3.2,,16.8,35.4,15.4,33.9,,15.8,39.5,15.8,39.5,,,,,
290 DIVISION ST,290 DIVISION ST,94103,38072,,,,,,,,,,,,,,,,,,,,,,,,,,
246 First Street LLC,234 1ST ST,94105,70000,,66,50.6,,49.8,,65,54.5,156.5,54.5,156.6,59,68.2,166.1,68.2,166.1,,,,,,,,,,
1699 HOWARD ST,1699 HOWARD ST,94103,12198,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco Museum of Modern Art,151 3RD ST,94103,225000,,,38039.4,,36588.4,,,,,,,,,,,,,,,,,,,,,
1390 SILVER AVE,1390 SILVER AVE,94134,15232,,,,,,,,,,,,,,,,,37,105.6,329.4,103,321.3,,,,,
333 BRANNAN ST,333 BRANNAN ST,94107,13740,,,,,,,,,,,,,,,,,,,,,,,,,,
1260 EGBERT AVE,1260 EGBERT AVE,94124,10000,Non-Refrigerated Warehouse,,,,,,,,,,,,,,,,,,,,,27,8.1,25.5,8.1,25.5
