Building Name,Building Address,Postal Code,Floor Area,Property Type - Self Selected,2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2)
750 BRANNAN ST,750 BRANNAN ST,94103,24419,,,,,,,,,,,,62,34.5,71,31.2,67.6,67,21.3,56.1,21.3,56.1,,,,,
417 Montgomery Street,417 MONTGOMERY ST,94104,95070,Office,80,54.2,,51.9,,81,53.6,149.1,51.5,146.6,84,50.6,133.7,51,134.2,86,39.6,105.5,43.4,110,86,46.4,120.7,48.4,123.1
1850 CESAR CHAVEZ ST,1850 CESAR CHAVEZ ST,94107,10640,,,,,,,,,,,,,,,,,,,,,,,,,,
Potrero Business Center,1760 CESAR CHAVEZ ST,94124,42997,Office,,,,,,,,,,,,63.7,106.1,59.2,101.5,,76.5,124.1,84.5,132.6,,76.9,126.4,79,128.6
SHB Building,2252 Broadway,None,,,,,,,,,,,,,,,,,,,,,,,,,,,
225 BAY SHORE BLVD,225 BAY SHORE BLVD,94124,12004,,,,,,,,,,,,,,,,,,,,,,,,,,
JPMorgan Chase - WM1405 Polk,1500 Polk St,94109,11935,Bank Branch,,,,,,,,,,,64,50.3,120.5,50.3,120.5,41,70,151.5,70,151.5,68,81.6,170.2,82.8,170.2
575 6TH ST,575 6TH ST,94107,82731,,,,,,,,,,,,,,,,,,,,,,,,,,
1212 Market/11 Grove,1212 MARKET ST,94102,24178,Office,,,,,,,,,,,100,21.6,48.7,20.6,47.8,98,22.5,57.3,24.5,59.4,99,21.6,56,21.3,55.1
425 2ND ST,425 2ND ST,94105,48910,,,,,,,,,,,,,,,,,,,,,,,,,,
