"company","position","salary","worklife","compensation","jobsecurity","management","culture"
"1st Merchant Funding",NA,NA,"4.3","4.0","3.8","3.3","3.3"
"2K Games","Quality Assurance Tester",10.9,"3.8","3.4","2.8","3.8","3.8"
"2K Games","Customer Service Representative",17.49,"3.8","3.4","2.8","3.8","3.8"
"3M","Material Handler",12.87,"3.9","3.9","3.5","3.7","3.9"
"3M","Operator",14.65,"3.9","3.9","3.5","3.7","3.9"
"3M","Machine Operator",14.12,"3.9","3.9","3.5","3.7","3.9"
"3M","Senior Engineer",99843,"3.9","3.9","3.5","3.7","3.9"
"3M","Senior Research Engineer",98890,"3.9","3.9","3.5","3.7","3.9"
"3M","Shipping and Receiving Clerk",15.36,"3.9","3.9","3.5","3.7","3.9"
"3M","Product Development Engineer",86434,"3.9","3.9","3.5","3.7","3.9"
"3M","Warehouse Worker",14.25,"3.9","3.9","3.5","3.7","3.9"
"3M","Technician",42568,"3.9","3.9","3.5","3.7","3.9"
"3M","Forklift Operator",15.14,"3.9","3.9","3.5","3.7","3.9"
"3M","Scientist",100109,"3.9","3.9","3.5","3.7","3.9"
"3M","Maintenance Mechanic",24.78,"3.9","3.9","3.5","3.7","3.9"
"3M","Electronics Technician",25032,"3.9","3.9","3.5","3.7","3.9"
"3M","Production Associate",35530,"3.9","3.9","3.5","3.7","3.9"
"3M","Maintenance Technician",22.79,"3.9","3.9","3.5","3.7","3.9"
"3M","Assembler",12.38,"3.9","3.9","3.5","3.7","3.9"
"3M","Slitter Operator",16.24,"3.9","3.9","3.5","3.7","3.9"
"3M","Senior Product Development Engineer",95865,"3.9","3.9","3.5","3.7","3.9"
"3M","Production Operator",15.6,"3.9","3.9","3.5","3.7","3.9"
"3M","Senior Analytical Chemist",95530,"3.9","3.9","3.5","3.7","3.9"
"3M","Packer",13.57,"3.9","3.9","3.5","3.7","3.9"
"3M","Production Worker",11.85,"3.9","3.9","3.5","3.7","3.9"
"3M","Research Scientist",95317,"3.9","3.9","3.5","3.7","3.9"
"3M","Senior Research Chemist",89874,"3.9","3.9","3.5","3.7","3.9"
"3M","Senior Chemist",97783,"3.9","3.9","3.5","3.7","3.9"
"A9.com","Software Engineer",119828,"4.5","4.5","3.5","4.0","4.5"
"A9.com","Senior Software Engineer",142740,"4.5","4.5","3.5","4.0","4.5"
"A9.com","Engineering Program Manager",138487,"4.5","4.5","3.5","4.0","4.5"
"A9.com","Software Test Engineer",117550,"4.5","4.5","3.5","4.0","4.5"
"A9.com","User Experience Designer",96466,"4.5","4.5","3.5","4.0","4.5"
"A9.com","Software Developer",122123,"4.5","4.5","3.5","4.0","4.5"
"A9.com","Data Analyst",118105,"4.5","4.5","3.5","4.0","4.5"
"Accenture","Software Architect",110188,"3.7","3.6","3.8","3.6","3.9"
"Accenture","Computer Programmer",70475,"3.7","3.6","3.8","3.6","3.9"
"Accenture","Senior Systems Analyst",74991,"3.7","3.6","3.8","3.6","3.9"
"Accenture","Consulting Manager",119053,"3.7","3.6","3.8","3.6","3.9"
"Accenture","Consultant",81141,"3.7","3.6","3.8","3.6","3.9"
"Accenture","SAP Consultant",95047,"3.7","3.6","3.8","3.6","3.9"
"Accenture","Systems Analyst",85517,"3.7","3.6","3.8","3.6","3.9"
"Accenture","Senior Quality Analyst",70604,"3.7","3.6","3.8","3.6","3.9"
"Accenture","Implementation Consultant",90172,"3.7","3.6","3.8","3.6","3.9"
"Accenture","Supply Chain Manager",125229,"3.7","3.6","3.8","3.6","3.9"
"Accenture","Engineering Lead",90304,"3.7","3.6","3.8","3.6","3.9"
"Accenture","Senior Consultant",92230,"3.7","3.6","3.8","3.6","3.9"
"Accenture","Integration Manager",126302,"3.7","3.6","3.8","3.6","3.9"
"Accenture","Senior Information Technology Manager",72881,"3.7","3.6","3.8","3.6","3.9"
"Accenture","Manager",120019,"3.7","3.6","3.8","3.6","3.9"
"Accenture","Service Delivery Manager",115647,"3.7","3.6","3.8","3.6","3.9"
"Accenture","Program Manager",99234,"3.7","3.6","3.8","3.6","3.9"
