Index,store,coupon,discount,total
1,JunoActive,No Coupons Available,2.5% Cash Back,
2,Jurlique,3 Coupons,4.0% Cash Back,"$35,434 "
3,JUSbyJulie,6 Coupons,7.5% Cash Back,
4,Just My Size,6 Coupons,3.0% Cash Back,"$74,022 "
5,JustBlinds.com,3 Coupons,1.5% Cash Back,
6,Justfly.com,1 Coupon,Up to $8.00,
7,Justice,4 Coupons,2.0% Cash Back,"$397,258 "
8,JW Marriott,No Coupons Available,2.5% Cash Back,"$23,718 "
9,K-SWISS,4 Coupons,5.0% Cash Back,
10,Kaplan Test Prep,No Coupons Available,3.0% Cash Back,"$72,899 "
11,Karen Kane,4 Coupons,4.0% Cash Back,
12,Karen Millen,3 Coupons,3.0% Cash Back,
13,Kaspersky Lab,No Coupons Available,10.0% Cash Back,
14,Kat Von D Beauty,1 Coupon,4.0% Cash Back,
15,Katarina.com,No Coupons Available,3.5% Cash Back,
16,Kate Somerville,5 Coupons,4.0% Cash Back,
17,kate spade new york,6 Coupons,7.0% Cash Back was 3.5%,
18,KaTom,2 Coupons,Up to 3.5%,
19,Kay Jewelers,38 Coupons,7.0% Cash Back was 3.5%,
20,Keds,27 Coupons,5.0% Cash Back,"$36,118 "
21,Keen Footwear,2 Coupons,1.0% Cash Back,
22,Keepsake Quilting,9 Coupons,6.0% Cash Back,
23,KEH Camera,3 Coupons,1.0% Cash Back,
24,Kelly Wearstler,1 Coupon,3.0% Cash Back,
25,Kelly's Running Warehouse,No Coupons Available,3.0% Cash Back,"$23,076 "
26,Kelsi Dagger Brooklyn,1 Coupon,4.0% Cash Back,
27,Kelty,5 Coupons,3.0% Cash Back,
28,Kenneth Cole,2 Coupons,1.5% Cash Back,"$25,151 "
29,Kerastase,5 Coupons,7.5% Cash Back was 3.5%,
30,Keurig,5 Coupons,Up to 4.0%,"$411,173 "
31,KicksUSA,3 Coupons,5.0% Cash Back,
32,Kids Foot Locker,11 Coupons,5.0% Cash Back was 3.0%,"$78,674 "
33,Kiehl's,1 Coupon,8.0% Cash Back was 4.0%,
34,Kiko Cosmetics,13 Coupons,4.0% Cash Back,
35,Kipling,5 Coupons,2.0% Cash Back,"$102,790 "
