store,coupon,discount,total
AT-A-GLANCE,10 Coupons,5.5% Cash Back,"$10,464 "
ATG Stores,No Coupons Available,3.5% Cash Back,"$29,566 "
Athleta,3 Coupons,2.0% Cash Back,"$682,248 "
Atkins,2 Coupons,5.0% Cash Back,
Atlantis,9 Coupons,2.0% Cash Back,
Auburn University Anders Bookstore,6 Coupons,1.0% Cash Back,
Augusta Active,3 Coupons,2.5% Cash Back,
Auto Barn,6 Coupons,6.0% Cash Back,
Auto Europe Car Rentals,17 Coupons,Up to 3.5%,
Auto Parts Warehouse,4 Coupons,4.0% Cash Back,
AutoAnything,35 Coupons,3.0% Cash Back,
Autodesk,2 Coupons,6.0% Cash Back,
AutoZone,3 Coupons,2.0% Cash Back,"$126,094 "
Avast,15 Coupons,20.0% Cash Back,
Aveda,4 Coupons,4.0% Cash Back,"$17,744 "
avenue,12 Coupons,3.5% Cash Back,"$296,930 "
AVG Antivirus,26 Coupons,Up to 20.0%,
AvidMaxOutfitters.com,8 Coupons,3.0% Cash Back,
Avis,No Coupons Available,3.0% Cash Back,"$255,863 "
AW Direct,2 Coupons,3.5% Cash Back,
Azalea Boutique,3 Coupons,4.0% Cash Back,
B&T Factory Direct,3 Coupons,2.0% Cash Back,
B-Glowing,6 Coupons,4.5% Cash Back,
B2C Jewels,2 Coupons,Up to 3.5%,
Babies R Us,22 Coupons,1.0% Cash Back,"$418,715 "
Baby Depot,No Coupons Available,2.5% Cash Back,"$2,302 "
Baby Gap,No Coupons Available,6.0% Cash Back was 2.0%,"$189,790 "
Babybasket.com,No Coupons Available,5.0% Cash Back,"$4,371 "
Backcountry.com,15 Coupons,4.0% Cash Back,
Backyard Ocean,9 Coupons,1.5% Cash Back,
Bailey44,5 Coupons,3.0% Cash Back,
Bake Me A Wish,1 Coupon,6.0% Cash Back,"$7,102 "
Bakers,No Coupons Available,4.0% Cash Back,
Bally's Atlantic City,4 Coupons,2.5% Cash Back,"$1,683 "
Bally's Las Vegas,4 Coupons,2.5% Cash Back,
Balsam Hill,13 Coupons,1.0% Cash Back,"$17,860 "
bambeco,7 Coupons,4.0% Cash Back,"$3,004 "
Banana Republic,2 Coupons,2.0% Cash Back,"$1,628,938 "
Banana Republic CA,2 Coupons,2.0% Cash Back,"$6,857 "
Banana Republic Factory,5 Coupons,2.0% Cash Back,
Bandier,2 Coupons,3.0% Cash Back,
Banggood.com,No Coupons Available,3.0% Cash Back,"$2,648 "
Bare Necessities,3 Coupons,1.5% Cash Back,"$395,802 "
bareMinerals,6 Coupons,5.0% Cash Back,"$67,801 "
BarkBox,No Coupons Available,$7.50 Cash Back,"$10,848 "
BarkShop,4 Coupons,7.5% Cash Back,
Barnes and Noble,34 Coupons,Up to 3.0%,"$1,866,042 "
Barneys New York,2 Coupons,6.0% Cash Back was 3.0%,
Barneys Warehouse,No Coupons Available,3.0% Cash Back,"$102,611 "
Baseball Rampage and Softball Rampage,3 Coupons,6.0% Cash Back,
Baseball Savings,No Coupons Available,3.25% Cash Back,"$54,498 "
BaseballMonkey.com,1 Coupon,3.0% Cash Back,
Bass Pro Shops,3 Coupons,3.5% Cash Back,
Bates Footwear,2 Coupons,4.0% Cash Back,
Bath and Body Works,7 Coupons,1.0% Cash Back,"$780,780 "
BaubleBar,7 Coupons,1.5% Cash Back,
Bay Alarm Medical,No Coupons Available,$5.00 Cash Back,"$2,225 "
Baylor Bookstore,7 Coupons,1.0% Cash Back,
Baymont Inn and Suites,8 Coupons,2.5% Cash Back,"$6,327 "
BCBG,6 Coupons,6.0% Cash Back,
BCBGeneration,3 Coupons,5.5% Cash Back,"$12,352 "
