store,coupon,discount,total
Danskin,3 Coupons,4.0% Cash Back,"$10,079 "
Darden Restaurants,2 Coupons,1.0% Cash Back,
Darphin,2 Coupons,3.0% Cash Back,
David's Bridal,19 Coupons,1.5% Cash Back,"$17,225 "
David's Cookies,No Coupons Available,3.0% Cash Back,"$14,388 "
Dawgs,6 Coupons,7.5% Cash Back,"$4,069 "
Day Timer,10 Coupons,5.0% Cash Back,"$16,871 "
Days Inn,9 Coupons,2.5% Cash Back,"$23,237 "
Dazadi,2 Coupons,3.0% Cash Back,
DC Shoes,9 Coupons,4.0% Cash Back,"$17,635 "
Deal Extreme,No Coupons Available,2.5% Cash Back,
Deal Genius,11 Coupons,3.0% Cash Back,"$1,556 "
Dealflicks,No Coupons Available,$1.50 Cash Back,"$3,923 "
Debenhams Flowers,No Coupons Available,3.0% Cash Back,
Decor Planet,37 Coupons,3.0% Cash Back,
Deep Discount,3 Coupons,3.0% Cash Back,"$72,130 "
Defender,4 Coupons,4.0% Cash Back,
Degustabox,No Coupons Available,$3.00 Cash Back,
Dell Consumer,23 Coupons,8.0% Cash Back was 2.0%,
Dell Refurbished Computers,7 Coupons,2.5% Cash Back,
Dell Small Business,9 Coupons,8.0% Cash Back was 2.0%,
DentalPlans.com,2 Coupons,$25.00 Cash Back,
DEQOR,No Coupons Available,5.0% Cash Back,"$5,863 "
DermStore,12 Coupons,Up to 4.0%,"$161,222 "
Design by Humans,No Coupons Available,5.0% Cash Back,
Design Within Reach,3 Coupons,2.5% Cash Back,
DesignCrowd,2 Coupons,$2.50 Cash Back,
Designer Living,No Coupons Available,6.0% Cash Back,"$7,692 "
Desigual,1 Coupon,4.0% Cash Back,
Dessy Group,2 Coupons,7.5% Cash Back,
Destination Maternity,4 Coupons,2.5% Cash Back,"$29,573 "
Destination XL,4 Coupons,2.5% Cash Back,"$32,014 "
DHC Beauty,20 Coupons,4.0% Cash Back,"$31,816 "
DHgate,No Coupons Available,1.0% Cash Back,"$1,865 "
Diane von Furstenberg,2 Coupons,3.5% Cash Back,
Diapers.com,20 Coupons,2.0% Cash Back,"$926,874 "
Dick's Sporting Goods,9 Coupons,1.5% Cash Back,"$395,529 "
DIESEL,3 Coupons,4.0% Cash Back,
Diet Direct,11 Coupons,3.5% Cash Back,"$9,282 "
DigitalBuyer.com,33 Coupons,3.0% Cash Back,
Dillard's,4 Coupons,3.0% Cash Back,"$481,727 "
DIRECTV,6 Coupons,$25.00 Cash Back,
DIRECTV NOW,2 Coupons,$16.00 Cash Back,
Discount Contact Lenses,2 Coupons,5.0% Cash Back,
Discount Filter Store,3 Coupons,3.5% Cash Back,"$5,536 "
Discount School Supply,7 Coupons,2.0% Cash Back,
Discount Tire - America's Tire,8 Coupons,3.0% Cash Back,
Discount Tire Direct,1 Coupon,3.0% Cash Back,
DiscountFilters.com,3 Coupons,5.0% Cash Back,"$6,829 "
DiscountGlasses.com,2 Coupons,10.0% Cash Back,
Discovery Channel Store,4 Coupons,4.5% Cash Back,"$46,710 "
DISH Network,4 Coupons,$110.00 Cash Back,
Dish Network - Cannon Satellite TV,No Coupons Available,Up to $75.00,"$4,070 "
Disney Store,7 Coupons,3.0% Cash Back,"$2,282,738 "
DKNY,1 Coupon,5.0% Cash Back,
DL 1961,No Coupons Available,6.0% Cash Back,"$5,334 "
DNA Footwear,3 Coupons,4.0% Cash Back,
Dockers,2 Coupons,2.5% Cash Back,"$27,995 "
Dogeared,1 Coupon,4.0% Cash Back,"$12,561 "
Dolce Vita,1 Coupon,4.0% Cash Back,
Dollar General,9 Coupons,4.0% Cash Back,"$35,311 "
Dollar Rent-A-Car,5 Coupons,4.0% Cash Back,
Dollar Tree,5 Coupons,1.0% Cash Back,"$7,990 "
Domain.com,3 Coupons,10.0% Cash Back,
Domino,5 Coupons,5.0% Cash Back,
Donald J Pliner,3 Coupons,6.0% Cash Back,
Donna Morgan,No Coupons Available,3.5% Cash Back,
Dooney & Bourke,5 Coupons,4.0% Cash Back,
Dorco,6 Coupons,6.0% Cash Back,
Dorothy Perkins,2 Coupons,4.0% Cash Back,"$6,710 "
DoubleTree by Hilton,6 Coupons,2.0% Cash Back,
Dr. Fuhrman,5 Coupons,Up to 5.0%,
Dr. Leonard's Healthcare,1 Coupon,4.0% Cash Back,"$28,778 "
Dr. Scholls Shoes,7 Coupons,4.0% Cash Back,"$4,576 "
Draper James,2 Coupons,3.0% Cash Back,
Draper's & Damon's,3 Coupons,2.5% Cash Back,"$17,845 "
Dream Products Catalog,7 Coupons,4.0% Cash Back,"$6,221 "
The Dreslyn,1 Coupon,2.5% Cash Back,
Dress Lily,40 Coupons,2.5% Cash Back,
dressbarn,5 Coupons,3.5% Cash Back,"$153,028 "
Duncraft Birdfeeders,1 Coupon,5.0% Cash Back,"$23,053 "
Dune London,2 Coupons,Up to 5.0%,
Dunham's Sports,No Coupons Available,No Discount,
Durango Boots,3 Coupons,4.0% Cash Back,
Dutch Gardens,No Coupons Available,6.0% Cash Back,"$18,957 "
Dylan's Candy Bar,10 Coupons,3.0% Cash Back,
Dyn,4 Coupons,10.0% Cash Back,
Dynamite Clothing,1 Coupon,3.0% Cash Back,"$2,461 "
Dyson,4 Coupons,1.5% Cash Back,
e-File,3 Coupons,31.0% Cash Back,
e.l.f. Cosmetics,1 Coupon,3.5% Cash Back,"$127,560 "
Eagle Creek,5 Coupons,5.0% Cash Back,
East Dane,No Coupons Available,4.0% Cash Back,"$26,212 "
Eastbay,6 Coupons,2.5% Cash Back,
Eastern Mountain Sports,4 Coupons,4.0% Cash Back,
Easton Baseball/Softball,9 Coupons,5.0% Cash Back,
Easy Canvas Prints,7 Coupons,1.5% Cash Back,"$24,985 "
Easy Comforts,7 Coupons,5.0% Cash Back,"$2,510 "
Easy Spirit,2 Coupons,Up to 4.0%,"$127,563 "
eBags,45 Coupons,8.0% Cash Back,
eBay,22 Coupons,Up to 5.0% was 0.0%,"$13,834,090 "
eBooks,5 Coupons,4.0% Cash Back,
eCampus.com,4 Coupons,3.5% Cash Back,"$25,322 "
Econo Lodge,1 Coupon,2.5% Cash Back,
EDCskincare,26 Coupons,5.0% Cash Back,
Eddie Bauer,10 Coupons,2.0% Cash Back,"$1,353,678 "
Edible Arrangements,2 Coupons,1.0% Cash Back,"$82,494 "
eDreams,1 Coupon,Up to $7.50,
eDressMe,1 Coupon,4.0% Cash Back,
Edwin Watts Golf,2 Coupons,3.5% Cash Back,
Effy Jewelry,3 Coupons,3.5% Cash Back,
eFollett,8 Coupons,1.0% Cash Back,"$27,424 "
eHarmony,7 Coupons,32.5% Cash Back,
Eight,4 Coupons,4.0% Cash Back,
Elder-Beerman,23 Coupons,2.0% Cash Back,"$30,664 "
Electrohome,1 Coupon,4.0% Cash Back,
ELEVTD,1 Coupon,4.5% Cash Back,
Eley Hose Reels,No Coupons Available,5.0% Cash Back,
Elie Tahari,2 Coupons,5.0% Cash Back,
Elizabeth Arden,8 Coupons,5.0% Cash Back,
ELOQUII,2 Coupons,3.5% Cash Back,"$40,360 "
Elsevier,3 Coupons,6.0% Cash Back,
Embassy Suites by Hilton,5 Coupons,1.0% Cash Back,
EmbroideryOnline.com,No Coupons Available,7.5% Cash Back,
Emergency Essentials,No Coupons Available,5.0% Cash Back,
Emirates,2 Coupons,Coupons Only,
Empire Covers,No Coupons Available,10.0% Cash Back,"$14,994 "
Encore,2 Coupons,7.5% Cash Back,
END.,No Coupons Available,1.5% Cash Back,
Enterprise Rent a Car,No Coupons Available,2.0% Cash Back,"$221,694 "
Entertainment,1 Coupon,17.5% Cash Back,
Entirely Pets,11 Coupons,2.0% Cash Back,"$22,697 "
ePromos,4 Coupons,6.0% Cash Back was 1.0%,
Epson Store,12 Coupons,2.0% Cash Back,"$51,264 "
Equipment,4 Coupons,3.5% Cash Back,
ESET,8 Coupons,15.0% Cash Back,
Especially Yours,1 Coupon,2.0% Cash Back,
Essential Apparel,2 Coupons,1.5% Cash Back,"$18,670 "
Etienne Aigner,3 Coupons,Up to 7.5%,
Etihad Airways,6 Coupons,1.5% Cash Back was 1.0%,
Etsy,1 Offer,1.0% Cash Back,"$246,726 "
Euro Style Lighting,3 Coupons,2.0% Cash Back,
Europcar,6 Coupons,3.5% Cash Back,
Eve Mattress,No Coupons Available,6.25% Cash Back,
Eve's Addiction Jewelry,9 Coupons,1.0% Cash Back,
EVEN,3 Coupons,10.0% Cash Back was 2.5%,
Everbuying.net,58 Coupons,1.5% Cash Back,
eVitamins,5 Coupons,5.0% Cash Back,"$7,116 "
Evite,5 Coupons,17.5% Cash Back,
Expedia,37 Coupons,Up to 10.0%,
Expedia Air,No Coupons Available,Up to $1.25,
Experian,No Coupons Available,$10.00 Cash Back,"$17,526 "
Exposures,2 Coupons,5.0% Cash Back,"$13,401 "
EXPRESS,51 Coupons,2.5% Cash Back,"$1,224,313 "
Extended Stay America,12 Coupons,4.0% Cash Back was 1.5%,
EyeBuyDirect.com,5 Coupons,6.0% Cash Back,"$82,497 "
Eyeconic,6 Coupons,5.0% Cash Back,
Fabric.com,3 Coupons,3.0% Cash Back,"$244,441 "
Factory Outlet Store,21 Coupons,2.0% Cash Back,"$26,840 "
Fairfield Inn,1 Coupon,2.5% Cash Back,
Fairmont Hotels and Resorts,No Coupons Available,2.5% Cash Back,"$30,811 "
Fame and Partners,No Coupons Available,4.0% Cash Back,
Famous Footwear,3 Coupons,2.0% Cash Back,
Famous Smoke Shop Cigars,6 Coupons,7.5% Cash Back,
Fanatics,4 Coupons,1.5% Cash Back,"$176,589 "
Fandango,6 Coupons,Up to 2.0%,"$24,785 "
FandangoNOW,5 Coupons,Up to 2.5%,
Fannie May Candies,3 Coupons,3.0% Cash Back,"$46,323 "
FansEdge,8 Coupons,2.5% Cash Back,"$183,194 "
Fanzz,4 Coupons,4.0% Cash Back,"$1,082 "
Fare Buzz,10 Coupons,Up to $12.50,
Farfetch,1 Coupon,3.0% Cash Back,
Fashion to Figure,1 Coupon,6.0% Cash Back,"$4,555 "
FastSunglass.com,2 Coupons,4.0% Cash Back,"$2,018 "
Fat Brain Toys,No Coupons Available,5.0% Cash Back,"$32,661 "
Faucet Direct,50 Coupons,2.0% Cash Back,
Faucet.com,15 Coupons,2.0% Cash Back,
Faux Panels,3 Coupons,1.5% Cash Back,
Faux Wood Beams,3 Coupons,1.5% Cash Back,
FedEx Office,2 Coupons,5.0% Cash Back,
Field Supply,9 Coupons,2.5% Cash Back,"$1,106 "
Figi's,No Coupons Available,3.5% Cash Back,"$27,525 "
figleaves,1 Coupon,5.0% Cash Back was 3.0%,"$35,613 "
Fila,4 Coupons,4.0% Cash Back,
The Filter Source,No Coupons Available,4.0% Cash Back,"$1,051 "
Fine Jewelers,16 Coupons,6.0% Cash Back,
Fingerhut,7 Coupons,2.0% Cash Back,"$349,191 "
Finish Line,13 Coupons,3.0% Cash Back,"$1,573,683 "
Fire Mountain Gems,9 Coupons,5.0% Cash Back,"$14,943 "
Firestone,No Coupons Available,No Discount,
Fisher Price,4 Coupons,2.5% Cash Back,"$13,091 "
Fishwest,4 Coupons,4.0% Cash Back,
Fit and Fresh,13 Coupons,4.0% Cash Back,"$1,993 "
fitbit,No Coupons Available,4.0% Cash Back,
FitFlop,4 Coupons,4.0% Cash Back,
Five Star,5 Coupons,5.5% Cash Back,"$2,296 "
Flamingo Las Vegas,2 Coupons,2.5% Cash Back,
Flash Steals,149 Coupons,3.5% Cash Back,
Flexshopper,8 Coupons,2.0% Cash Back,
Florida State University Bill's Bookstore,6 Coupons,1.0% Cash Back,
Florsheim,3 Coupons,3.5% Cash Back,
FLOS,No Coupons Available,4.0% Cash Back,
Flowers by Florists.com,1 Coupon,18.0% Cash Back was 13.0%,
Flowers Fast,1 Coupon,10.0% Cash Back,
FlowerShopping.com,5 Coupons,4.0% Cash Back,"$1,227 "
Fluance,2 Coupons,4.0% Cash Back,
Focus Camera,3 Coupons,1.5% Cash Back,
Folica Beauty Supply,7 Coupons,5.0% Cash Back was 2.5%,"$184,722 "
Folli Follie,3 Coupons,5.0% Cash Back,
Food Saver,2 Coupons,4.0% Cash Back,"$42,279 "
Food52,4 Coupons,3.0% Cash Back,"$1,059 "
Foot Locker,12 Coupons,8.0% Cash Back was 2.5%,"$677,206 "
Footaction,10 Coupons,5.0% Cash Back was 3.0%,"$65,802 "
Footwear etc,4 Coupons,2.5% Cash Back,
FOREO,No Coupons Available,7.5% Cash Back,"$24,748 "
Forever 21,14 Coupons,2.0% Cash Back,"$503,158 "
Forward by Elyse Walker,No Coupons Available,No Discount,
Forzieri,5 Coupons,6.0% Cash Back,
FOSSIL,7 Coupons,4.0% Cash Back,
Four Points by Sheraton,No Coupons Available,2.5% Cash Back,"$11,617 "
Fox Rent-a-Car,5 Coupons,2.5% Cash Back,"$8,807 "
FragranceNet.com,16 Coupons,1.0% Cash Back,
FRAME Denim & Clothing,No Coupons Available,4.0% Cash Back,
FramesDirect,3 Coupons,Up to 8.0%,
Franco Sarto,4 Coupons,4.0% Cash Back,
Frank + Oak,1 Coupon,3.5% Cash Back,"$1,235 "
Frederick's of Hollywood,3 Coupons,4.0% Cash Back,"$110,220 "
Free Country,23 Coupons,3.0% Cash Back,
Free Fly Apparel,5 Coupons,3.0% Cash Back,
Free Tax USA,4 Coupons,25.0% Cash Back,"$25,798 "
FreedomPop,8 Coupons,7.5% Cash Back,
FreedomVoice,1 Coupon,$15.00 Cash Back,
French Connection,4 Coupons,2.5% Cash Back,"$13,571 "
Frenchtoast.com,10 Coupons,2.5% Cash Back,"$22,020 "
From You Flowers,9 Coupons,26.0% Cash Back was 13.0%,
The Fruit Company,3 Coupons,6.0% Cash Back,
FruitBouquets.com,12 Coupons,10.0% Cash Back was 3.0%,"$12,850 "
Fruits and Passion,1 Coupon,5.0% Cash Back,
The Frye Company,11 Coupons,3.0% Cash Back,
FSA Store,16 Coupons,3.0% Cash Back,
FTD Flowers,5 Coupons,20.0% Cash Back was 12.0%,
ful,3 Coupons,5.0% Cash Back,
Fuse Lenses,No Coupons Available,5.0% Cash Back,
fye.com,4 Coupons,3.5% Cash Back,"$9,946 "
G by GUESS,4 Coupons,2.0% Cash Back,"$18,090 "
G-Star RAW,1 Coupon,5.0% Cash Back,
G.H. Bass and Co.,3 Coupons,4.0% Cash Back,"$22,616 "
Gaiam,2 Coupons,5.0% Cash Back,"$71,323 "
The Gallery Collection,1 Coupon,7.5% Cash Back,
GameFly,1 Coupon,Up to 5.0%,"$21,141 "
GameStop,1 Coupon,Up to 2.5%,"$172,133 "
Gander Mountain,4 Coupons,2.5% Cash Back,"$124,751 "
Gap,9 Coupons,6.0% Cash Back was 2.0%,"$5,619,423 "
Gap Canada,3 Coupons,2.0% Cash Back,"$8,125 "
Gap Factory,16 Coupons,2.0% Cash Back,"$14,616 "
Gap Kids,No Coupons Available,6.0% Cash Back was 2.0%,"$291,519 "
Gap Maternity,No Coupons Available,6.0% Cash Back was 2.0%,"$52,700 "
Garage,3 Coupons,3.0% Cash Back,"$8,434 "
Gardener's Supply Company,1 Coupon,1.0% Cash Back,"$165,024 "
Garmin,6 Coupons,4.0% Cash Back,
Gazelle,12 Coupons,3.5% Cash Back,
GE Appliance Parts,3 Coupons,2.0% Cash Back,"$2,610 "
GE Appliances Warehouse,1 Coupon,2.0% Cash Back,
GearBest,3 Coupons,1.0% Cash Back,"$3,764 "
GelPro,7 Coupons,2.5% Cash Back,
Gemnation,8 Coupons,3.5% Cash Back,
Gempler's,6 Coupons,3.5% Cash Back,
Gemvara,1 Coupon,3.0% Cash Back,
Georgia Boots,10 Coupons,4.0% Cash Back,
Getzs,17 Coupons,4.0% Cash Back,"$6,621 "
Gevalia Coffee,2 Coupons,7.5% Cash Back,"$33,355 "
Ghirardelli Chocolate,5 Coupons,5.0% Cash Back,
Ghurka,No Coupons Available,4.0% Cash Back,
Gift Collector,12 Coupons,4.0% Cash Back,
GiftCardMall.com,2 Coupons,1.0% Cash Back,"$50,381 "
GiftCertificates.com,No Coupons Available,1.0% Cash Back,"$53,610 "
Gifted Living,2 Coupons,5.5% Cash Back,"$1,684 "
Gifts For You Now,12 Coupons,7.5% Cash Back,"$55,937 "
Gifts.com,1 Coupon,8.0% Cash Back was 4.0%,
Gilchrist & Soames,1 Coupon,6.0% Cash Back,"$2,746 "
Gilt,17 Coupons,8.0% Cash Back was 4.0%,
Gilt City,21 Coupons,3.0% Cash Back,"$198,728 "
Giorgio Armani Beauty,4 Coupons,4.0% Cash Back,
GLAMGLOW,3 Coupons,4.0% Cash Back,"$19,509 "
Glasses.com,11 Coupons,7.0% Cash Back,
GlassesUSA,4 Coupons,7.5% Cash Back,
Global Industrial,6 Coupons,2.0% Cash Back,
GlobeIn,7 Coupons,Up to $6.00,
Glossybox.com,No Coupons Available,6.0% Cash Back,"$18,658 "
GNC,13 Coupons,5.0% Cash Back,"$1,318,234 "
Go Airlink,3 Coupons,5.0% Cash Back,
Go City Card,31 Coupons,3.0% Cash Back,
GoDaddy,6 Coupons,9.0% Cash Back,
Godiva,4 Coupons,4.0% Cash Back,
Goggles4u,No Coupons Available,7.5% Cash Back,"$4,183 "
Gold Medal Wine Club,2 Coupons,5.0% Cash Back,
Gold Violin,2 Coupons,1.5% Cash Back,"$2,609 "
Golden State Fruit,1 Coupon,8.0% Cash Back,
GolfEtail.com,8 Coupons,2.0% Cash Back,"$1,019 "
Good American,2 Coupons,3.0% Cash Back,
Gordmans,No Coupons Available,No Discount,
Gordon's Jewelers,7 Coupons,2.5% Cash Back,
Gotham Cigars,34 Coupons,5.0% Cash Back,
Gourmet Gift Baskets,3 Coupons,1.5% Cash Back,"$51,145 "
GoVacuum,18 Coupons,5.0% Cash Back,"$14,823 "
Grace and Lace,3 Coupons,2.5% Cash Back,"$4,661 "
Grasshoppers,4 Coupons,4.0% Cash Back,
Graze,5 Coupons,Up to 2.0%,"$12,950 "
Great Big Canvas,1 Coupon,2.5% Cash Back,
The Great Courses,2 Coupons,2.5% Cash Back,"$19,711 "
GreekGear.com,6 Coupons,5.0% Cash Back,
Green Man Gaming,11 Coupons,2.0% Cash Back,
Greeting Card Universe,2 Coupons,7.5% Cash Back,"$5,664 "
Grenco Science,1 Coupon,2.5% Cash Back,
Griffin Technology,8 Coupons,5.0% Cash Back,"$10,122 "
The Grommet,5 Coupons,2.5% Cash Back,"$4,983 "
Groupon,8 Coupons,7.0% Cash Back was 3.0%,"$13,449,360 "
Groupon Getaways,513 Coupons,7.0% Cash Back was 3.0%,
GUESS,5 Coupons,3.0% Cash Back,"$101,468 "
GUESS Kids,3 Coupons,2.0% Cash Back,"$2,096 "
GUESSFactory.com,3 Coupons,3.0% Cash Back,"$32,819 "
Guitar Center,27 Coupons,3.0% Cash Back,
GUM Brand,No Coupons Available,4.0% Cash Back,
GUNNAR Optiks,2 Coupons,5.0% Cash Back,
Gwynnie Bee,5 Coupons,$37.50 Cash Back,
Gymboree,4 Coupons,1.0% Cash Back,"$188,759 "
Gypsy Warrior,4 Coupons,2.5% Cash Back,
H&M,No Coupons Available,No Discount,
H&R Block Tax Prep,7 Coupons,10.0% Cash Back,"$291,845 "
Haband,1 Coupon,4.0% Cash Back,"$83,404 "
Haggar.com,10 Coupons,5.0% Cash Back,"$6,748 "
Hairfinity,No Coupons Available,No Discount,
Half.com,No Coupons Available,No Discount,
Hallmark eCards,4 Coupons,15.0% Cash Back,"$2,872 "
Halloween Express,6 Coupons,6.0% Cash Back,
Halston Heritage,5 Coupons,6.0% Cash Back,
Hammes Notre Dame Bookstore,7 Coupons,1.0% Cash Back,
Hampton by Hilton,4 Coupons,2.0% Cash Back,
HandleSets.com,26 Coupons,2.0% Cash Back,
Handy,19 Coupons,5.0% Cash Back,
Hanes,14 Coupons,3.0% Cash Back,"$124,971 "
Hanky Panky,4 Coupons,4.0% Cash Back,"$10,296 "
Hanna Andersson,4 Coupons,Coupons Only,
Hansen Wholesale,6 Coupons,5.0% Cash Back,
Happy Socks,6 Coupons,5.0% Cash Back,"$4,535 "
The Hardware City,No Coupons Available,4.0% Cash Back,
Harman Kardon,4 Coupons,3.0% Cash Back,"$5,373 "
Harmon Face Values,No Coupons Available,2.0% Cash Back,"$2,146 "
Harrah's Lake Tahoe,1 Coupon,2.5% Cash Back,
Harrah's Las Vegas,1 Coupon,2.5% Cash Back,
Harrah's Laughlin,3 Coupons,2.5% Cash Back,
Harrah's Reno,1 Coupon,2.5% Cash Back,
Harrah's Resort Atlantic City,7 Coupons,2.5% Cash Back,"$3,911 "
Harry and David,4 Coupons,3.5% Cash Back,"$639,721 "
Hartmann,No Coupons Available,2.5% Cash Back,
Harvey's Lake Tahoe,2 Coupons,2.5% Cash Back,
Hasbro Toy Shop,4 Coupons,1.5% Cash Back,
Hatley,4 Coupons,3.5% Cash Back,"$3,462 "
HauteLook,No Coupons Available,1.0% Cash Back,"$25,725 "
Havaianas,1 Coupon,4.0% Cash Back,"$7,216 "
Hawaiian Airlines,2 Coupons,1.0% Cash Back,
Headline Shirts,4 Coupons,9.0% Cash Back,
HealthmateForever,3 Coupons,10.0% Cash Back,
Healthy Directions,6 Coupons,5.0% Cash Back,
HearthSong,3 Coupons,4.0% Cash Back,"$55,515 "
Heartland America,3 Coupons,2.0% Cash Back,"$19,897 "
Helmut Lang,1 Coupon,3.0% Cash Back,
Helzberg Diamonds,39 Coupons,6.0% Cash Back was 2.0%,
Herbergers,31 Coupons,2.0% Cash Back,"$55,615 "
Herbspro,13 Coupons,7.0% Cash Back,
HerRoom,3 Coupons,4.0% Cash Back,
Hertz,6 Coupons,2.5% Cash Back,"$201,879 "
Herve Leger,2 Coupons,4.0% Cash Back,
Hibbett Sports,No Coupons Available,No Discount,
HiDEF Lifestyle,No Coupons Available,4.0% Cash Back,
High Sierra,2 Coupons,2.5% Cash Back,"$3,051 "
Highlights,2 Coupons,7.5% Cash Back,"$30,487 "
Hilton,11 Coupons,3.5% Cash Back,
Hilton Garden Inn,5 Coupons,2.0% Cash Back,
Hilton Hotels & Resorts,12 Coupons,3.5% Cash Back,
HisRoom,2 Coupons,4.0% Cash Back,"$5,478 "
Hobby Lobby,No Coupons Available,2.0% Cash Back,
HobbyTron,52 Coupons,4.0% Cash Back,"$9,853 "
HockeyMonkey.com,5 Coupons,2.5% Cash Back,
Hoka One One,3 Coupons,4.5% Cash Back,
Holabird Sports,5 Coupons,2.5% Cash Back,"$38,999 "
Hold Your Haunches,2 Coupons,3.0% Cash Back,
Holiday Autos,No Coupons Available,2.5% Cash Back,"$1,179 "
Holiday Inn,9 Coupons,4.5% Cash Back,
Holiday Inn Club Vacations,2 Coupons,4.5% Cash Back,
Holiday Inn Express,10 Coupons,4.5% Cash Back,
Home and Patio Decor Center,15 Coupons,2.5% Cash Back,
Home Chef,1 Coupon,10.0% Cash Back,
Home Decorators Collection,15 Coupons,3.5% Cash Back,
Home Depot,No Coupons Available,No Discount,
HomeAway,1 Coupon,Up to $10.00,
HomeClick,11 Coupons,Up to 4.0%,
Homewood Suites by Hilton,4 Coupons,1.0% Cash Back,
The Honest Company,9 Coupons,5.0% Cash Back was 2.5%,"$14,779 "
Hoover,7 Coupons,2.5% Cash Back,"$12,058 "
Horchow,4 Coupons,4.0% Cash Back,
Horizon and Vision Fitness,15 Coupons,5.5% Cash Back was 4.0%,
HORNE,7 Coupons,3.0% Cash Back,
HostGator,3 Coupons,$30.00 Cash Back,
Hot Topic,2 Coupons,4.0% Cash Back,"$234,738 "
Hotel Indigo,4 Coupons,4.5% Cash Back,
Hotels.com,14 Coupons,Up to 3.0%,
HotelsClick,7 Coupons,4.0% Cash Back,
HotelStorm,No Coupons Available,10.0% Cash Back,
Hotter Shoes,9 Coupons,5.0% Cash Back,
Hotwire,11 Coupons,Up to 4.0%,
The House,11 Coupons,5.0% Cash Back,
Hoyle Gaming,2 Coupons,7.5% Cash Back,
HP.com,18 Coupons,2.0% Cash Back,
HQhair,No Coupons Available,Up to 3.5%,
HSN,36 Coupons,3.0% Cash Back,"$3,278,680 "
Hudson Jeans,8 Coupons,4.0% Cash Back,
Hudson's Bay,5 Coupons,2.5% Cash Back,"$13,980 "
Hugo Boss,1 Coupon,3.5% Cash Back,
Hurley,2 Coupons,3.0% Cash Back was 1.5%,"$4,211 "
Hush Puppies,6 Coupons,4.0% Cash Back,"$4,967 "
The Hut,8 Coupons,Up to 3.0%,"$1,075 "
Hydro Flask,3 Coupons,3.0% Cash Back,
I See Me! Personalized Books,3 Coupons,5.0% Cash Back,"$15,017 "
iboats,11 Coupons,5.0% Cash Back,
ICE.com,1 Coupon,2.5% Cash Back,
IceJerseys.com,8 Coupons,5.0% Cash Back,"$2,154 "
Icing,7 Coupons,3.5% Cash Back,"$2,648 "
Igloo Coolers,2 Coupons,5.0% Cash Back,
igourmet,2 Coupons,4.0% Cash Back,"$6,492 "
ILLUME Candles,4 Coupons,4.0% Cash Back,"$3,074 "
illy,No Coupons Available,3.0% Cash Back,"$26,391 "
ILoveDooney,3 Coupons,2.0% Cash Back,"$1,415 "
In The Swim,10 Coupons,4.0% Cash Back,
Incoco,No Coupons Available,2.5% Cash Back,"$2,660 "
Inhabit NY,11 Coupons,3.0% Cash Back,
InkCartridges.com,3 Coupons,Up to 14.5%,
Inline Skates,1 Coupon,3.0% Cash Back,"$2,940 "
Insanity,1 Coupon,4.0% Cash Back,
Insight Vacations,5 Coupons,2.5% Cash Back,
Inspired Silver,13 Coupons,4.0% Cash Back,"$5,443 "
Intelligent Blends,3 Coupons,3.5% Cash Back was 2.5%,
InterContinental Hotels and Resorts,7 Coupons,9.0% Cash Back was 4.5%,
INTERMIX,10 Coupons,4.0% Cash Back,
Intrepid Travel,7 Coupons,1.0% Cash Back,
Intuit Online Payroll,3 Coupons,Up to $22.50,
Intuit QuickBooks Desktop,1 Coupon,Up to 7.5%,
Intuit QuickBooks Online,7 Coupons,Up to $7.50,
Intuit Quickbooks Self Employed,No Coupons Available,Up to $37.50,"$83,645 "
Invitations by David's Bridal,5 Coupons,2.5% Cash Back,
iolo technologies,17 Coupons,25.0% Cash Back,
iPage Web Hosting,5 Coupons,$20.00 Cash Back,
iRobot,4 Coupons,2.0% Cash Back,
Irv's Luggage,37 Coupons,4.0% Cash Back,
Isabella Oliver Maternity,1 Coupon,7.5% Cash Back was 2.5%,
iSave.com,2 Coupons,2.0% Cash Back,
Isharya,1 Coupon,5.0% Cash Back,
Islandsurf,6 Coupons,7.5% Cash Back,"$8,718 "
Isotonix,4 Coupons,4.0% Cash Back,
IT Cosmetics,2 Coupons,4.0% Cash Back,"$40,927 "
italist.com,55 Coupons,3.5% Cash Back,
iTunes,No Coupons Available,7.0% Cash Back,"$167,202 "
IVLProducts,3 Coupons,5.0% Cash Back,
J Brand,2 Coupons,4.0% Cash Back,
J!NX,4 Coupons,3.5% Cash Back,
J.Crew,4 Coupons,1.5% Cash Back,"$3,204,517 "
J.Crew Factory,6 Coupons,1.5% Cash Back,"$534,393 "
J.Jill,5 Coupons,2.0% Cash Back,"$390,485 "
J.McLaughlin,2 Coupons,7.5% Cash Back,
Jabra,9 Coupons,6.0% Cash Back,
Jack Rogers,2 Coupons,8.0% Cash Back was 4.5%,
Jack Spade,3 Coupons,6.0% Cash Back,
Jack Threads,1 Coupon,2.5% Cash Back,"$26,700 "
Jack Wills,No Coupons Available,4.0% Cash Back,"$4,875 "
JackRabbit,12 Coupons,4.0% Cash Back,
James Perse,3 Coupons,3.0% Cash Back,
Jamstik,1 Coupon,2.5% Cash Back,
Jane.com,21 Coupons,1.0% Cash Back,"$51,379 "
Janie and Jack,3 Coupons,1.0% Cash Back,"$22,622 "
JanSport,4 Coupons,1.5% Cash Back,
Jarden Store,No Coupons Available,4.0% Cash Back,
