"store","coupon","discount","total"
"Textbooks.com","4 Coupons","3.0% Cash Back","$79,085"
"TextbookUnderground","2 Coupons","4.0% Cash Back","$7,136"
"TextbookX.com","4 Coupons","2.5% Cash Back","$8,060"
"Texture","No Coupons Available","$10.00 Cash Back","$11,999"
"TGW.com","12 Coupons","3.25% Cash Back",""
"Theory","3 Coupons","3.0% Cash Back",""
"Things Remembered","6 Coupons","6.5% Cash Back","$187,230"
"ThinkGeek","5 Coupons","3.5% Cash Back","$164,504"
"Thomas Pink","1 Coupon","3.0% Cash Back",""
"Thompson Cigar","13 Coupons","5.0% Cash Back",""
"Thoughtfully.com","No Coupons Available","5.0% Cash Back",""
"Threadless","4 Coupons","1.5% Cash Back","$14,072"
"Threads for Thought","8 Coupons","5.0% Cash Back","$2,179"
"Three Dots","2 Coupons","4.0% Cash Back",""
"Thrifty Car Rental","4 Coupons","4.0% Cash Back","$112,442"
"Tibi","No Coupons Available","6.0% Cash Back","$9,510"
"Ticket Liquidator","2 Coupons","6.0% Cash Back",""
"TicketCity","9 Coupons","4.0% Cash Back",""
"Ticketmaster","6 Coupons","Up to 5.0%","$291,046"
"Ticketnetwork.com","3 Coupons","6.0% Cash Back",""
"TicketsNow","1 Coupon","Up to 5.0%",""
"The Tie Bar","4 Coupons","1.5% Cash Back","$8,205"
"Ties.com","2 Coupons","7.5% Cash Back","$8,994"
"Tiger Direct","301 Coupons","1.5% Cash Back","$782,156"
"Tile","6 Coupons","3.5% Cash Back",""
"Tilley Endurables","2 Coupons","2.5% Cash Back",""
"Tillys","25 Coupons","3.0% Cash Back","$171,799"
"Timberland","3 Coupons","4.0% Cash Back",""
"Timbuk2","5 Coupons","1.5% Cash Back","$8,055"
"timetospa","5 Coupons","6.0% Cash Back",""
"Timex","6 Coupons","4.0% Cash Back",""
"Tiny Prints","15 Coupons","2.0% Cash Back","$52,961"
"TinyDeal.com","49 Coupons","1.5% Cash Back",""
"Tipsy Elves","No Coupons Available","6.0% Cash Back","$1,776"
"Tire Rack","3 Coupons","3.0% Cash Back",""
"TireBuyer","7 Coupons","4.5% Cash Back was 3.0%",""
"Titan Fitness","No Coupons Available","3.0% Cash Back",""
"Titanium Kay","2 Coupons","7.0% Cash Back",""
"TM Lewin","2 Coupons","2.5% Cash Back",""
"Tmart.com","11 Coupons","5.0% Cash Back","$2,832"
"Todd Snyder","1 Coupon","4.0% Cash Back",""
"The Tog Shop","2 Coupons","2.5% Cash Back","$11,983"
"Tommie Copper","7 Coupons","4.0% Cash Back","$13,909"
"Tommy Hilfiger","6 Coupons","2.5% Cash Back",""
"Tommy John","3 Coupons","2.0% Cash Back","$8,522"
"TOMS","5 Coupons","4.0% Cash Back",""
"TOMTOP","24 Coupons","3.5% Cash Back",""
"Tony Robbins","1 Coupon","Up to 7.5%",""
"Too Faced Cosmetics","3 Coupons","3.0% Cash Back","$36,216"
"Toolbarn","13 Coupons","1.5% Cash Back",""
"Topman US","4 Coupons","2.5% Cash Back was 1.0%","$13,690"
"Topshop","15 Coupons","2.5% Cash Back","$58,848"
"Torrid","4 Coupons","4.0% Cash Back","$394,671"
"Tory Burch","6 Coupons","3.0% Cash Back",""
"Total Diabetes Supply","6 Coupons","2.0% Cash Back","$5,882"
"Total Gym","10 Coupons","4.25% Cash Back",""
"Total Pet Supply","2 Coupons","7.0% Cash Back",""
"TouchOfModern","2 Coupons","3.5% Cash Back","$38,907"
"Tours4Fun","10 Coupons","2.0% Cash Back",""
"TownePlace Suites","1 Coupon","2.5% Cash Back",""
"Toys R Us","48 Coupons","1.0% Cash Back","$2,657,888"
"TracFone","11 Coupons","Up to 11.0%","$85,294"
"Tractor Supply Company","No Coupons Available","1.0% Cash Back","$19,205"
"Trafalgar Store","6 Coupons","2.5% Cash Back",""
"Trafalgar Tours","2 Coupons","2.5% Cash Back",""
"Travelocity","21 Coupons","Up to 7.0%",""
"Travelocity Air","No Coupons Available","Up to $1.50",""
"Travelodge","6 Coupons","2.5% Cash Back","$4,101"
"The Trend Boutique","2 Coupons","3.0% Cash Back","$3,453"
"Trend Micro","6 Coupons","10.0% Cash Back",""
"Tretorn","1 Coupon","3.0% Cash Back",""
"Tria Beauty","7 Coupons","2.0% Cash Back",""
"Trina Turk","6 Coupons","5.0% Cash Back",""
"TripAdvisor Instant Book","25 Coupons","4.5% Cash Back was 1.5%",""
"TriVillage","4 Coupons","4.0% Cash Back",""
"Trollbeads","3 Coupons","3.5% Cash Back",""
"True Religion","2 Coupons","3.5% Cash Back",""
"True Value","5 Coupons","4.0% Cash Back","$2,321"
"True&Co","2 Coupons","7.5% Cash Back",""
"TrueFacet","5 Coupons","1.0% Cash Back",""
"Trusted Housesitter","No Coupons Available","12.5% Cash Back",""
"TRX Training","1 Coupon","4.0% Cash Back",""
"TUMI Luggage","7 Coupons","2.5% Cash Back",""
"Tundra Restaurant Supply","18 Coupons","3.5% Cash Back",""
"TurboFire","No Coupons Available","4.0% Cash Back",""
"TurboTax","6 Coupons","7.5% Cash Back",""
"TV Store Online","5 Coupons","7.5% Cash Back","$1,172"
"Twillory","4 Coupons","3.0% Cash Back",""
"Twinkle Deals","5 Coupons","2.0% Cash Back",""
"U.S. Polo Assn.","3 Coupons","2.5% Cash Back",""
"UGG","2 Coupons","4.0% Cash Back",""
"Ulla Popken","1 Coupon","4.0% Cash Back","$17,037"
"Ulta Beauty","70 Coupons","6.0% Cash Back was 3.0%","$2,631,900"
"Umi Children's Shoes","3 Coupons","5.0% Cash Back","$2,213"
"Unbeatable Sale","4 Coupons","6.0% Cash Back",""
"Under Armour","7 Coupons","3.0% Cash Back",""
"Undercover Tourist","6 Coupons","Up to 1.0%","$16,587"
"Uniform City","8 Coupons","5.0% Cash Back",""
"UNIONBAY","13 Coupons","4.0% Cash Back",""
"UNIQLO","No Coupons Available","No Discount",""
"University of Alabama College Store","1 Coupon","1.0% Cash Back",""
"University of Florida Bookstore","5 Coupons","1.0% Cash Back",""
"University of South Carolina Bookstore","6 Coupons","1.0% Cash Back",""
"Upper 90 Soccer","2 Coupons","5.0% Cash Back",""
