DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,3.3,8.1,41.4,100%,44.9,-3.5
3 Pointers,1.1,3.2,32.6,39.9%,36.4,-3.8
2 Pointers,2.3,4.8,47.2,60.1%,49.6,-2.4
Less Than 6 Ft,1.3,2.1,64.0,26.0%,61.6,2.4
Less Than 10 Ft,1.7,3.0,55.7,36.9%,55.5,0.3
Greater Than 15 Ft,1.5,4.5,32.8,55.3%,38.4,-5.6
