,BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
0,2016-17,52,48.5,107.7,31,21,0.596,41.3,86.8,47.5,8.8,23.8,36.9,16.4,20.9,78.6,10.3,32.9,43.2,23.5,14.3,8.6,4.2,21.4,2.2,38.8,84.7,45.8,9.9,27.6,36.1,18.0,24.2,74.5,10.7,32.1,42.8,22.8,15.7,7.5,4.3,4.2,19.6,105.5
1,Home,29,48.3,110.2,22,7,0.759,41.8,85.2,49.0,9.2,23.0,40.2,17.5,22.0,79.5,10.2,32.7,42.9,23.9,14.7,8.7,4.2,21.3,5.5,38.4,84.0,45.7,9.9,27.5,36.1,18.1,24.5,73.8,10.8,30.6,41.3,22.2,16.1,7.5,3.9,4.2,20.4,104.8
2,Road,23,48.7,104.5,9,14,0.391,40.6,88.8,45.7,8.2,24.9,33.0,15.1,19.5,77.5,10.3,33.3,43.6,22.9,13.8,8.5,4.0,21.5,-2.0,39.3,85.6,45.9,10.0,27.7,36.0,17.9,23.7,75.5,10.6,34.0,44.7,23.5,15.2,7.5,4.8,4.0,18.4,106.5
3,Wins,31,48.3,110.1,31,0,1.0,41.9,85.1,49.2,9.7,24.5,39.5,16.7,21.1,79.2,10.0,33.8,43.8,24.8,14.5,8.9,4.4,21.0,9.5,37.1,84.9,43.7,8.7,26.9,32.4,17.6,23.7,74.3,11.4,30.9,42.3,21.9,16.1,7.3,3.7,4.4,19.4,100.5
4,Losses,21,48.7,104.2,0,21,0.0,40.3,89.2,45.2,7.5,22.8,32.8,16.0,20.6,77.8,10.7,31.6,42.3,21.5,13.9,8.1,3.8,21.9,-8.7,41.2,84.3,48.9,11.8,28.6,41.2,18.6,24.9,74.9,9.7,33.9,43.6,24.0,15.0,7.8,5.2,3.8,19.8,112.9
5,October,2,50.5,101.0,0,2,0.0,39.0,90.0,43.3,5.5,22.5,24.4,17.5,21.5,81.4,10.0,30.0,40.0,22.0,16.5,11.0,4.0,21.5,-12.0,41.5,88.0,47.2,13.5,28.5,47.4,16.5,22.0,75.0,12.5,37.0,49.5,26.0,17.5,11.0,4.5,4.0,22.5,113.0
6,November,15,48.7,103.0,6,9,0.4,39.3,87.5,45.0,7.8,22.0,35.5,16.5,21.9,75.6,11.6,32.3,43.9,20.9,14.5,8.2,4.3,22.0,-1.7,38.7,84.2,46.0,9.8,26.9,36.5,17.5,24.5,71.2,10.2,32.7,42.9,22.3,15.5,7.9,4.7,4.3,20.8,104.7
7,December,15,48.0,108.9,10,5,0.667,41.3,83.3,49.5,8.5,22.7,37.2,17.9,22.7,78.9,9.1,31.1,40.2,24.2,14.4,9.1,3.4,21.6,2.3,39.5,82.4,47.9,9.3,25.4,36.7,18.3,24.5,74.9,9.9,31.0,40.9,24.2,16.4,6.7,3.9,3.4,19.4,106.6
8,January,16,48.0,109.4,12,4,0.75,42.9,87.3,49.1,9.9,25.3,39.4,13.7,17.0,80.5,9.8,35.0,44.8,25.2,14.1,8.0,4.4,20.4,6.8,37.3,85.9,43.4,9.9,29.1,33.9,18.1,23.1,78.6,11.3,31.2,42.5,21.7,14.4,7.9,3.9,4.4,17.5,102.6
9,February,4,50.5,117.5,3,1,0.75,43.0,93.8,45.9,10.8,29.5,36.4,20.8,25.5,81.4,11.8,35.3,47.0,24.3,12.5,9.8,5.5,22.3,5.3,41.0,88.5,46.3,11.3,31.8,35.4,19.0,27.0,70.4,12.0,35.5,47.5,22.0,18.0,5.8,5.3,5.5,22.3,112.3
