DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,3.6,8.9,41.1,100%,45.6,-4.5
3 Pointers,0.8,2.5,34.4,27.6%,34.6,-0.2
2 Pointers,2.8,6.4,43.6,72.4%,49.6,-6.0
Less Than 6 Ft,1.4,2.2,64.5,24.3%,60.3,4.2
Less Than 10 Ft,1.8,3.4,53.1,38.6%,55.5,-2.3
Greater Than 15 Ft,1.4,4.3,32.4,48.3%,36.9,-4.5
