DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,4.8,10.4,45.7,100%,45.4,0.3
3 Pointers,1.2,3.8,31.4,36.0%,35.8,-4.4
2 Pointers,3.6,6.7,53.7,64.0%,49.9,3.8
Less Than 6 Ft,1.9,2.9,66.9,27.9%,60.9,6.0
Less Than 10 Ft,2.4,3.9,61.0,37.7%,56.1,4.9
Greater Than 15 Ft,1.9,5.5,34.6,53.4%,37.5,-2.9
