DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,1.7,3.9,44.6,100%,48.9,-4.3
3 Pointers,0.1,0.3,16.7,8.1%,17.8,-1.2
2 Pointers,1.7,3.6,47.1,91.9%,52.1,-5.0
Less Than 6 Ft,0.7,1.6,46.7,40.5%,59.2,-12.6
Less Than 10 Ft,0.9,2.2,42.9,56.8%,56.4,-13.5
Greater Than 15 Ft,0.5,1.2,40.9,29.7%,36.6,4.3
