DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,2.3,5.2,43.6,100%,43.2,0.4
3 Pointers,0.9,2.2,39.4,42.3%,34.5,4.9
2 Pointers,1.4,3.0,46.7,57.7%,49.6,-2.9
Less Than 6 Ft,0.9,1.6,54.2,30.8%,60.4,-6.2
Less Than 10 Ft,1.1,2.1,54.8,39.7%,55.8,-1.0
Greater Than 15 Ft,1.1,2.9,36.4,56.4%,35.6,0.8
