,BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
0,2016-17,52,48.3,110.1,23,29,0.442,40.3,87.6,46.0,9.9,27.3,36.3,19.7,25.8,76.1,12.6,34.1,46.7,24.4,15.4,6.8,4.2,19.9,-1.3,41.9,87.9,47.7,9.4,25.3,37.3,18.1,23.0,78.7,9.1,31.1,40.1,24.2,11.9,8.3,5.3,4.2,21.1,111.4
1,Home,26,48.6,114.0,14,12,0.538,42.0,87.8,47.9,10.0,26.8,37.4,20.0,26.1,76.4,11.9,34.2,46.1,27.6,14.5,6.7,4.3,19.3,2.1,42.2,88.5,47.7,9.9,25.9,38.3,17.5,22.4,78.2,9.0,30.2,39.3,24.2,11.4,7.9,4.7,4.3,21.2,111.9
2,Road,26,48.0,106.2,9,17,0.346,38.5,87.3,44.1,9.8,27.7,35.2,19.4,25.6,75.8,13.3,34.0,47.2,21.2,16.2,6.9,4.1,20.6,-4.7,41.6,87.4,47.6,9.0,24.8,36.2,18.7,23.6,79.3,9.1,31.9,41.0,24.2,12.4,8.8,5.8,4.1,21.0,110.9
3,Wins,23,48.0,117.4,23,0,1.0,42.9,85.3,50.3,10.1,25.5,39.8,21.4,27.5,77.9,10.8,35.2,46.0,26.3,14.8,7.1,4.3,19.4,10.7,40.1,88.3,45.4,8.7,24.7,35.4,17.7,22.3,79.5,9.6,28.6,38.2,22.6,12.2,7.3,4.9,4.3,22.2,106.7
4,Losses,29,48.5,104.3,0,29,0.0,38.2,89.4,42.7,9.7,28.7,33.8,18.3,24.5,74.5,14.0,33.2,47.2,22.9,15.8,6.5,4.1,20.3,-10.8,43.4,87.7,49.5,10.0,25.9,38.7,18.4,23.5,78.2,8.7,33.0,41.7,25.5,11.7,9.1,5.5,4.1,20.2,115.1
5,October,3,49.7,107.3,1,2,0.333,36.0,88.0,40.9,7.7,23.0,33.3,27.7,35.7,77.6,12.7,42.3,55.0,17.0,16.7,6.3,6.0,20.3,0.0,41.3,92.7,44.6,5.7,22.3,25.4,19.0,24.0,79.2,7.0,33.3,40.3,23.3,11.7,11.0,7.3,6.0,29.0,107.3
6,November,15,48.7,106.3,6,9,0.4,38.7,88.6,43.7,9.2,25.5,36.1,19.7,26.6,73.9,12.5,36.7,49.3,22.8,16.1,6.3,4.2,20.9,-2.7,40.9,88.7,46.1,8.5,23.7,35.7,18.8,25.1,75.0,9.6,33.5,43.1,22.5,11.7,8.5,5.4,4.2,22.5,109.0
7,December,15,48.0,109.5,7,8,0.467,40.3,85.3,47.2,10.3,28.5,36.0,18.7,24.8,75.3,12.3,32.3,44.7,23.9,15.3,6.7,3.5,21.1,-1.3,40.1,84.3,47.5,10.7,27.1,39.7,19.9,24.5,81.5,9.1,29.1,38.3,23.2,12.2,8.1,4.8,3.5,19.9,110.8
8,January,14,48.0,116.6,7,7,0.5,43.3,88.3,49.0,10.5,27.6,38.0,19.6,24.3,80.6,12.0,32.2,44.2,27.6,14.2,7.3,4.6,18.3,1.5,44.7,90.9,49.2,9.8,25.7,38.1,15.9,19.7,80.8,9.3,29.7,39.0,25.9,11.7,7.9,4.7,4.6,19.5,115.1
9,February,5,48.0,106.6,2,3,0.4,39.0,89.0,43.8,10.4,30.2,34.4,18.2,25.2,72.2,15.2,31.4,46.6,26.2,15.8,7.2,4.4,17.6,-5.6,43.2,85.2,50.7,9.8,25.6,38.3,16.0,20.8,76.9,7.8,32.0,39.8,27.8,12.4,8.4,6.4,4.4,20.2,112.2
