,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,DATE,OPPONENT,ARENA
0,"FEB 09, 2017 - ORL vs. PHI",L,240,111,41,84,48.8,10,21,47.6,19,24,79.2,7,40,47,27,4,8,21,20,2017-02-09 00:00:00,PHI,HOME
1,"FEB 07, 2017 - ORL @ HOU",L,240,104,42,88,47.7,6,25,24.0,14,20,70.0,10,37,47,28,7,4,16,23,2017-02-07 00:00:00,HOU,AWAY
2,"FEB 04, 2017 - ORL @ ATL",L,240,86,27,78,34.6,7,27,25.9,25,28,89.3,7,26,33,17,8,4,13,19,2017-02-04 00:00:00,ATL,AWAY
3,"FEB 03, 2017 - ORL vs. TOR",W,240,102,37,80,46.3,5,14,35.7,23,32,71.9,11,35,46,22,4,7,11,16,2017-02-03 00:00:00,TOR,HOME
4,"FEB 01, 2017 - ORL vs. IND",L,240,88,31,77,40.3,6,24,25.0,20,28,71.4,7,28,35,17,12,3,14,22,2017-02-01 00:00:00,IND,HOME
5,"JAN 30, 2017 - ORL @ MIN",L,265,105,41,96,42.7,10,35,28.6,13,19,68.4,11,37,48,22,7,3,11,25,2017-01-30 00:00:00,MIN,AWAY
6,"JAN 29, 2017 - ORL @ TOR",W,240,114,42,79,53.2,10,23,43.5,20,26,76.9,6,30,36,25,6,6,12,28,2017-01-29 00:00:00,TOR,AWAY
7,"JAN 27, 2017 - ORL @ BOS",L,240,98,38,87,43.7,9,25,36.0,13,18,72.2,7,31,38,29,7,2,11,15,2017-01-27 00:00:00,BOS,AWAY
8,"JAN 24, 2017 - ORL vs. CHI",L,240,92,35,85,41.2,7,22,31.8,15,20,75.0,12,36,48,18,7,2,19,18,2017-01-24 00:00:00,CHI,HOME
9,"JAN 22, 2017 - ORL vs. GSW",L,240,98,42,96,43.8,7,28,25.0,7,16,43.8,12,29,41,25,9,7,12,21,2017-01-22 00:00:00,GSW,HOME
10,"JAN 20, 2017 - ORL vs. MIL",W,240,112,40,87,46.0,8,28,28.6,24,31,77.4,14,39,53,25,9,6,9,24,2017-01-20 00:00:00,MIL,HOME
11,"JAN 18, 2017 - ORL @ NOP",L,240,98,39,88,44.3,11,32,34.4,9,11,81.8,4,43,47,18,6,5,18,14,2017-01-18 00:00:00,NOP,AWAY
12,"JAN 16, 2017 - ORL @ DEN",L,240,112,45,88,51.1,8,25,32.0,14,18,77.8,7,27,34,28,6,1,14,10,2017-01-16 00:00:00,DEN,AWAY
13,"JAN 14, 2017 - ORL @ UTA",L,240,107,38,82,46.3,12,34,35.3,19,27,70.4,7,33,40,23,10,2,14,28,2017-01-14 00:00:00,UTA,AWAY
14,"JAN 13, 2017 - ORL @ POR",W,240,115,41,83,49.4,10,18,55.6,23,26,88.5,9,36,45,21,5,5,15,19,2017-01-13 00:00:00,POR,AWAY
15,"JAN 11, 2017 - ORL @ LAC",L,240,96,39,92,42.4,6,27,22.2,12,18,66.7,6,29,35,21,8,3,13,21,2017-01-11 00:00:00,LAC,AWAY
16,"JAN 08, 2017 - ORL @ LAL",L,240,95,34,90,37.8,7,26,26.9,20,29,69.0,18,36,54,24,5,3,18,20,2017-01-08 00:00:00,LAL,AWAY
17,"JAN 06, 2017 - ORL vs. HOU",L,240,93,38,91,41.8,8,23,34.8,9,13,69.2,19,30,49,18,8,2,15,14,2017-01-06 00:00:00,HOU,HOME
18,"JAN 04, 2017 - ORL vs. ATL",L,240,92,37,86,43.0,9,28,32.1,9,10,90.0,10,30,40,19,9,6,17,17,2017-01-04 00:00:00,ATL,HOME
19,"JAN 02, 2017 - ORL @ NYK",W,240,115,45,91,49.5,15,31,48.4,10,14,71.4,13,26,39,35,10,4,12,20,2017-01-02 00:00:00,NYK,AWAY
20,"JAN 01, 2017 - ORL @ IND",L,240,104,42,97,43.3,10,38,26.3,10,11,90.9,10,32,42,25,6,7,10,22,2017-01-01 00:00:00,IND,AWAY
21,"DEC 28, 2016 - ORL vs. CHA",L,240,101,42,86,48.8,9,34,26.5,8,10,80.0,9,24,33,25,7,7,13,15,2016-12-28 00:00:00,CHA,HOME
22,"DEC 26, 2016 - ORL vs. MEM",W,240,112,44,86,51.2,13,26,50.0,11,16,68.8,8,35,43,23,5,3,9,21,2016-12-26 00:00:00,MEM,HOME
23,"DEC 23, 2016 - ORL vs. LAL",W,240,109,45,89,50.6,11,27,40.7,8,14,57.1,7,40,47,25,10,11,14,20,2016-12-23 00:00:00,LAL,HOME
24,"DEC 22, 2016 - ORL @ NYK",L,240,95,39,90,43.3,5,27,18.5,12,16,75.0,10,31,41,21,7,7,16,14,2016-12-22 00:00:00,NYK,AWAY
25,"DEC 20, 2016 - ORL @ MIA",W,290,136,52,105,49.5,11,22,50.0,21,31,67.7,6,41,47,24,3,5,11,25,2016-12-20 00:00:00,MIA,AWAY
26,"DEC 18, 2016 - ORL vs. TOR",L,240,79,34,83,41.0,3,21,14.3,8,9,88.9,10,32,42,13,5,3,19,17,2016-12-18 00:00:00,TOR,HOME
27,"DEC 16, 2016 - ORL vs. BKN",W,240,118,39,97,40.2,7,29,24.1,33,42,78.6,13,36,49,22,8,11,7,17,2016-12-16 00:00:00,BKN,HOME
28,"DEC 14, 2016 - ORL vs. LAC",L,240,108,42,89,47.2,14,33,42.4,10,20,50.0,12,27,39,29,5,1,8,29,2016-12-14 00:00:00,LAC,HOME
29,"DEC 13, 2016 - ORL @ ATL",W,240,131,51,87,58.6,15,34,44.1,14,20,70.0,5,23,28,36,8,5,9,17,2016-12-13 00:00:00,ATL,AWAY
30,"DEC 10, 2016 - ORL vs. DEN",L,240,113,43,88,48.9,11,27,40.7,16,24,66.7,5,26,31,27,7,5,5,18,2016-12-10 00:00:00,DEN,HOME
31,"DEC 09, 2016 - ORL @ CHA",L,240,88,34,91,37.4,9,34,26.5,11,14,78.6,9,31,40,22,6,2,8,17,2016-12-09 00:00:00,CHA,AWAY
32,"DEC 07, 2016 - ORL vs. BOS",L,240,87,30,81,37.0,11,26,42.3,16,24,66.7,8,29,37,20,7,1,12,26,2016-12-07 00:00:00,BOS,HOME
33,"DEC 06, 2016 - ORL @ WAS",W,240,124,43,83,51.8,12,26,46.2,26,36,72.2,8,35,43,24,7,12,11,18,2016-12-06 00:00:00,WAS,AWAY
34,"DEC 04, 2016 - ORL @ DET",W,240,98,42,79,53.2,7,23,30.4,7,14,50.0,4,35,39,23,8,7,10,11,2016-12-04 00:00:00,DET,AWAY
35,"DEC 02, 2016 - ORL @ PHI",W,240,105,37,78,47.4,13,26,50.0,18,26,69.2,7,40,47,24,8,3,10,20,2016-12-02 00:00:00,PHI,AWAY
36,"DEC 01, 2016 - ORL @ MEM",L,240,94,33,74,44.6,6,24,25.0,22,31,71.0,7,35,42,15,5,9,17,19,2016-12-01 00:00:00,MEM,AWAY
37,"NOV 29, 2016 - ORL @ SAS",W,240,95,39,86,45.3,6,15,40.0,11,12,91.7,9,31,40,25,12,4,13,21,2016-11-29 00:00:00,SAS,AWAY
38,"NOV 27, 2016 - ORL vs. MIL",L,240,96,38,92,41.3,7,28,25.0,13,17,76.5,10,36,46,24,6,5,7,17,2016-11-27 00:00:00,MIL,HOME
39,"NOV 25, 2016 - ORL vs. WAS",L,240,91,35,80,43.8,7,23,30.4,14,20,70.0,14,35,49,18,5,7,19,16,2016-11-25 00:00:00,WAS,HOME
40,"NOV 23, 2016 - ORL vs. PHX",L,240,87,33,91,36.3,7,25,28.0,14,23,60.9,11,33,44,17,9,8,11,19,2016-11-23 00:00:00,PHX,HOME
41,"NOV 21, 2016 - ORL @ MIL",L,240,89,32,77,41.6,7,25,28.0,18,24,75.0,10,44,54,21,8,5,24,18,2016-11-21 00:00:00,MIL,AWAY
42,"NOV 19, 2016 - ORL vs. DAL",W,240,95,34,78,43.6,8,21,38.1,19,22,86.4,10,40,50,17,6,8,19,21,2016-11-19 00:00:00,DAL,HOME
43,"NOV 16, 2016 - ORL vs. NOP",W,240,89,34,88,38.6,10,27,37.0,11,19,57.9,13,37,50,17,7,7,12,15,2016-11-16 00:00:00,NOP,HOME
44,"NOV 14, 2016 - ORL @ IND",L,240,69,27,84,32.1,5,25,20.0,10,13,76.9,9,43,52,12,3,5,14,17,2016-11-14 00:00:00,IND,AWAY
45,"NOV 13, 2016 - ORL @ OKC",W,240,119,46,86,53.5,11,24,45.8,16,20,80.0,8,30,38,24,4,7,9,20,2016-11-13 00:00:00,OKC,AWAY
