DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,4.7,10.1,46.6,100%,48.2,-1.6
3 Pointers,0.6,1.3,42.0,13.0%,37.2,4.8
2 Pointers,4.2,8.8,47.3,87.0%,51.4,-4.1
Less Than 6 Ft,2.5,4.9,51.9,48.7%,61.1,-9.3
Less Than 10 Ft,3.4,6.9,49.8,68.0%,55.8,-6.0
Greater Than 15 Ft,0.9,2.4,38.9,23.4%,39.8,-1.0
