,BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
0,2016-17,53,48.6,104.0,31,22,0.585,38.9,85.3,45.6,8.9,26.0,34.3,17.2,23.7,72.8,10.3,33.7,44.0,24.2,15.4,8.4,4.9,17.9,-0.3,39.2,87.5,44.8,10.4,29.2,35.5,15.4,20.1,76.7,10.8,33.1,43.9,22.6,15.3,8.9,5.2,4.9,21.1,104.3
1,Home,27,49.1,106.4,16,11,0.593,39.8,86.5,46.0,9.3,26.2,35.3,17.6,23.9,73.5,11.0,32.7,43.7,25.7,15.1,8.5,4.6,18.1,0.9,39.9,87.3,45.7,10.8,29.6,36.5,15.0,19.3,77.8,10.6,32.6,43.1,24.7,16.0,9.0,5.7,4.6,21.4,105.6
2,Road,26,48.0,101.5,15,11,0.577,38.0,84.1,45.2,8.6,25.8,33.2,16.9,23.4,72.1,9.6,34.7,44.2,22.6,15.7,8.3,5.2,17.7,-1.5,38.6,87.8,44.0,9.9,28.8,34.3,15.8,20.9,75.7,10.9,33.7,44.7,20.3,14.5,8.8,4.7,5.2,20.7,103.0
3,Wins,31,49.0,110.2,31,0,1.0,41.2,86.1,47.9,9.5,25.4,37.4,18.3,25.0,73.1,10.9,35.3,46.2,26.0,15.6,9.0,5.1,18.1,10.0,37.4,88.2,42.4,9.6,29.9,32.0,15.8,20.4,77.6,11.0,31.4,42.4,21.4,16.1,9.2,4.9,5.1,22.4,100.2
4,Losses,22,48.0,95.3,0,22,0.0,35.7,84.3,42.4,8.1,27.0,30.2,15.7,21.7,72.4,9.4,31.4,40.8,21.5,15.0,7.6,4.6,17.7,-14.7,41.9,86.5,48.4,11.5,28.2,40.6,14.9,19.7,75.5,10.4,35.6,46.0,24.2,14.1,8.6,5.5,4.6,19.2,110.0
5,October,3,48.0,108.0,3,0,1.0,39.7,84.0,47.2,9.3,25.3,36.8,19.3,29.3,65.9,12.3,35.0,47.3,27.7,15.3,11.7,6.7,17.7,19.3,34.7,83.0,41.8,7.0,20.3,34.4,12.3,17.3,71.2,7.3,31.7,39.0,22.3,19.3,11.0,5.0,6.7,24.7,88.7
6,November,16,48.0,100.7,7,9,0.438,38.4,84.3,45.6,8.6,26.2,32.7,15.3,21.5,70.9,10.0,34.6,44.6,22.6,17.8,8.9,5.3,17.9,-1.4,38.6,88.3,43.7,9.4,28.1,33.4,15.6,19.8,78.5,10.8,32.8,43.5,20.7,15.7,10.3,5.0,5.3,20.4,102.1
7,December,14,48.4,102.1,7,7,0.5,38.4,85.8,44.8,8.2,26.1,31.5,17.0,22.7,74.8,11.0,31.1,42.1,24.7,14.2,7.7,4.6,18.2,-6.7,41.1,85.9,47.8,11.3,28.5,39.6,15.4,20.3,75.7,10.3,32.6,42.9,24.2,14.8,8.0,5.1,4.6,20.4,108.8
8,January,15,49.7,107.8,11,4,0.733,39.5,86.9,45.4,10.3,26.1,39.4,18.6,25.5,72.8,9.9,34.0,43.9,25.1,13.8,8.1,4.6,17.7,3.2,39.2,88.7,44.2,11.0,30.6,35.9,15.2,19.6,77.6,11.9,34.9,46.8,22.9,15.7,7.8,5.2,4.6,22.1,104.6
9,February,5,48.0,106.2,3,2,0.6,39.8,83.2,47.8,7.8,25.6,30.5,18.8,24.2,77.7,9.2,35.8,45.0,22.8,15.4,7.6,4.0,18.0,-1.0,39.2,88.8,44.1,11.0,36.0,30.6,17.8,23.8,74.8,10.8,31.2,42.0,23.0,11.6,9.2,6.0,4.0,20.0,107.2
