DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,3.2,7.1,44.4,100%,44.4,0.0
3 Pointers,1.0,2.9,34.0,40.4%,36.2,-2.1
2 Pointers,2.2,4.2,51.4,59.6%,49.4,2.1
Less Than 6 Ft,1.1,1.6,72.7,22.1%,60.2,12.5
Less Than 10 Ft,1.4,2.1,67.6,30.1%,55.1,12.5
Greater Than 15 Ft,1.4,4.2,32.7,58.7%,37.9,-5.2
