DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,4.9,11.2,43.6,100%,45.7,-2.1
3 Pointers,1.6,4.3,36.0,38.9%,36.2,-0.2
2 Pointers,3.3,6.8,48.4,61.1%,49.9,-1.5
Less Than 6 Ft,1.7,2.7,61.1,24.5%,60.9,0.2
Less Than 10 Ft,2.0,3.8,52.9,33.9%,55.9,-3.0
Greater Than 15 Ft,2.4,6.2,38.3,55.8%,37.9,0.4
