DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,2.7,6.1,43.6,100%,44.4,-0.8
3 Pointers,1.0,2.5,39.1,41.0%,36.3,2.8
2 Pointers,1.7,3.6,46.7,59.0%,49.4,-2.7
Less Than 6 Ft,0.8,1.3,62.1,21.2%,62.2,0.0
Less Than 10 Ft,1.1,2.0,56.4,32.4%,55.0,1.4
Greater Than 15 Ft,1.3,3.5,37.2,57.7%,38.0,-0.8
