DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,5.0,11.2,44.4,100%,44.5,-0.1
3 Pointers,1.4,4.4,31.5,39.6%,35.2,-3.7
2 Pointers,3.6,6.7,52.9,60.4%,49.4,3.5
Less Than 6 Ft,2.2,3.2,68.4,29.1%,60.1,8.3
Less Than 10 Ft,2.8,4.2,66.1,37.4%,55.8,10.2
Greater Than 15 Ft,1.9,6.2,30.2,55.1%,36.6,-6.5
