DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,3.4,7.8,43.4,100%,43.7,-0.3
3 Pointers,0.9,2.8,31.4,36.0%,34.7,-3.3
2 Pointers,2.5,5.0,50.2,64.0%,48.5,1.7
Less Than 6 Ft,1.4,1.9,72.2,24.9%,60.7,11.5
Less Than 10 Ft,1.7,2.9,59.7,37.0%,55.5,4.2
Greater Than 15 Ft,1.4,4.2,34.0,53.7%,36.0,-2.0
