,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,DATE,OPPONENT,ARENA
0,"FEB 08, 2017 - DEN @ ATL",L,240,106,40,100,40.0,13,44,29.5,13,21,61.9,21,28,49,25,8,4,10,20,2017-02-08 00:00:00,ATL,AWAY
1,"FEB 06, 2017 - DEN vs. DAL",W,240,110,42,84,50.0,11,28,39.3,15,16,93.8,10,39,49,28,7,10,15,19,2017-02-06 00:00:00,DAL,HOME
2,"FEB 04, 2017 - DEN @ SAS",L,240,97,41,92,44.6,10,26,38.5,5,10,50.0,16,26,42,22,7,1,21,19,2017-02-04 00:00:00,SAS,AWAY
3,"FEB 03, 2017 - DEN vs. MIL",W,240,121,40,89,44.9,9,28,32.1,32,44,72.7,18,30,48,31,7,5,14,13,2017-02-03 00:00:00,MIL,HOME
4,"FEB 01, 2017 - DEN vs. MEM",L,240,99,32,80,40.0,9,25,36.0,26,35,74.3,11,34,45,25,7,2,17,17,2017-02-01 00:00:00,MEM,HOME
5,"JAN 31, 2017 - DEN @ LAL",L,240,116,41,99,41.4,15,27,55.6,19,23,82.6,20,31,51,26,12,5,11,18,2017-01-31 00:00:00,LAL,AWAY
6,"JAN 28, 2017 - DEN @ PHX",W,240,123,39,80,48.8,8,25,32.0,37,42,88.1,9,39,48,17,7,3,14,25,2017-01-28 00:00:00,PHX,AWAY
7,"JAN 26, 2017 - DEN vs. PHX",W,240,127,44,86,51.2,9,23,39.1,30,35,85.7,19,27,46,29,5,6,12,15,2017-01-26 00:00:00,PHX,HOME
8,"JAN 24, 2017 - DEN vs. UTA",W,240,103,35,76,46.1,10,26,38.5,23,31,74.2,7,36,43,28,7,6,14,15,2017-01-24 00:00:00,UTA,HOME
9,"JAN 22, 2017 - DEN @ MIN",L,240,108,42,82,51.2,7,24,29.2,17,21,81.0,12,29,41,26,6,7,17,19,2017-01-22 00:00:00,MIN,AWAY
10,"JAN 21, 2017 - DEN vs. LAC",W,240,123,46,87,52.9,10,24,41.7,21,26,80.8,10,35,45,30,4,0,10,16,2017-01-21 00:00:00,LAC,HOME
11,"JAN 19, 2017 - DEN @ SAS",L,240,104,37,91,40.7,10,31,32.3,20,26,76.9,11,32,43,27,5,7,15,19,2017-01-19 00:00:00,SAS,AWAY
12,"JAN 17, 2017 - DEN @ LAL",W,240,127,50,88,56.8,11,26,42.3,16,26,61.5,13,32,45,29,5,9,17,17,2017-01-17 00:00:00,LAL,AWAY
13,"JAN 16, 2017 - DEN vs. ORL",W,240,125,52,89,58.4,9,27,33.3,12,15,80.0,9,30,39,33,11,3,14,17,2017-01-16 00:00:00,ORL,HOME
14,"JAN 12, 2017 - DEN vs. IND",W,240,140,52,90,57.8,15,32,46.9,21,23,91.3,12,35,47,37,10,5,15,16,2017-01-12 00:00:00,IND,HOME
15,"JAN 07, 2017 - DEN @ OKC",L,240,106,40,99,40.4,9,24,37.5,17,24,70.8,15,38,53,18,7,4,12,23,2017-01-07 00:00:00,OKC,AWAY
16,"JAN 05, 2017 - DEN vs. SAS",L,240,99,39,86,45.3,7,25,28.0,14,17,82.4,11,27,38,25,7,3,13,17,2017-01-05 00:00:00,SAS,HOME
17,"JAN 03, 2017 - DEN vs. SAC",L,240,113,41,82,50.0,18,38,47.4,13,13,100.0,4,28,32,29,6,4,14,18,2017-01-03 00:00:00,SAC,HOME
18,"JAN 02, 2017 - DEN @ GSW",L,240,119,48,101,47.5,9,35,25.7,14,18,77.8,16,32,48,33,10,2,14,21,2017-01-02 00:00:00,GSW,AWAY
19,"DEC 30, 2016 - DEN vs. PHI",L,240,122,39,84,46.4,11,27,40.7,33,41,80.5,11,34,45,29,5,1,10,26,2016-12-30 00:00:00,PHI,HOME
20,"DEC 28, 2016 - DEN vs. MIN",W,240,105,42,81,51.9,10,28,35.7,11,14,78.6,8,30,38,29,6,4,15,17,2016-12-28 00:00:00,MIN,HOME
21,"DEC 26, 2016 - DEN @ LAC",W,240,106,36,82,43.9,11,31,35.5,23,28,82.1,11,40,51,22,10,1,14,18,2016-12-26 00:00:00,LAC,AWAY
22,"DEC 23, 2016 - DEN vs. ATL",L,240,108,37,78,47.4,8,25,32.0,26,35,74.3,7,39,46,27,3,7,15,29,2016-12-23 00:00:00,ATL,HOME
23,"DEC 20, 2016 - DEN @ LAC",L,240,102,39,90,43.3,11,39,28.2,13,20,65.0,15,31,46,22,5,1,12,15,2016-12-20 00:00:00,LAC,AWAY
24,"DEC 19, 2016 - DEN vs. DAL",W,240,117,45,80,56.3,13,25,52.0,14,18,77.8,7,34,41,32,7,0,11,13,2016-12-19 00:00:00,DAL,HOME
25,"DEC 17, 2016 - DEN vs. NYK",W,240,127,50,90,55.6,10,27,37.0,17,29,58.6,11,30,41,26,6,7,10,27,2016-12-17 00:00:00,NYK,HOME
26,"DEC 15, 2016 - DEN vs. POR",W,240,132,43,84,51.2,15,31,48.4,31,35,88.6,5,31,36,27,10,4,15,28,2016-12-15 00:00:00,POR,HOME
27,"DEC 12, 2016 - DEN @ DAL",L,240,92,35,83,42.2,7,25,28.0,15,18,83.3,20,23,43,19,6,3,16,15,2016-12-12 00:00:00,DAL,AWAY
28,"DEC 10, 2016 - DEN @ ORL",W,240,121,47,83,56.6,8,19,42.1,19,25,76.0,9,35,44,25,2,4,12,20,2016-12-10 00:00:00,ORL,AWAY
29,"DEC 08, 2016 - DEN @ WAS",L,240,85,31,76,40.8,7,32,21.9,16,24,66.7,14,31,45,24,8,2,27,24,2016-12-08 00:00:00,WAS,AWAY
30,"DEC 07, 2016 - DEN @ BKN",L,240,111,42,105,40.0,11,37,29.7,16,21,76.2,26,32,58,18,7,2,17,24,2016-12-07 00:00:00,BKN,AWAY
31,"DEC 05, 2016 - DEN @ PHI",W,240,106,35,76,46.1,10,27,37.0,26,34,76.5,10,35,45,17,13,8,19,20,2016-12-05 00:00:00,PHI,AWAY
32,"DEC 03, 2016 - DEN @ UTA",L,240,98,37,83,44.6,13,24,54.2,11,14,78.6,7,30,37,19,7,5,14,21,2016-12-03 00:00:00,UTA,AWAY
33,"DEC 02, 2016 - DEN vs. HOU",L,240,110,46,104,44.2,9,31,29.0,9,16,56.3,24,30,54,22,5,4,16,20,2016-12-02 00:00:00,HOU,HOME
34,"NOV 30, 2016 - DEN vs. MIA",L,240,98,38,91,41.8,7,22,31.8,15,24,62.5,14,41,55,28,3,7,19,21,2016-11-30 00:00:00,MIA,HOME
35,"NOV 27, 2016 - DEN @ PHX",W,240,120,39,89,43.8,13,29,44.8,29,32,90.6,10,39,49,21,5,1,12,25,2016-11-27 00:00:00,PHX,AWAY
36,"NOV 25, 2016 - DEN vs. OKC",L,265,129,48,101,47.5,12,34,35.3,21,27,77.8,13,38,51,34,10,7,16,21,2016-11-25 00:00:00,OKC,HOME
37,"NOV 23, 2016 - DEN @ UTA",L,240,83,28,88,31.8,9,27,33.3,18,31,58.1,14,35,49,14,5,5,10,22,2016-11-23 00:00:00,UTA,AWAY
38,"NOV 22, 2016 - DEN vs. CHI",W,240,110,43,100,43.0,10,22,45.5,14,17,82.4,17,38,55,26,5,6,10,14,2016-11-22 00:00:00,CHI,HOME
39,"NOV 20, 2016 - DEN vs. UTA",W,240,105,42,86,48.8,8,22,36.4,13,30,43.3,12,37,49,31,4,2,8,19,2016-11-20 00:00:00,UTA,HOME
