DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,4.4,9.8,44.7,100%,48.3,-3.6
3 Pointers,0.6,1.6,37.3,15.9%,35.6,1.8
2 Pointers,3.8,8.3,46.1,84.1%,51.7,-5.6
Less Than 6 Ft,2.1,4.0,53.1,41.1%,61.3,-8.2
Less Than 10 Ft,2.8,5.7,49.8,57.8%,56.3,-6.5
Greater Than 15 Ft,1.2,3.1,38.5,31.4%,37.9,0.6
