DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,6.1,13.5,45.1,100%,45.9,-0.8
3 Pointers,1.1,3.5,31.6,25.6%,35.6,-4.1
2 Pointers,5.0,10.1,49.8,74.4%,50.2,-0.4
Less Than 6 Ft,3.1,4.9,63.9,36.4%,60.2,3.7
Less Than 10 Ft,3.9,7.0,54.8,52.2%,55.7,-0.8
Greater Than 15 Ft,1.8,5.3,35.1,38.9%,36.9,-1.8
