,BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
0,2016-17,54,48.4,105.7,31,23,0.574,39.2,87.1,45.1,8.4,26.0,32.2,18.9,25.4,74.4,11.7,34.5,46.2,21.1,15.1,7.7,5.2,20.6,0.4,39.3,86.3,45.5,8.7,24.7,35.1,18.2,24.1,75.4,9.7,31.7,41.4,21.4,13.7,8.4,5.3,5.2,20.9,105.4
1,Home,26,48.6,109.7,19,7,0.731,40.8,87.5,46.6,8.8,26.6,33.1,19.2,25.9,74.3,11.1,35.3,46.5,21.8,15.2,8.1,5.0,19.9,6.7,38.7,86.8,44.5,8.2,25.3,32.4,17.4,23.4,74.5,10.3,30.7,41.0,19.2,13.9,8.4,3.8,5.0,21.3,102.9
2,Road,28,48.2,102.1,12,16,0.429,37.8,86.6,43.6,8.0,25.5,31.2,18.6,25.0,74.6,12.2,33.8,45.9,20.5,15.0,7.4,5.5,21.4,-5.5,39.8,85.8,46.4,9.1,24.2,37.6,18.9,24.8,76.2,9.1,32.7,41.8,23.5,13.5,8.4,6.7,5.5,20.4,107.6
3,Wins,31,48.5,110.5,31,0,1.0,41.5,86.9,47.8,8.3,24.5,33.9,19.2,26.3,72.8,11.0,36.5,47.5,22.7,14.9,8.1,5.3,20.4,9.9,37.6,87.5,43.0,7.7,24.6,31.2,17.7,23.3,75.9,10.0,30.4,40.4,19.5,13.9,8.7,4.7,5.3,21.4,100.6
4,Losses,23,48.2,99.3,0,23,0.0,36.1,87.3,41.4,8.4,28.0,30.1,18.6,24.2,76.8,12.5,31.9,44.4,19.0,15.3,7.3,5.2,21.0,-12.4,41.5,84.7,49.0,10.0,24.9,40.1,18.8,25.1,74.7,9.2,33.6,42.8,23.9,13.5,7.9,6.2,5.2,20.1,111.7
5,October,3,49.7,109.7,3,0,1.0,41.3,95.0,43.5,6.7,23.0,29.0,20.3,27.0,75.3,12.3,39.3,51.7,20.3,17.3,11.0,4.0,23.0,8.7,37.7,88.3,42.6,6.3,28.0,22.6,19.3,27.0,71.6,7.7,35.0,42.7,18.7,17.0,10.3,5.0,4.0,23.0,101.0
6,November,17,48.9,107.7,9,8,0.529,40.7,87.7,46.4,9.4,26.2,35.7,16.9,23.3,72.7,10.5,34.1,44.6,22.8,15.4,7.2,5.4,20.5,1.1,40.1,88.5,45.3,9.3,25.1,37.0,17.2,22.8,75.3,10.3,31.7,42.0,21.9,13.6,8.2,5.7,5.4,18.9,106.6
7,December,14,48.0,104.1,9,5,0.643,37.7,82.4,45.8,7.6,25.2,30.0,21.1,29.2,72.1,11.8,33.1,44.9,20.6,14.7,7.6,4.8,19.4,1.1,38.8,84.1,46.1,8.7,25.0,34.9,16.6,22.1,75.4,9.6,29.6,39.2,21.8,14.1,7.8,4.3,4.8,23.3,102.9
8,January,15,48.0,104.4,7,8,0.467,38.3,86.6,44.2,8.3,26.8,31.1,19.5,25.0,78.1,11.2,35.5,46.7,20.4,15.1,7.9,5.5,21.3,-2.4,39.2,86.3,45.4,8.8,24.3,36.2,19.6,26.1,75.2,10.0,33.9,43.9,21.9,13.3,9.0,6.0,5.5,20.7,106.8
9,February,5,48.0,105.4,3,2,0.6,40.0,94.4,42.4,8.4,27.2,30.9,17.0,22.4,75.9,16.4,34.2,50.6,19.4,14.2,7.6,5.6,21.0,-0.8,39.0,83.4,46.8,7.4,21.8,33.9,20.8,26.4,78.8,8.2,29.2,37.4,18.8,12.0,7.8,5.2,5.6,20.0,106.2
10,Pre All-Star,54,48.4,105.7,31,23,0.574,39.2,87.1,45.1,8.4,26.0,32.2,18.9,25.4,74.4,11.7,34.5,46.2,21.1,15.1,7.7,5.2,20.6,0.4,39.3,86.3,45.5,8.7,24.7,35.1,18.2,24.1,75.4,9.7,31.7,41.4,21.4,13.7,8.4,5.3,5.2,20.9,105.4
11,0 Days Rest,11,48.0,99.5,3,8,0.273,35.9,84.7,42.4,8.5,27.2,31.4,19.2,26.3,73.0,11.4,32.7,44.1,17.9,13.3,6.4,5.5,20.0,-9.1,41.1,84.2,48.8,9.5,24.7,38.2,17.0,21.9,77.6,8.3,32.6,40.9,22.9,12.3,7.3,5.0,5.5,19.8,108.6
12,1 Days Rest,35,48.6,108.8,22,13,0.629,40.3,87.2,46.2,8.8,26.3,33.4,19.4,25.5,75.9,11.8,34.1,45.9,22.2,15.7,8.1,5.3,20.8,2.8,39.2,86.5,45.3,8.6,24.4,35.4,18.9,24.9,76.1,10.1,30.7,40.8,21.5,14.1,8.7,5.3,5.3,21.4,105.9
13,2 Days Rest,4,48.0,102.0,3,1,0.75,40.5,92.8,43.7,6.5,22.3,29.2,14.5,20.8,69.9,12.5,37.5,50.0,21.5,16.5,8.8,4.3,21.8,2.0,38.0,87.0,43.7,8.3,23.5,35.1,15.8,22.5,70.0,9.3,33.3,42.5,18.5,15.8,9.0,5.5,4.3,18.0,100.0
14,3 Days Rest,2,48.0,100.0,1,1,0.5,37.5,85.0,44.1,6.5,28.0,23.2,18.5,28.5,64.9,10.0,42.5,52.5,21.0,17.0,8.0,5.0,17.0,3.0,36.0,95.0,37.9,8.5,35.0,24.3,16.5,24.5,67.3,14.0,37.5,51.5,20.5,13.0,8.5,3.5,5.0,23.0,97.0
15,4 Days Rest,1,48.0,97.0,1,0,1.0,36.0,83.0,43.4,6.0,20.0,30.0,19.0,25.0,76.0,8.0,37.0,45.0,17.0,11.0,6.0,6.0,23.0,2.0,36.0,84.0,42.9,5.0,21.0,23.8,18.0,26.0,69.2,8.0,34.0,42.0,16.0,10.0,10.0,7.0,6.0,18.0,95.0
16,6+ Days Rest,1,48.0,103.0,1,0,1.0,39.0,94.0,41.5,6.0,22.0,27.3,19.0,26.0,73.1,13.0,40.0,53.0,19.0,10.0,7.0,3.0,23.0,6.0,36.0,84.0,42.9,7.0,24.0,29.2,18.0,25.0,72.0,5.0,38.0,43.0,21.0,14.0,5.0,10.0,3.0,22.0,97.0
