DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,2.2,4.0,55.3,100%,44.1,11.2
3 Pointers,0.5,1.3,40.7,31.8%,35.3,5.4
2 Pointers,1.7,2.8,62.1,68.2%,49.2,12.8
Less Than 6 Ft,1.2,1.4,89.7,34.1%,59.5,30.1
Less Than 10 Ft,1.3,1.9,69.2,45.9%,54.3,15.0
Greater Than 15 Ft,0.9,1.9,46.2,45.9%,37.0,9.2
