,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,DATE,OPPONENT,ARENA
43,"NOV 12, 2016 - CHI vs. WAS",W,240,106,39,97,40.2,5,15,33.3,23,25,92.0,15,37,52,21,7,6,10,20,2016-11-12 00:00:00,WAS,HOME
44,"NOV 10, 2016 - CHI @ MIA",W,240,98,37,89,41.6,6,16,37.5,18,20,90.0,12,36,48,18,7,2,10,12,2016-11-10 00:00:00,MIA,AWAY
45,"NOV 09, 2016 - CHI @ ATL",L,240,107,41,91,45.1,9,27,33.3,16,21,76.2,8,23,31,24,14,3,13,21,2016-11-09 00:00:00,ATL,AWAY
46,"NOV 07, 2016 - CHI vs. ORL",W,240,112,42,89,47.2,3,19,15.8,25,31,80.6,15,41,56,26,7,4,8,11,2016-11-07 00:00:00,ORL,HOME
47,"NOV 05, 2016 - CHI @ IND",L,240,94,34,79,43.0,6,18,33.3,20,25,80.0,13,27,40,17,8,5,16,13,2016-11-05 00:00:00,IND,AWAY
48,"NOV 04, 2016 - CHI vs. NYK",L,240,104,37,84,44.0,8,23,34.8,22,27,81.5,15,27,42,15,4,4,12,16,2016-11-04 00:00:00,NYK,HOME
49,"NOV 02, 2016 - CHI @ BOS",L,240,100,35,81,43.2,7,20,35.0,23,31,74.2,15,34,49,21,7,7,19,19,2016-11-02 00:00:00,BOS,AWAY
50,"OCT 31, 2016 - CHI @ BKN",W,240,118,45,89,50.6,11,27,40.7,17,18,94.4,13,45,58,26,9,9,19,22,2016-10-31 00:00:00,BKN,AWAY
51,"OCT 29, 2016 - CHI vs. IND",W,240,118,45,86,52.3,9,21,42.9,19,21,90.5,13,34,47,34,8,6,12,14,2016-10-29 00:00:00,IND,HOME
52,"OCT 27, 2016 - CHI vs. BOS",W,240,105,36,92,39.1,11,25,44.0,22,30,73.3,18,37,55,25,5,1,12,21,2016-10-27 00:00:00,BOS,HOME
