,BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
0,2016-17,52,48.5,105.7,29,23,0.558,39.3,84.7,46.4,8.4,22.7,36.9,18.8,23.1,81.3,8.4,33.1,41.5,22.4,14.0,8.7,5.3,19.4,-0.1,38.3,85.5,44.8,10.2,29.3,34.8,19.0,23.9,79.4,11.0,34.3,45.3,22.8,15.6,8.2,5.3,5.3,20.2,105.8
1,Home,27,48.6,107.4,20,7,0.741,40.8,86.6,47.1,8.6,23.7,36.5,17.2,21.5,79.9,8.6,34.0,42.6,22.4,13.1,8.5,6.3,19.1,4.9,36.9,85.2,43.2,10.0,29.9,33.5,18.8,23.6,79.9,10.7,34.5,45.2,20.0,15.7,7.4,5.7,6.3,20.2,102.5
2,Road,25,48.4,103.9,9,16,0.36,37.7,82.7,45.6,8.1,21.6,37.4,20.4,24.8,82.6,8.2,32.2,40.4,22.4,15.0,9.0,4.3,19.7,-5.5,39.9,85.8,46.5,10.4,28.6,36.2,19.2,24.4,78.8,11.4,34.0,45.4,25.7,15.5,9.1,4.8,4.3,20.2,109.4
3,Wins,29,48.7,110.2,29,0,1.0,41.3,84.6,48.8,8.9,22.6,39.4,18.8,23.4,80.1,8.4,34.6,43.0,23.2,13.4,8.9,5.8,18.7,10.8,36.1,84.9,42.5,9.9,29.7,33.2,17.3,22.3,77.7,10.5,32.8,43.3,20.6,16.5,7.4,5.2,5.8,20.6,99.4
4,Losses,23,48.2,100.1,0,23,0.0,36.8,84.9,43.4,7.7,22.8,33.7,18.7,22.7,82.7,8.3,31.3,39.6,21.4,14.9,8.6,4.7,20.3,-13.9,41.1,86.3,47.7,10.6,28.7,36.8,21.1,26.0,81.1,11.7,36.1,47.8,25.5,14.5,9.3,5.4,4.7,19.6,114.0
5,October,3,49.7,108.3,1,2,0.333,42.3,93.0,45.5,8.0,20.3,39.3,15.7,21.0,74.6,10.0,34.7,44.7,28.7,14.0,8.7,6.3,20.3,-5.7,42.7,92.3,46.2,12.3,34.0,36.3,16.3,19.7,83.1,11.7,37.7,49.3,26.7,14.3,7.3,6.0,6.3,21.3,114.0
6,November,16,48.9,102.9,8,8,0.5,39.6,86.9,45.6,7.9,22.9,34.4,15.8,19.9,79.3,9.3,33.1,42.4,21.7,15.6,9.3,6.0,20.1,-2.1,38.5,86.3,44.6,9.3,28.8,32.3,18.8,23.8,78.7,11.8,34.8,46.5,22.1,16.8,8.9,5.4,6.0,19.4,105.1
7,December,15,48.0,104.5,7,8,0.467,37.1,82.8,44.8,8.4,23.2,36.2,21.9,26.2,83.7,7.8,34.2,42.0,21.3,12.9,7.5,4.9,19.9,-0.5,37.4,85.3,43.8,10.1,29.5,34.4,20.1,25.9,77.4,11.5,35.5,47.1,21.8,14.5,7.8,4.9,4.9,20.9,105.0
8,January,13,48.4,110.8,9,4,0.692,41.5,82.9,50.0,8.8,22.2,39.4,19.1,22.9,83.2,7.5,32.0,39.5,23.3,14.1,9.6,4.8,18.1,2.0,39.5,84.4,46.9,11.2,29.5,37.8,18.5,22.9,80.9,9.9,31.3,41.2,25.1,15.4,8.6,5.2,4.8,20.5,108.8
9,February,5,48.0,103.8,4,1,0.8,37.6,83.0,45.3,9.0,23.0,39.1,19.6,25.4,77.2,8.8,31.8,40.6,22.0,12.6,8.2,5.2,18.8,5.6,34.8,82.0,42.4,9.2,26.6,34.6,19.4,23.6,82.2,9.8,34.8,44.6,19.2,16.4,6.8,5.8,5.2,18.8,98.2
