DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,3.7,8.7,42.8,100%,45.1,-2.3
3 Pointers,1.1,3.3,33.1,38.4%,37.2,-4.1
2 Pointers,2.6,5.4,48.8,61.6%,49.4,-0.6
Less Than 6 Ft,1.1,1.5,72.9,17.1%,60.2,12.6
Less Than 10 Ft,1.3,2.3,59.4,25.9%,55.3,4.2
Greater Than 15 Ft,2.0,5.6,35.5,64.8%,39.1,-3.6
