DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,3.6,7.3,49.2,100%,46.1,3.1
3 Pointers,0.4,1.3,28.8,18.4%,35.0,-6.1
2 Pointers,3.2,6.0,53.8,81.6%,49.7,4.1
Less Than 6 Ft,2.1,3.5,60.5,47.4%,58.9,1.7
Less Than 10 Ft,2.6,4.5,56.8,62.0%,54.3,2.5
Greater Than 15 Ft,0.9,2.5,36.1,33.6%,37.2,-1.1
