DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,3.9,9.0,43.9,100%,44.3,-0.4
3 Pointers,0.9,2.7,34.6,30.3%,35.6,-1.1
2 Pointers,3.0,6.3,47.9,69.7%,48.8,-0.9
Less Than 6 Ft,1.3,2.0,62.4,22.5%,60.9,1.5
Less Than 10 Ft,1.8,3.2,56.0,35.4%,54.9,1.0
Greater Than 15 Ft,1.6,4.5,36.3,50.3%,37.3,-1.0
