,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,DATE,OPPONENT,ARENA
0,"FEB 08, 2017 - MEM vs. PHX",W,240,110,35,72,48.6,14,24,58.3,26,34,76.5,11,30,41,24,6,8,22,25,2017-02-08 00:00:00,PHX,HOME
1,"FEB 06, 2017 - MEM vs. SAS",W,240,89,32,81,39.5,4,19,21.1,21,25,84.0,15,35,50,18,8,11,13,17,2017-02-06 00:00:00,SAS,HOME
2,"FEB 04, 2017 - MEM @ MIN",W,240,107,32,77,41.6,10,28,35.7,33,39,84.6,13,29,42,17,7,3,9,25,2017-02-04 00:00:00,MIN,AWAY
3,"FEB 03, 2017 - MEM @ OKC",L,240,102,40,83,48.2,3,19,15.8,19,22,86.4,8,21,29,21,10,5,12,28,2017-02-03 00:00:00,OKC,AWAY
4,"FEB 01, 2017 - MEM @ DEN",W,240,119,45,92,48.9,14,30,46.7,15,20,75.0,11,35,46,28,6,4,8,24,2017-02-01 00:00:00,DEN,AWAY
5,"JAN 30, 2017 - MEM @ PHX",W,240,115,39,80,48.8,16,28,57.1,21,24,87.5,10,34,44,25,13,2,17,27,2017-01-30 00:00:00,PHX,AWAY
6,"JAN 28, 2017 - MEM @ UTA",W,240,102,41,80,51.3,11,26,42.3,9,10,90.0,7,24,31,13,8,1,7,23,2017-01-28 00:00:00,UTA,AWAY
7,"JAN 27, 2017 - MEM @ POR",L,240,109,37,77,48.1,9,26,34.6,26,33,78.8,10,32,42,24,6,5,11,19,2017-01-27 00:00:00,POR,AWAY
8,"JAN 25, 2017 - MEM vs. TOR",W,240,101,36,78,46.2,10,22,45.5,19,25,76.0,9,36,45,18,3,7,9,17,2017-01-25 00:00:00,TOR,HOME
9,"JAN 21, 2017 - MEM vs. HOU",L,240,95,33,89,37.1,9,34,26.5,20,28,71.4,14,27,41,19,10,4,12,17,2017-01-21 00:00:00,HOU,HOME
10,"JAN 20, 2017 - MEM vs. SAC",W,240,107,38,83,45.8,11,28,39.3,20,25,80.0,15,43,58,21,6,4,15,24,2017-01-20 00:00:00,SAC,HOME
11,"JAN 18, 2017 - MEM @ WAS",L,240,101,33,83,39.8,8,25,32.0,27,34,79.4,17,28,45,20,8,1,12,20,2017-01-18 00:00:00,WAS,AWAY
12,"JAN 15, 2017 - MEM vs. CHI",L,240,104,40,95,42.1,11,32,34.4,13,13,100.0,13,37,50,24,6,3,10,22,2017-01-15 00:00:00,CHI,HOME
13,"JAN 13, 2017 - MEM @ HOU",W,240,110,41,76,53.9,10,27,37.0,18,27,66.7,8,37,45,25,8,3,22,29,2017-01-13 00:00:00,HOU,AWAY
14,"JAN 11, 2017 - MEM @ OKC",L,240,95,38,92,41.3,7,24,29.2,12,21,57.1,13,26,39,18,11,5,10,26,2017-01-11 00:00:00,OKC,AWAY
15,"JAN 08, 2017 - MEM vs. UTA",W,240,88,34,78,43.6,9,24,37.5,11,14,78.6,5,32,37,19,11,2,13,23,2017-01-08 00:00:00,UTA,HOME
16,"JAN 06, 2017 - MEM @ GSW",W,265,128,50,103,48.5,13,33,39.4,15,19,78.9,14,33,47,29,13,0,12,28,2017-01-06 00:00:00,GSW,AWAY
17,"JAN 04, 2017 - MEM @ LAC",L,240,106,38,88,43.2,11,28,39.3,19,25,76.0,12,31,43,30,6,5,9,31,2017-01-04 00:00:00,LAC,AWAY
18,"JAN 03, 2017 - MEM @ LAL",L,240,102,30,77,39.0,10,31,32.3,32,35,91.4,5,34,39,18,6,1,10,16,2017-01-03 00:00:00,LAL,AWAY
19,"DEC 31, 2016 - MEM @ SAC",W,240,112,44,87,50.6,17,35,48.6,7,9,77.8,12,28,40,25,6,3,7,20,2016-12-31 00:00:00,SAC,AWAY
20,"DEC 29, 2016 - MEM vs. OKC",W,240,114,43,82,52.4,13,22,59.1,15,20,75.0,11,28,39,24,8,9,12,27,2016-12-29 00:00:00,OKC,HOME
21,"DEC 27, 2016 - MEM @ BOS",L,240,103,37,88,42.0,9,30,30.0,20,29,69.0,13,24,37,22,14,5,11,18,2016-12-27 00:00:00,BOS,AWAY
22,"DEC 26, 2016 - MEM @ ORL",L,240,102,35,76,46.1,10,25,40.0,22,28,78.6,3,32,35,17,7,4,6,19,2016-12-26 00:00:00,ORL,AWAY
23,"DEC 23, 2016 - MEM vs. HOU",W,240,115,41,81,50.6,13,25,52.0,20,25,80.0,9,29,38,23,8,3,10,16,2016-12-23 00:00:00,HOU,HOME
24,"DEC 21, 2016 - MEM @ DET",W,240,98,35,82,42.7,12,30,40.0,16,19,84.2,7,31,38,25,9,4,8,26,2016-12-21 00:00:00,DET,AWAY
25,"DEC 20, 2016 - MEM vs. BOS",L,265,109,38,94,40.4,12,30,40.0,21,26,80.8,17,35,52,23,10,3,13,30,2016-12-20 00:00:00,BOS,HOME
26,"DEC 18, 2016 - MEM vs. UTA",L,240,73,28,93,30.1,2,23,8.7,15,18,83.3,19,29,48,12,8,1,8,28,2016-12-18 00:00:00,UTA,HOME
27,"DEC 16, 2016 - MEM vs. SAC",L,240,92,29,77,37.7,5,25,20.0,29,36,80.6,13,34,47,19,7,8,13,31,2016-12-16 00:00:00,SAC,HOME
