in_stock,Shipping_Weight,Item_model_number,product_title,num_reviews,ASIN,url,reviews_url,sale_price,3_star,5_star,2_star,Product_Dimensions,avg_rating,4_star,list_price,shipping,1_star,num_questions,description,category,Customer_Reviews
In Stock.,1.8 pounds (,GEL PENS 018,"Lineon 108 Colors Gel Pens,Gel Pen Set for Adult Coloring Books Art Markers",85,B01M0F4U2S,https://www.amazon.com/Lineon-Colors-Adult-Coloring-Markers/dp/B01M0F4U2S?_encoding=UTF8&psc=1,https://www.amazon.com/Lineon-Colors-Adult-Coloring-Markers/product-reviews/B01M0F4U2S/ref=cm_cr_dp_qt_see_all_top/157-5167640-8598561?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,,8%,54%,7%,5.3 x 5.9 x 3.9 inches,4.1 out of 5 stars,21%,$69.99,"Fast, FREE Shipping",10%,7 answered questions,"Lineon gel pens with 108 unique colors, are ideal for adult coloring books.. Long lasting and durable tips also provide smooth writing for coloring, doodling and drawing. Non-toxic, acid free.. Assorted color types in one pack: Glitter, neon glitter, metallic, neon, pastel, swirl and standard.. Simple but classic packing way saves space for storing and easy for using.. 100% Satisfaction Guarantee. We will handle and solve all the product' problems immediately for you. If it's still unsatisfactory we will provide full refund.. ","Arts, Crafts & Sewing",4.1 out of 5 stars
In Stock.,,,MAGNASONIC Professional Ultrasonic Jewelry and Eyeglass Cleaner With Digital Timer MGUC500,"2,393",,https://www.amazon.com/MAGNASONIC-Professional-Ultrasonic-Eyeglass-MGUC500/dp/B007Q2M17K?_encoding=UTF8&psc=1,https://www.amazon.com/MAGNASONIC-Professional-Ultrasonic-Eyeglass-MGUC500/product-reviews/B007Q2M17K/ref=cm_cr_dp_qt_see_all_top/165-5661526-8277220?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,,4%,70%,3%,,4.5 out of 5 stars,19%,,"Fast, FREE Shipping",4%,306 answered questions,,"Clothing, Shoes & Jewelry",
In Stock.,7 ounces (,2001974,"Provo Craft Cricut Cutting Mats, Standard Grip, 12x12-Inch, 2-Pack","1,892",B00BSK750Y,https://www.amazon.com/Cricut-Cutting-Standard-12x12-Inch-2-Pack/dp/B00BSK750Y?_encoding=UTF8&psc=1,https://www.amazon.com/Cricut-Cutting-Standard-12x12-Inch-2-Pack/product-reviews/B00BSK750Y/ref=cm_cr_dp_qt_see_all_top/159-3558128-2269504?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,$10.22,4%,83%,2%,14 x 13 x 0 inches,4.7 out of 5 stars,8%,,"Fast, FREE Shipping",3%,60 answered questions,"Works with the Cricut Explore machine, Cricut Expression machine, and Cricut Expression 2 machine. Includes two 12"" x 12"" Standard Grip adhesive cutting mats. To ensure best performance, use the recommended material types on each of the mats: Cardstock, Pattern Paper, Embossed Cardstock, Iron-on and Vinyl. Keep the clear film cover on the mat when storing to keep mat free from paper scraps and dust. Use the scraper to scrape away excess pieces and the spatula to carefully remove cut images. ","Arts, Crafts & Sewing",4.7 out of 5 stars
In Stock.,1.4 pounds (,STR-455-3,Strathmore Series 400 Sketch Pads 9 in. x 12 in. - pad of 100,"1,139",B0027A39PY,https://www.amazon.com/Strathmore-400-Sketch-Pads-12/dp/B0027A39PY?_encoding=UTF8&psc=1,https://www.amazon.com/Strathmore-400-Sketch-Pads-12/product-reviews/B0027A39PY/ref=cm_cr_dp_qt_see_all_top/168-0992976-7568336?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,$8.72,3%,84%,1%,0.5 x 9.2 x 12 inches,4.8 out of 5 stars,11%,$12.89,FREE Shipping,1%,47 answered questions,. . All-purpose paper intended for experimentation or perfecting techniques. Includes 100 sheets of paper. 60-pound weight paper. Lightly textured. ,"Arts, Crafts & Sewing",4.8 out of 5 stars
In Stock.,1.6 ounces (,806,"Clover ""Shiro"" Tape Measure",911,B000YZAO2K,https://www.amazon.com/Clover-806-Shiro-Tape-Measure/dp/B000YZAO2K?_encoding=UTF8&psc=1,https://www.amazon.com/Clover-806-Shiro-Tape-Measure/product-reviews/B000YZAO2K/ref=cm_cr_dp_qt_see_all_top/161-7800960-6302114?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,$5.82,5%,82%,0%,6.1 x 3 x 0.8 inches,4.7 out of 5 stars,12%,$6.99,"Fast, FREE Shipping",1%,21 answered questions,Fiberglass prevents stretching. Inches and metric measurement. Push button. Excellent sewing measuring device. Quality Clover sewing notion. ,"Arts, Crafts & Sewing",4.7 out of 5 stars
In Stock.,0.3 ounces (,H-P45,"Heartybay 10Pieces Round Pointed Tip Nylon Hair Brush Set, Blue",578,B00V4EG6D6,https://www.amazon.com/Heartybay-10Pieces-Round-Pointed-Nylon/dp/B00V4EG6D6?_encoding=UTF8&psc=1,https://www.amazon.com/Heartybay-10Pieces-Round-Pointed-Nylon/product-reviews/B00V4EG6D6/ref=cm_cr_dp_qt_see_all_top/159-7578205-7969253?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,$5.98,8%,71%,2%,8 x 3.3 x 0.5 inches,4.5 out of 5 stars,16%,,"Fast, FREE Shipping",3%,40 answered questions,"WARRANTY & SUPPORT: Check seller name before purchasing! heartybay products must be sold by ""heartybay - Fulfilled by Amazon"" or ""heartybay"". Warranty from heartybay. Feel free to contact us at any time :). This acrylic artist paint brush set contains 10 sizes: 5/8 8 6 4 5 3 2 2 1 2/0.. Length:16.5cm~18.5cm(6.5~7.3 inches). High-quality material,excellent workmanship, attractive packaging, the achievements of this professional grade quality brushes!Good idea as gifts for beginners, kids and artists or own use for Watercolor Oil, Acrylic Painting / Body, Nail, Face Painting / Miniature, Ceramic, Model, Leather, Gesso, Craft Art Painting, etc.. Note: Due to the difference between different monitors, the picture may not reflect the actual color of the item. Thank you!. ","Arts, Crafts & Sewing",4.5 out of 5 stars
In Stock.,14.4 ounces (,CCB-GGL9001N,"CCbetter Mini Hot Melt Glue Gun with 25pcs Glue Sticks High Temperature Melting Glue Gun Kit Flexible Trigger for DIY Small Craft Projects&Sealing and Quick Repairs(20-watt, Blue)",522,B01178RVI2,https://www.amazon.com/CCbetter-Temperature-Melting-Flexible-Projects/dp/B01178RVI2?_encoding=UTF8&psc=1,https://www.amazon.com/CCbetter-Temperature-Melting-Flexible-Projects/product-reviews/B01178RVI2/ref=cm_cr_dp_qt_see_all_top/162-2666116-4253704?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,$9.99,4%,76%,1%,8.3 x 2.4 x 5.9 inches,4.5 out of 5 stars,14%,$19.99,"Fast, FREE Shipping",5%,63 answered questions,"Heats up in 3-5 minutes and maintain constant temperature automatically making it an ideal adhesive for home, office and school DIY crafts projects including metal, wood, glass, card, fabric, plastic, ceramics and so on.. Safety and comfortable power switch with LED light mode. With detachable and flexible support to keep the gun stable and upright, and allow you to use this gun in any angle.. Trigger propulsion device controls glue flow will help you save much more glue sticks. With high quality and insulated nozzle, there's no deforming of the gun even long-term use under 500℉.. Including 25pcs environmental-friendly glue sticks (o.27 inch *10 inch each), with super strong adhesive and easy cleaning properties to protect your health and items.. Friendly and fast customer service, offer a 100% money back guarantee and Lifetime Warranty.. ","Arts, Crafts & Sewing",4.5 out of 5 stars
Available from these sellers.,"Amazon only ships this item within the contiguous 48 United States. Other Sellers on Amazon may ship this item to Alaska, Hawaii and US Territories.",,"Elmer's Glue-All Multi-Purpose Liquid Glue, Extra Strong, 1 Gallon, 1 Count",382,B0038DZZJC,https://www.amazon.com/Elmers-Glue-All-Multi-Purpose-Liquid-Strong/dp/B0038DZZJC?_encoding=UTF8&psc=1,https://www.amazon.com/Elmers-Glue-All-Multi-Purpose-Liquid-Strong/product-reviews/B0038DZZJC/ref=cm_cr_dp_qt_see_all_top/163-5840986-1296249?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,,1%,88%,2%,,4.7 out of 5 stars,7%,,,2%,34 answered questions,". . Bonds to paper, fabric, wood, ceramics, leather, and more. Safe, non-toxic, and quick-drying formula. Perfect for crafts, repairs, and projects. Ideal for use in the kitchen, workshop, den, and garage. Great for creating slime at home or in the classroom!. ",Office Products,4.7 out of 5 stars
In Stock.,7.8 ounces (,3078,Pro Art 18-Piece Sketch/Draw Pencil Set,"1,512",B000HTBBO8,https://www.amazon.com/Pro-18-Piece-Sketch-Draw-Pencil/dp/B000HTBBO8?_encoding=UTF8&psc=1,https://www.amazon.com/Pro-18-Piece-Sketch-Draw-Pencil/product-reviews/B000HTBBO8/ref=cm_cr_dp_qt_see_all_top/168-2349939-7900511?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,$6.25,4%,78%,1%,9.4 x 0.2 x 9.4 inches,4.7 out of 5 stars,16%,$9.95,FREE Shipping,1%,32 answered questions,Drawing set. 18-piece set. Great for beginners. Holding and toggle clamps included to keep wood steady and ensure precise cuts every time. Additional two sharpeners and two erasers. ,"Arts, Crafts & Sewing",4.7 out of 5 stars
,,,,,,https://www.amazon.com/Resealable-Cellophane-Bakery-Candle-UNIQUEPACKING/dp/B018HFT6TK?_encoding=UTF8&psc=1,,,,,,,,,,,,,,,
