num_questions,sale_price,Customer_Reviews,Item_model_number,in_stock,Shipping_Weight,num_reviews,product_title,category,3_star,ASIN,reviews_url,4_star,2_star,shipping,url,avg_rating,list_price,description,1_star,5_star,Product_Dimensions
115 answered questions,$14.81,4.3 out of 5 stars,,In Stock.,Item can be shipped within U.S.,"2,492",AmazonBasics Microfiber Cleaning Cloth - 24 Pack,Electronics,8%,B009FUF6DM,https://www.amazon.com/AmazonBasics-Microfiber-Cleaning-Cloth-Pack/product-reviews/B009FUF6DM/ref=cm_cr_dp_qt_see_all_top/167-9301793-1641838?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,16%,5%,"Fast, FREE Shipping",https://www.amazon.com/AmazonBasics-Microfiber-Cleaning-Cloth-Pack/dp/B009FUF6DM?_encoding=UTF8&psc=1,4.3 out of 5 stars,,". . Ultra soft, non-abrasive microfiber cloths will not scratch paints, coats or other surfaces. Cleans with or without chemical cleaners, leaves lint and streak free results. Absorbs eight times its own weight. Pack comes with three different towel colors (blue, yellow, and white). Rinse and reuse 100's of times. Imported; 90% Polyester 10% Polyamide. ",4%,67%,
,,,,,,,,,,,,,,,https://www.amazon.com/Cricut-Tools-Craft-Basic-Set/dp/B00EZUCUUE?_encoding=UTF8&psc=1,,,,,,
,,,,,,,,,,,,,,,https://www.amazon.com/Color-Technik-Assorted-Coloring-Experience/dp/B01JR0SO4M?_encoding=UTF8&psc=1,,,,,,
47 answered questions,$19.99,,,,,"1,405","Best Microfiber Cleaning Cloth, Pack of 50",Health & Household,6%,,https://www.amazon.com/Best-Microfiber-Cleaning-Cloth-Pack/product-reviews/B01DV2OJYG/ref=cm_cr_dp_qt_see_all_top/166-0183091-1412675?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,16%,4%,"Fast, FREE Shipping",https://www.amazon.com/Best-Microfiber-Cleaning-Cloth-Pack/dp/B01DV2OJYG?_encoding=UTF8&psc=1,4.3 out of 5 stars,$24.18,,7%,67%,
16 answered questions,$16.95,,,,,141,Chemical Guys WAC_303 Wheel Guard Rim and Wheel Sealant (8 oz),Automotive,13%,,https://www.amazon.com/Chemical-Guys-WAC_303-Wheel-Sealant/product-reviews/B001THV9D0/ref=cm_cr_dp_qt_see_all_top/168-0228569-1444640?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,15%,5%,"Fast, FREE Shipping",https://www.amazon.com/Chemical-Guys-WAC-303-Wheel-Sealant/dp/B001THV9D0?_encoding=UTF8&psc=1,4.3 out of 5 stars,$24.95,,4%,63%,
17 answered questions,$9.37,4.1 out of 5 stars,,In Stock.,"Amazon only ships this item within the contiguous 48 United States. Other Sellers on Amazon may ship this item to Alaska, Hawaii and US Territories.","1,029","Hopkins 2610XM Subzero 52"" Super Extender Snowbroom (Colors may vary)",Automotive,9%,B0016GRTVU,https://www.amazon.com/Hopkins-2610XM-Subzero-Extender-Snowbroom/product-reviews/B0016GRTVU/ref=cm_cr_dp_qt_see_all_top/161-8845034-7230650?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,18%,5%,"Fast, FREE Shipping",https://www.amazon.com/Hopkins-2610XM-Subzero-Extender-Snowbroom/dp/B0016GRTVU?_encoding=UTF8&psc=1,4.1 out of 5 stars,$12.49,". . Heavy duty broom for snow clearing power. Steel extender handle with soft cushion grip. Extra wide blade with convenient squeegee. Ideal tool for trucks, vans and SUVs. Hand grip and pole style may vary slightly. ",11%,57%,
77 answered questions,$2.98,4.2 out of 5 stars,90075,In Stock.,0.3 ounces (,754,"VELCRO Brand - Sticky Back - 3 1/2"" x 3/4"" Strips, 4 Sets - Black","Arts, Crafts & Sewing",8%,B000TGSPV6,https://www.amazon.com/VELCRO-Brand-Sticky-Strips-Black/product-reviews/B000TGSPV6/ref=cm_cr_dp_qt_see_all_top/168-8845033-3202435?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,13%,6%,"Fast, FREE Shipping",https://www.amazon.com/VELCRO-Brand-Sticky-Strips-Black/dp/B000TGSPV6?_encoding=UTF8&psc=1,4.2 out of 5 stars,,". . The original Hook and Loop Fastener. Easy to use, durable and strong!. Unmatched versatility. Perfect for smooth surfaces! It is even water resistant. Use it indoor and outdoor.. Stronger adhesive, longer lasting and more durable than other brands. Perfect for around the house, classroom, office and garage! Unlimited possibilities for organization and crafts/crafting. Available in a wide variety of sizes and colors, for any application.. ",7%,66%,3 x 0.9 x 7.2 inches
3 answered questions,$7.99,4.3 out of 5 stars,,In Stock.,1.6 ounces (,150,Outee 9 PCS Women Choker Necklaces Black Velvet Stretch Tattoo Choker Necklace Set for Girls,"Arts, Crafts & Sewing",7%,B01K55SI80,https://www.amazon.com/Outee-Choker-Necklaces-Stretch-Necklace/product-reviews/B01K55SI80/ref=cm_cr_dp_qt_see_all_top/157-2387573-3737558?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,20%,6%,"Fast, FREE Shipping",https://www.amazon.com/Outee-Choker-Necklaces-Stretch-Necklace/dp/B01K55SI80?_encoding=UTF8&psc=1,4.3 out of 5 stars,,"***Important Notice, Please Read ***. We never authorize any other seller to sell Outee products.. Outee products only sold by "" Outee US"" and fulfilled by Amazon. Only Items Sold by ""Outee US"" will have quality warranty for 48 months. COMMON SIZE – 30cm/ 12.2” choker length with 6cm/ 2.4” chain length, common size fit for most people. Package includes 9 pieces black velvet chokers necklaces.. Good black chockers present for Christmas Day, Valentine's Day, Mother's Day, Thanksgiving Day. Ideal for most occasion.. PRODUCT WARRANTY AND CUSTOMER SERVICE - We provide 48-day money-back and 24-month warranty. So feel free to contact us if you have any question. ",4%,63%,7 x 5 x 2 inches
,$22.99,4.6 out of 5 stars,TAS-OPMAST15,In Stock.,12 ounces (,11,"Thornton's Art Supply Oil-Based Paint Markers, Medium Point, Assorted Colors, Set of 15","Arts, Crafts & Sewing",9%,B01BIBIZ74,https://www.amazon.com/Thorntons-Art-Supply-Oil-Based-Assorted/product-reviews/B01BIBIZ74/ref=cm_cr_dp_qt_see_all_top/153-5953484-7120917?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,9%,,FREE Shipping,https://www.amazon.com/Thorntons-Art-Supply-Oil-Based-Assorted/dp/B01BIBIZ74?_encoding=UTF8&psc=1,4.6 out of 5 stars,,"Oil-based opaque paint markers for marking on light or dark surfaces.. For metal, pottery, wood, rubber, glass, plastic, stone and more.. Quick drying, water-, fade- and abrasion-resistant ink. Includes a FREE plastic stand to easily store and select which markers you want to use.. The oil-based paint markers are perfect for decorating and adding accents to a variety of items, even non-porous materials. It goes on smooth with no mess, while marking opaque and glossy on light and dark surfaces.. Colors included are: Black, White, Red, Blue, Green, Brown, Yellow, Pink, Purple, Orange, Gold, Silver, Lime Green, Magenta and Aqua.. ",,82%,5.9 x 3.6 x 2.2 inches
29 answered questions,$9.99,4.5 out of 5 stars,SILH-BLADE-3-3T,In Stock.,0.6 ounces (,"1,252",Silhouette Replacement Blade,"Arts, Crafts & Sewing",4%,B005S2O61E,https://www.amazon.com/Silhouette-SILH-BLADE-3-3T-Replacement-Blade/product-reviews/B005S2O61E/ref=cm_cr_dp_qt_see_all_top/152-9613869-5454240?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,9%,3%,"Fast, FREE Shipping",https://www.amazon.com/Silhouette-SILH-BLADE-3-3T-Replacement-Blade/dp/B005S2O61E?_encoding=UTF8&psc=1,4.5 out of 5 stars,,Compatible with all silhouette electronic cutting tools. Ratchet-style blade. Includes adjustment tool. ,4%,80%,5.8 x 1 x 3.5 inches
