url,bsr,pctg_2star,reviews_url,num_reviews,pctg_1star,product_title,pctg_4star,list_price,num_questions,category,shipping_wt,pctg_3star,avg_rating,asin,pctg_5star,description,in_stock,sale_price,shipping,dimensions
https://www.amazon.com/Lineon-Colors-Adult-Coloring-Markers/dp/B01M0F4U2S?_encoding=UTF8&psc=1,,,https://www.amazon.com/Lineon-Colors-Adult-Coloring-Markers/product-reviews/B01M0F4U2S/ref=cm_cr_dp_qt_see_all_top/159-4019515-5852319?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,82,,"Lineon 108 Colors Gel Pens,Gel Pen Set for Adult Coloring Books Art Markers",,,,"Arts, Crafts & Sewing",,,4.1 out of 5 stars,,," Lineon gel pens with 108 unique colors, are ideal for adult coloring books.. Long lasting and durable tips also provide smooth writing for coloring, doodling and drawing. Non-toxic, acid free.. Assorted color types in one pack: Glitter, neon glitter, metallic, neon, pastel, swirl and standard.. Simple but classic packing way saves space for storing and easy for using.. 100% Satisfaction Guarantee. We will handle and solve all the product' problems immediately for you. If it's still unsatisfactory we will provide full refund..",In Stock.,,"Fast, FREE Shipping",
https://www.amazon.com/Clover-806-Shiro-Tape-Measure/dp/B000YZAO2K?_encoding=UTF8&psc=1,,,https://www.amazon.com/Clover-806-Shiro-Tape-Measure/product-reviews/B000YZAO2K/ref=cm_cr_dp_qt_see_all_top/159-2421698-9294250?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,910,,"Clover ""Shiro"" Tape Measure",,,,"Arts, Crafts & Sewing",,,4.7 out of 5 stars,,, Fiberglass prevents stretching. Inches and metric measurement. Push button. Excellent sewing measuring device. Quality Clover sewing notion.,In Stock.,$5.55,FREE ShippingFREE Shipping,
https://www.amazon.com/CCbetter-Temperature-Melting-Flexible-Projects/dp/B01178RVI2?_encoding=UTF8&psc=1,,,https://www.amazon.com/CCbetter-Temperature-Melting-Flexible-Projects/product-reviews/B01178RVI2/ref=cm_cr_dp_qt_see_all_top/156-7679232-8954737?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,522,,"CCbetter Mini Hot Melt Glue Gun with 25pcs Glue Sticks High Temperature Melting Glue Gun Kit Flexible Trigger for DIY Small Craft Projects&Sealing and Quick Repairs(20-watt, Blue)",,,,"Arts, Crafts & Sewing",,,4.5 out of 5 stars,,," Heats up in 3-5 minutes and maintain constant temperature automatically making it an ideal adhesive for home, office and school DIY crafts projects including metal, wood, glass, card, fabric, plastic, ceramics and so on.. Safety and comfortable power switch with LED light mode. With detachable and flexible support to keep the gun stable and upright, and allow you to use this gun in any angle.. Trigger propulsion device controls glue flow will help you save much more glue sticks. With high quality and insulated nozzle, there's no deforming of the gun even long-term use under 500℉.. Including 25pcs environmental-friendly glue sticks (o.27 inch *10 inch each), with super strong adhesive and easy cleaning properties to protect your health and items.. Friendly and fast customer service, offer a 100% money back guarantee and Lifetime Warranty..",In Stock.,$9.99,"Fast, FREE ShippingFast, FREE Shipping",
https://www.amazon.com/MAGNASONIC-Professional-Ultrasonic-Eyeglass-MGUC500/dp/B007Q2M17K?_encoding=UTF8&psc=1,,,https://www.amazon.com/MAGNASONIC-Professional-Ultrasonic-Eyeglass-MGUC500/product-reviews/B007Q2M17K/ref=cm_cr_dp_qt_see_all_top/166-3195611-1083005?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,"2,392",,MAGNASONIC Professional Ultrasonic Jewelry and Eyeglass Cleaner With Digital Timer MGUC500,,,,"Clothing, Shoes & Jewelry",,,4.5 out of 5 stars,2.8 pounds (),,,In Stock.,,"Fast, FREE Shipping",
https://www.amazon.com/Pro-18-Piece-Sketch-Draw-Pencil/dp/B000HTBBO8?_encoding=UTF8&psc=1,,,https://www.amazon.com/Pro-18-Piece-Sketch-Draw-Pencil/product-reviews/B000HTBBO8/ref=cm_cr_dp_qt_see_all_top/166-3867104-2517008?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,"1,512",,Pro Art 18-Piece Sketch/Draw Pencil Set,,,,"Arts, Crafts & Sewing",,,4.7 out of 5 stars,,, Drawing set. 18-piece set. Great for beginners. Holding and toggle clamps included to keep wood steady and ensure precise cuts every time. Additional two sharpeners and two erasers.,In Stock.,$6.25,FREE Shipping,
https://www.amazon.com/Cricut-Cutting-Standard-12x12-Inch-2-Pack/dp/B00BSK750Y?_encoding=UTF8&psc=1,,,https://www.amazon.com/Cricut-Cutting-Standard-12x12-Inch-2-Pack/product-reviews/B00BSK750Y/ref=cm_cr_dp_qt_see_all_top/162-1886923-8960505?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,"1,891",,"Provo Craft Cricut Cutting Mats, Standard Grip, 12x12-Inch, 2-Pack",,,,"Arts, Crafts & Sewing",,,4.7 out of 5 stars,,," Works with the Cricut Explore machine, Cricut Expression machine, and Cricut Expression 2 machine. Includes two 12"" x 12"" Standard Grip adhesive cutting mats. To ensure best performance, use the recommended material types on each of the mats: Cardstock, Pattern Paper, Embossed Cardstock, Iron-on and Vinyl. Keep the clear film cover on the mat when storing to keep mat free from paper scraps and dust. Use the scraper to scrape away excess pieces and the spatula to carefully remove cut images.",In Stock.,$10.22,"Fast, FREE ShippingFast, FREE Shipping",
https://www.amazon.com/Resealable-Cellophane-Bakery-Candle-UNIQUEPACKING/dp/B018HFT6TK?_encoding=UTF8&psc=1,,,https://www.amazon.com/Resealable-Cellophane-Bakery-Candle-UNIQUEPACKING/product-reviews/B018HFT6TK/ref=cm_cr_dp_qt_see_all_top/163-3782823-7133245?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,176,,"100 Pcs 4x6 Clear Resealable Cello / Cellophane Bags Good for Bakery, Candle, Soap, Cookie (by UNIQUEPACKING)",,,,"Arts, Crafts & Sewing",,,4.2 out of 5 stars,4 ounces (),,,,$4.95,"Fast, FREE Shipping",
https://www.amazon.com/Heartybay-10Pieces-Round-Pointed-Nylon/dp/B00V4EG6D6?_encoding=UTF8&psc=1,,,https://www.amazon.com/Heartybay-10Pieces-Round-Pointed-Nylon/product-reviews/B00V4EG6D6/ref=cm_cr_dp_qt_see_all_top/168-9167807-0858905?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,576,,"Heartybay 10Pieces Round Pointed Tip Nylon Hair Brush Set, Blue",,,,"Arts, Crafts & Sewing",,,4.5 out of 5 stars,,," WARRANTY & SUPPORT: Check seller name before purchasing! heartybay products must be sold by ""heartybay - Fulfilled by Amazon"" or ""heartybay"". Warranty from heartybay. Feel free to contact us at any time :). This acrylic artist paint brush set contains 10 sizes: 5/8 8 6 4 5 3 2 2 1 2/0.. Length:16.5cm~18.5cm(6.5~7.3 inches). High-quality material,excellent workmanship, attractive packaging, the achievements of this professional grade quality brushes!Good idea as gifts for beginners, kids and artists or own use for Watercolor Oil, Acrylic Painting / Body, Nail, Face Painting / Miniature, Ceramic, Model, Leather, Gesso, Craft Art Painting, etc.. Note: Due to the difference between different monitors, the picture may not reflect the actual color of the item. Thank you!.",In Stock.,$5.98,"Fast, FREE ShippingFast, FREE Shipping",
https://www.amazon.com/Chemical-Guys-WAC-808-Optical-Detailer/dp/B004UPZXI0?_encoding=UTF8&psc=1,,,https://www.amazon.com/Chemical-Guys-WAC_808-Optical-Detailer/product-reviews/B004UPZXI0/ref=cm_cr_dp_qt_see_all_top/160-3223473-4151705?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,598,,Chemical Guys WAC_808 Hybrid V7 Optical Select High Gloss Spray Sealant and Quick Detailer (1 Gal),,,,Automotive,,,4.6 out of 5 stars,,,"        .. Its hybrid fast flash technology virtually disappears into your finish leaving a durable streak free high gloss, slick and non-stick finish. A durable sealant that virtually disappears into the surface. Delivering long lasting superior optical clarity and a high shine slick finish. Hybrid V7 works at a nano-spec level and bonds to surfaces instantly. Fast and easy to use works on all painted surfaces, wheel and even glass.",May take an extra 1-2 days to ship.,$38.95,FREE Shipping,
https://www.amazon.com/Strathmore-400-Sketch-Pads-12/dp/B0027A39PY?_encoding=UTF8&psc=1,,,https://www.amazon.com/Strathmore-400-Sketch-Pads-12/product-reviews/B0027A39PY/ref=cm_cr_dp_qt_see_all_top/159-2920262-3409659?ie=UTF8&reviewerType=avp_only_reviews&showViewpoints=1&sortBy=helpful,"1,139",,Strathmore Series 400 Sketch Pads 9 in. x 12 in. - pad of 100,,,,"Arts, Crafts & Sewing",,,4.8 out of 5 stars,,,        .. All-purpose paper intended for experimentation or perfecting techniques. Includes 100 sheets of paper. 60-pound weight paper. Lightly textured.,In Stock.,$8.72,"Fast, FREE ShippingFast, FREE Shipping",
